pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEUP100,3,0,1962,NARDEO SINGH,,Uttar_Pradesh,CHANDPUR,GEN,IND,,12141,M,1,2,FALSE,FALSE,24,1159,2.29,,,1,2
AEUP100,5,0,1969,NARDEO SINGH,,Uttar_Pradesh,CHANDPUR,GEN,INC,IND,27321,M,2,2,FALSE,FALSE,38.22,24940,34.89,,,1,2
AEUP10007,5,0,1969,GIRDHARI,,Uttar_Pradesh,SAONGHAT,SC,BKD,,9892,M,2,1,FALSE,FALSE,27.8,3961,11.13,,,,1
AEUP10021,3,0,1962,RAJENDRA KISHORI,,Uttar_Pradesh,BASTI,GEN,INC,,18483,F,1,2,FALSE,FALSE,46.92,6349,16.12,,,2,2
AEUP10021,5,0,1969,RAJENDRA KISHORI,,Uttar_Pradesh,BASTI,GEN,INC,INC,15901,F,1,2,FALSE,FALSE,33.69,2589,5.49,,,2,2
AEUP100233,3,1,1964,DASARATH KPRASAD,,Uttar_Pradesh,SINDHUWA JOBNA,SC,INC,,17697,,1,2,FALSE,FALSE,46.81,4011,10.61,,,1,2
AEUP100233,5,0,1969,DASHARATH PRASAD,,Uttar_Pradesh,NAURANGIA,SC,INC,INC,7020,M,3,2,FALSE,FALSE,14.01,3204,6.39,,,1,2
AEUP10026,3,0,1962,JAIDATT SINGH,,Uttar_Pradesh,DOMARIAGANJ SOUTH,GEN,SWA,,11860,M,2,2,FALSE,FALSE,25.46,4154,8.92,,,,2
AEUP10026,5,0,1969,JAI DATT SINGH,,Uttar_Pradesh,DOMARIAGANJ,GEN,BJS,SWA,33112,M,2,2,TRUE,FALSE,43.67,29609,39.05,,,,2
AEUP100263,5,1,1970,R.N.TRIPATHI,,Uttar_Pradesh,TANDA,GEN,IND,,17532,,2,1,FALSE,FALSE,29.15,13067,21.73,,,,1
AEUP100265,5,1,1970,A.HUSSAIN,,Uttar_Pradesh,TANDA,GEN,IND,,2784,,4,1,FALSE,FALSE,4.63,929,1.54,,,,1
AEUP100267,5,1,1970,S.R.SHUKLA,,Uttar_Pradesh,TANDA,GEN,IND,,396,,6,1,FALSE,FALSE,0.66,0,0,,,,1
AEUP100269,5,1,1971,A.S.PRASAD,,Uttar_Pradesh,SEORAHI,GEN,SOP,,9538,,2,1,FALSE,FALSE,21.12,4002,8.86,,,,1
AEUP100271,5,1,1971,K.S.ARYA,,Uttar_Pradesh,SEORAHI,GEN,BKD,,5381,,4,1,FALSE,FALSE,11.92,2389,5.29,,,,1
AEUP100279,5,1,1972,S.RAM,,Uttar_Pradesh,NAGINA,GEN,BJS,,12028,,2,1,FALSE,FALSE,22.23,4316,7.98,,,,1
AEUP100281,5,1,1972,R.BAHADUR,,Uttar_Pradesh,NAGINA,GEN,IND,,1244,,4,1,FALSE,FALSE,2.3,0,0,,,,1
AEUP100283,5,1,1972,J.M.SINGH,,Uttar_Pradesh,DATAGANJ,GEN,BJS,,15605,,2,1,FALSE,FALSE,25.98,8316,13.84,,,,1
AEUP100285,5,1,1972,JWALA,,Uttar_Pradesh,DATAGANJ,GEN,IND,,3354,,4,1,FALSE,FALSE,5.58,1266,2.11,,,,1
AEUP100287,5,1,1972,S.SINGH,,Uttar_Pradesh,DATAGANJ,GEN,IND,,1323,,6,1,FALSE,FALSE,2.2,79,0.13,,,,1
AEUP100289,5,1,1972,R.SINGH,,Uttar_Pradesh,SARENT,GEN,INC,,29838,,1,1,FALSE,FALSE,51.84,17414,30.25,,,1,1
AEUP100291,5,1,1972,SULTAN SINGH,,Uttar_Pradesh,SARENT,GEN,NCO,,7289,,3,1,FALSE,FALSE,12.66,3935,6.84,,,,1
AEUP100297,5,1,1972,D.HARAN,,Uttar_Pradesh,MANJAPUR,GEN,IND,,6629,,2,1,FALSE,FALSE,17.95,1980,5.36,,,,1
AEUP100301,4,0,1967,T. NARAIN,,Uttar_Pradesh,DHAUREHRA,GEN,INC,,18444,M,2,2,FALSE,FALSE,34.31,13363,24.86,,,,2
AEUP100301,5,1,1972,T.NARAIN,,Uttar_Pradesh,MANIRAM,GEN,NCO,INC,17137,,2,2,TRUE,FALSE,27.82,11181,18.15,,,,2
AEUP100305,5,1,1972,R.SHANKER,,Uttar_Pradesh,MANIRAM,GEN,IND,,841,,6,1,FALSE,FALSE,1.37,259,0.42,,,,1
AEUP100307,5,1,1972,RAMASHANKER,,Uttar_Pradesh,RAJGARH,GEN,SOP,,76068,,1,1,FALSE,FALSE,52.34,31952,21.98,,,1,1
