Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENT
JS,JAN SANGH
CPI,COMMUNIST PARTY OF INDIA
PSP,PRAGATI SHEEL PARTY
SOC,SOCIALIST
SWA,SWATANTRA
HMS,AKHIL BHARAT HINDU MAHASABHA
REP,REPUBLICAN
BJS,AKHIL BHARATIYA JANA SANGH
SSP,SAMYUKTA SOCIALIST PARTY
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
RPI,REPUBLIC PARTY OF INDIA
BKD,BAHUJAN KISAN DAL
KMP,KISAN MAZDOOR PARTY
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SOP,SOCIALIST PARTY
SSD,SHOSHIT SAMAJ DAL
MUL,MUSLIM LEAGUE
JNP,JAN PARISHAD
INC(I),INDIAN NATIONAL CONGRESS (I)
BJP,BHARATIYA JANATA PARTY
JNP(JP),JANATA PARTY (JP)
INC(U),INDIAN NATIONAL CONGRESS (U)
JNP(SC),JANATA PARTY (SECULAR) - CH. CHARAN SINGH
JNP(SR),JANATA PARTY (SECULAR) RAJ NARAIN
LKD,LOK DAL
BSP,BAHUJAN SAMAJ PARTY
ICJ,INDIAN CONGRESS (JAGJIVAN RAM)
JD,JANATA DAL
LKD(B),LOK DAL (B)
UKD,UTTARAKHAND KRANTI DAL
JP,JANATA PARTY
SHS,AKHIL BHARTIYA SHIVSENA - RASHTRAWADI
SP,SAMAJWADI PARTY
AIIC(T),ALL INDIA INDIRA CONGRESS (TIWARI)
SJP(R),SAMAJWADI JANATA PARTY (RASHTRIYA)
BKKGP,XXX
NLP,NATIONAL LOKTANTRIK PARTY
ABHM,AKHIL BHARAT HINDU MAHASABHA
AD,APNA DAL
SAP,SAMATA PARTY
NCP,NATIONALIST CONGRESS PARTY
RTKP,RASHTRIYA KRANTI PARTY
RLD,RASHTRIYA LOK DAL
RPD,RASHTRIYA PARIVARTAN DAL
LJNSP,LOK JAN SHAKTI PARTY
ABLTC,AKHIL BHARTIYA LOK TANTRIK CONGRESS
JD(U),JANATA DAL (UNITED)
UPUDF,UTTAR PRADESH UNITED DEMOCRATIC FRONT
BJSH,BHARATIYA JAN SHAKTI
RSBP,RASHTRIYA SWABHIMAAN PARTY
IEMC,ITTEHAD-E-MILLAIT COUNCIL
JM,JAN MORCHA
SBSP,SUHELDEV BHARTIYA SAMAJ PARTY
PECP,PEACE PARTY
AITC,ALL INDIA TRINAMOOL CONGRESS
QED,QUAMI EKTA DAL
NINSHAD,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL
ADAL,APNA DAL (SONEYLAL)
