pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms_Contested
AEWB100230,11,0,1991,MIHIR GOSWAMI,West_Bengal,COOCH BEHAR NORTH,INC,,41402,M,2,2,1,FALSE,FALSE,37.36,25814,23.29,,2
AEWB100230,12,0,1996,MIHIR GOSWAMI,West_Bengal,COOCH BEHAR NORTH,INC,INC,59375,M,1,2,1,FALSE,FALSE,47.25,6864,5.46,,2
AEWB100453,9,0,1982,NARMADA ROY,West_Bengal,KUSHMANDI,RSP,,39001,M,2,4,3,FALSE,FALSE,49.1,38471,48.44,,4
AEWB100453,10,0,1987,ROY NARMADA,West_Bengal,KUSHMANDI,RSP,RSP,48500,M,1,4,3,FALSE,FALSE,53.98,9851,10.96,,4
AEWB100453,11,0,1991,NARMADA CHANDRA ROY,West_Bengal,KUSHMANDI,RSP,RSP,47449,M,1,4,3,FALSE,TRUE,45.48,7689,7.37,,4
AEWB100453,12,0,1996,ROY NARMADA CHANDRA,West_Bengal,KUSHMANDI,RSP,RSP,59176,M,1,4,3,FALSE,TRUE,47.22,9944,7.94,,4
AEWB100516,12,0,1996,ALAM MOSTAQUE,West_Bengal,HARISHCHANDRAPUR,INC,,53940,M,2,1,0,FALSE,FALSE,44.92,49310,41.07,,1
AEWB100529,9,0,1982,SAMAR MUKHERJEE,West_Bengal,RATUA,INC,,35536,M,1,3,2,FALSE,FALSE,50.32,445,0.63,,3
AEWB100529,10,0,1987,SAMAR MUKHHERJEE,West_Bengal,RATUA,IND,INC,5341,M,4,3,2,FALSE,TRUE,6.75,0,0,,3
AEWB100529,12,0,1996,SAMAR MUKHERJEE,West_Bengal,RATUA,INC,IND,53347,M,1,3,2,FALSE,FALSE,48.13,2966,2.68,,3
AEWB100818,12,0,1996,SANKAR SINGHA,West_Bengal,RANAGHAT WEST,INC,,74360,M,1,1,1,FALSE,FALSE,48.06,4122,2.66,,1
AEWB101077,12,0,1996,RAM SANKAR HALDAR,West_Bengal,KULTALI,CPM,,52160,M,2,1,0,FALSE,FALSE,40.76,41583,32.49,,1
AEWB101169,11,0,1991,ANURADHA PUTATUNDA,West_Bengal,MAGRAHAT WEST,CPM,,43169,F,1,2,1,FALSE,FALSE,44.09,3997,4.08,,2
AEWB101169,12,0,1996,ANURADHA PUTATUNDA,West_Bengal,MAGRAHAT WEST,CPM,CPM,54825,F,2,2,1,FALSE,TRUE,46.24,51168,43.15,,2
AEWB101421,11,0,1991,JATU LAHIRI,West_Bengal,SHIBPUR,INC,,76246,M,1,2,2,FALSE,FALSE,45.72,4108,2.46,,2
AEWB101421,12,0,1996,JATU LAHIRI,West_Bengal,SHIBPUR,INC,INC,102985,M,1,2,2,FALSE,TRUE,50.62,14874,7.31,,2
AEWB101446,12,0,1996,GULSAN MULLICK,West_Bengal,PANCHLA,INC,,65091,M,1,1,1,FALSE,FALSE,49.41,8314,6.31,,1
AEWB101473,12,0,1996,PULAK ROY,West_Bengal,ULUBERIA SOUTH,INC,,48553,M,2,1,0,FALSE,FALSE,40.93,40444,34.09,,1
AEWB101547,12,0,1996,TANDRA BHATTACHARJEE,West_Bengal,CHANDERNAGORE,BJP,,5223,F,3,1,0,FALSE,FALSE,3.75,4478,3.21,,1
AEWB101816,12,1,2000,Dibakar Hansda,West_Bengal,BINPUR(ST),CPM,,39285,M,2,1,0,FALSE,FALSE,38.66,31242,30.74,,1
AEWB101925,12,0,1996,MAHADEB KHAN,West_Bengal,TALDANGRA,BJP,,11885,M,3,1,0,FALSE,FALSE,9.43,7523,5.97,,1
AEWB101963,12,0,1996,DIGER BASUDEB,West_Bengal,INDAS,BJP,,18761,M,3,1,0,FALSE,FALSE,15.43,0,0,,1
AEWB102066,12,0,1996,AKHIL MONDAL,West_Bengal,DURGAPUR-I,BJP,,7996,M,3,1,0,FALSE,FALSE,6.95,5348,4.65,,1
AEWB102087,12,0,1996,TAPAS BANERJEE,West_Bengal,ASANSOL,INC,,58845,M,1,1,1,FALSE,FALSE,50.06,11634,9.9,,1
AEWB102768,11,0,1991,SUSHIL BISWAS,West_Bengal,KRISHNAGANJ,CPM,,48834,M,1,2,2,FALSE,FALSE,47.4,7043,6.84,,2
AEWB102768,12,0,1996,SUSHIL BISWAS,West_Bengal,KRISHNAGANJ,CPM,CPM,58868,M,1,2,2,FALSE,TRUE,47.16,1698,1.36,,2
AEWB102867,10,0,1987,RANJIT KUNDU,West_Bengal,NAIHATI,IND,,537,M,3,2,1,FALSE,FALSE,0.56,0,0,,2
AEWB102867,12,0,1996,RANJIT KUNDU,West_Bengal,NAIHATI,CPM,IND,66522,M,1,2,1,FALSE,FALSE,52.37,14765,11.62,,2
AEWB102902,12,1,1999,Rekha Goswami,West_Bengal,ASHOKENAGAR,CPM,,50424,F,2,1,0,FALSE,FALSE,39.84,36424,28.78,,1
