pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEWB100230,11,0,1991,MIHIR GOSWAMI,,West_Bengal,COOCH BEHAR NORTH,INC,,41402,M,2,4,FALSE,FALSE,37.36,25814,23.29,,,1,4
AEWB100230,12,0,1996,MIHIR GOSWAMI,,West_Bengal,COOCH BEHAR NORTH,INC,INC,59375,M,1,4,FALSE,FALSE,47.25,6864,5.46,,,1,4
AEWB100230,13,0,2001,MIHIR GOSWAMI,,West_Bengal,COOCH BEHAR NORTH,AITC,INC,38813,M,2,4,TRUE,TRUE,31.83,27339,22.42,,,1,4
AEWB100230,14,0,2006,MIHIR GOSWAMI,GEN,West_Bengal,COOCH BEHAR NORTH,AITC,AITC,36325,M,2,4,FALSE,FALSE,25.84,3879,2.76,52,,1,4
AEWB100251,14,0,2006,UDAYAN GUHA,GEN,West_Bengal,DINHATA,AIFB,,63144,M,2,1,FALSE,FALSE,43.07,56782,38.73,51,,,1
AEWB100252,13,0,2001,AKSHOY THAKUR,,West_Bengal,COOCH BEHAR WEST,FBL,,74713,M,1,2,FALSE,FALSE,54.67,30879,22.59,,,2,2
AEWB100252,14,0,2006,AKSHAY THAKUR,GEN,West_Bengal,COOCH BEHAR WEST,AIFB,FBL,79273,M,1,2,TRUE,TRUE,51.07,26686,17.19,56,,2,2
AEWB100298,13,0,2001,ANIL ADHIKARY,,West_Bengal,FALAKATA,AITC,,43977,M,2,2,FALSE,FALSE,36.54,37565,31.21,,,,2
AEWB100298,14,0,2006,ANIL ADHIKARI,SC,West_Bengal,FALAKATA,AITC,AITC,56596,M,2,2,FALSE,FALSE,41.28,53534,39.05,59,,,2
AEWB100395,14,0,2006,DR. MD. TABIBUR RAHAMAN,GEN,West_Bengal,CHOPRA,AITC,,4980,M,3,1,FALSE,FALSE,3.64,0,0,52,,,1
AEWB100412,14,1,2009,Ali Imran Ramz,,West_Bengal,GOAL POKHAR,AIFB,,72017,M,1,1,FALSE,FALSE,53.82,14718,11,,,1,1
AEWB100449,13,0,2001,SRIKUMAR MUKHERJEE,,West_Bengal,ITAHAR,CPI,,54605,M,1,2,FALSE,FALSE,42.26,19766,15.3,,,2,2
AEWB100449,14,0,2006,SRIKUMAR MUKHERJEE,GEN,West_Bengal,ITAHAR,CPI,CPI,66768,M,1,2,FALSE,TRUE,46.09,740,0.51,53,,2,2
AEWB100453,9,0,1982,NARMADA ROY,,West_Bengal,KUSHMANDI,RSP,,39001,M,2,6,FALSE,FALSE,49.1,38471,48.44,,,5,6
AEWB100453,10,0,1987,ROY NARMADA,,West_Bengal,KUSHMANDI,RSP,RSP,48500,M,1,6,FALSE,FALSE,53.98,9851,10.96,,,5,6
AEWB100453,11,0,1991,NARMADA CHANDRA ROY,,West_Bengal,KUSHMANDI,RSP,RSP,47449,M,1,6,FALSE,TRUE,45.48,7689,7.37,,,5,6
AEWB100453,12,0,1996,ROY NARMADA CHANDRA,,West_Bengal,KUSHMANDI,RSP,RSP,59176,M,1,6,FALSE,TRUE,47.22,9944,7.94,,,5,6
