pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEWB100207,16,0,2016,DADHIRAM RAY,West_Bengal,MEKLIGANJ,BJP,,23355,M,3,1,FALSE,FALSE,12.91,17705,9.78,32,,1
AEWB100215,16,0,2016,KHAGEN CHANDRA BARMAN,West_Bengal,MATHABHANGA,CPM,,64465,M,2,1,FALSE,FALSE,32.17,33207,16.57,53,,1
AEWB100216,15,0,2011,SUSHIL BARMAN,West_Bengal,MATHABHANGA,BJP,,11308,M,3,3,FALSE,FALSE,6.71,8389,4.98,42,,2
AEWB100216,15,0,2011,SUSHIL BARMAN,West_Bengal,NAKASHIPARA,BJP,BJP,12227,M,3,3,FALSE,FALSE,7.47,9234,5.64,46,,2
AEWB100216,16,0,2016,SUSHIL BARMAN,West_Bengal,MATHABHANGA,BJP,BJP,31258,M,3,3,FALSE,FALSE,15.6,29278,14.61,48,,2
AEWB100223,16,0,2016,PARIMAL BARMAN,West_Bengal,COOCH BEHAR UTTAR,AITC,,85336,M,2,1,FALSE,FALSE,38.14,55311,24.72,39,,1
AEWB100224,16,0,2016,SUKUMAR ROY,West_Bengal,COOCH BEHAR UTTAR,BJP,,30025,M,3,1,FALSE,FALSE,13.42,27376,12.23,48,,1
AEWB100230,11,0,1991,MIHIR GOSWAMI,West_Bengal,COOCH BEHAR NORTH,INC,,41402,M,2,5,FALSE,FALSE,37.36,25814,23.29,,2,5
AEWB100230,12,0,1996,MIHIR GOSWAMI,West_Bengal,COOCH BEHAR NORTH,INC,INC,59375,M,1,5,FALSE,FALSE,47.25,6864,5.46,,2,5
AEWB100230,13,0,2001,MIHIR GOSWAMI,West_Bengal,COOCH BEHAR NORTH,AITC,INC,38813,M,2,5,TRUE,TRUE,31.83,27339,22.42,,2,5
AEWB100230,14,0,2006,MIHIR GOSWAMI,West_Bengal,COOCH BEHAR NORTH,AITC,AITC,36325,M,2,5,FALSE,FALSE,25.84,3879,2.76,52,2,5
AEWB100230,16,0,2016,MIHIR GOSWAMI,West_Bengal,COOCH BEHAR DAKSHIN,AITC,AITC,82849,M,1,5,FALSE,FALSE,46.24,18195,10.15,62,2,5
AEWB100231,16,0,2016,DEBASIS BANIK,West_Bengal,COOCH BEHAR DAKSHIN,AIFB,,64654,M,2,1,FALSE,FALSE,36.08,46478,25.94,58,,1
AEWB100232,16,0,2016,NIKHIL RANJAN DEY,West_Bengal,COOCH BEHAR DAKSHIN,BJP,,18176,M,3,1,FALSE,FALSE,10.14,12979,7.24,58,,1
AEWB100238,16,0,2016,NAMADIPTI ADHIKARY,West_Bengal,SITALKUCHI,CPM,,86164,F,2,1,FALSE,FALSE,37.45,58817,25.56,48,,1
AEWB100239,16,0,2016,BAREN CHANDRA BARMAN,West_Bengal,SITALKUCHI,BJP,,27347,M,3,1,FALSE,FALSE,11.89,22394,9.73,42,,1
AEWB100245,16,0,2016,JAGADISH CHANDRA BARMA BASUNIA,West_Bengal,SITAI,AITC,,103410,M,1,1,FALSE,FALSE,47.39,25251,11.57,52,1,1
AEWB100246,15,0,2011,KESHAB CH. RAY,West_Bengal,SITAI,INC,,79791,M,1,2,FALSE,FALSE,46.67,1577,0.92,58,1,2
AEWB100246,16,0,2016,KESHAB CHANDRA RAY,West_Bengal,SITAI,INC,INC,78159,M,2,2,FALSE,TRUE,35.82,50350,23.07,62,1,2
AEWB100247,16,0,2016,BHABEN CHANDRA RAY,West_Bengal,SITAI,BJP,,27809,M,3,1,FALSE,FALSE,12.74,25333,11.61,53,,1
AEWB100251,14,0,2006,UDAYAN GUHA,West_Bengal,DINHATA,AIFB,,63144,M,2,3,FALSE,FALSE,43.07,56782,38.73,51,2,3
AEWB100251,15,0,2011,UDAYAN GUHA,West_Bengal,DINHATA,AIFB,AIFB,93050,M,1,3,FALSE,FALSE,50.52,30026,16.3,56,2,3
