pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEWB100207,16,0,2016,DADHIRAM RAY,SC,West_Bengal,MEKLIGANJ,BJP,,23355,M,3,2,FALSE,FALSE,12.91,17705,9.78,32,,2
AEWB100207,17,0,2021,DADHIRAM RAY,,West_Bengal,MEKLIGANJ,BJP,BJP,,M,,2,FALSE,FALSE,,0,,38,,2
AEWB100208,14,0,2006,JYOTISH ROY,SC,West_Bengal,MEKLIGANJ,BSP,,2895,M,5,4,FALSE,FALSE,2.01,88,0.06,55,,4
AEWB100208,15,0,2011,JYOTISH ROY,SC,West_Bengal,MEKLIGANJ,BSP,BSP,3359,M,5,4,FALSE,FALSE,2.28,766,0.52,61,,4
AEWB100208,16,0,2016,JYOTISH ROY,SC,West_Bengal,MEKLIGANJ,BSP,BSP,5650,M,4,4,FALSE,FALSE,3.12,3317,1.83,66,,4
AEWB100208,17,0,2021,JYOTISH ROY,,West_Bengal,MEKLIGANJ,BSP,BSP,,M,,4,FALSE,FALSE,,0,,71,,4
AEWB100210,14,0,2006,RATAN BARMAN,SC,West_Bengal,MEKLIGANJ,AMB,,1401,M,8,4,FALSE,FALSE,0.97,0,0,41,,4
AEWB100210,15,0,2011,RATAN BARMAN,SC,West_Bengal,MEKLIGANJ,AMB,AMB,1230,M,8,4,FALSE,FALSE,0.83,0,0,46,,4
AEWB100210,16,0,2016,RATAN BARMAN,SC,West_Bengal,MEKLIGANJ,AMB,AMB,1809,M,7,4,FALSE,FALSE,1,854,0.47,51,,4
AEWB100210,17,0,2021,RATAN BARMAN,,West_Bengal,MATHABHANGA,Amra Bangalee,AMB,,M,,4,TRUE,FALSE,,0,,56,,4
AEWB100211,16,0,2016,GOLAPI ROY,SC,West_Bengal,MEKLIGANJ,IND,,955,F,8,2,FALSE,FALSE,0.53,41,0.02,29,,2
AEWB100211,17,0,2021,GOLAPI ROY,,West_Bengal,MEKLIGANJ,IND,IND,,F,,2,FALSE,FALSE,,0,,33,,2
AEWB100224,16,0,2016,SUKUMAR ROY,SC,West_Bengal,COOCH BEHAR UTTAR,BJP,,30025,M,3,2,FALSE,FALSE,13.42,27376,12.23,48,,2
AEWB100224,17,0,2021,SUKUMAR ROY,,West_Bengal,COOCH BEHAR UTTAR,BJP,BJP,,M,,2,FALSE,FALSE,,0,,52,,2
AEWB100227,16,0,2016,ANILCHANDRA ROY,SC,West_Bengal,COOCH BEHAR UTTAR,SUCI,,1731,M,7,2,FALSE,FALSE,0.77,224,0.1,47,,2
AEWB100227,17,0,2021,ANIL CHANDRA ROY,,West_Bengal,COOCH BEHAR UTTAR,SUCI,SUCI,,M,,2,FALSE,FALSE,,0,,53,,2
AEWB100230,11,0,1991,MIHIR GOSWAMI,,West_Bengal,COOCH BEHAR NORTH,INC,,41402,M,2,6,FALSE,FALSE,37.36,25814,23.29,,2,6
AEWB100230,12,0,1996,MIHIR GOSWAMI,,West_Bengal,COOCH BEHAR NORTH,INC,INC,59375,M,1,6,FALSE,FALSE,47.25,6864,5.46,,2,6
AEWB100230,13,0,2001,MIHIR GOSWAMI,,West_Bengal,COOCH BEHAR NORTH,AITC,INC,38813,M,2,6,TRUE,TRUE,31.83,27339,22.42,,2,6
AEWB100230,14,0,2006,MIHIR GOSWAMI,GEN,West_Bengal,COOCH BEHAR NORTH,AITC,AITC,36325,M,2,6,FALSE,FALSE,25.84,3879,2.76,52,2,6
AEWB100230,16,0,2016,MIHIR GOSWAMI,GEN,West_Bengal,COOCH BEHAR DAKSHIN,AITC,AITC,82849,M,1,6,FALSE,FALSE,46.24,18195,10.15,62,2,6
AEWB100230,17,0,2021,MIHIR GOSWAMI,,West_Bengal,NATABARI,BJP,AITC,,M,,6,TRUE,TRUE,,0,,67,2,6
AEWB100232,16,0,2016,NIKHIL RANJAN DEY,GEN,West_Bengal,COOCH BEHAR DAKSHIN,BJP,,18176,M,3,2,FALSE,FALSE,10.14,12979,7.24,58,,2
AEWB100232,17,0,2021,NIKHIL RANJAN DEY,,West_Bengal,COOCH BEHAR DAKSHIN,BJP,BJP,,M,,2,FALSE,FALSE,,0,,63,,2
AEWB100239,16,0,2016,BAREN CHANDRA BARMAN,SC,West_Bengal,SITALKUCHI,BJP,,27347,M,3,2,FALSE,FALSE,11.89,22394,9.73,42,,2
AEWB100239,17,0,2021,BAREN CHANDRA BARMAN,,West_Bengal,SITALKUCHI,BJP,BJP,,M,,2,FALSE,FALSE,,0,,47,,2
AEWB100241,16,0,2016,JAGADISH ADHIKARI,SC,West_Bengal,SITALKUCHI,SUCI,,2267,M,5,2,FALSE,FALSE,0.99,32,0.01,49,,2
AEWB100241,17,0,2021,JAGADISH ADHIKARI,,West_Bengal,SITALKUCHI,SUCI,SUCI,,M,,2,FALSE,FALSE,,0,,50,,2
