pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEWB000001,3,0,1962,SATISH CHANDRA ROY,,West_Bengal,ALIPUR DUARS,GEN,PSP,,674,M,4,1,FALSE,FALSE,2.03,0,0,,,,1
AEWB107449,3,0,1962,SUBODH BHOWAL,,West_Bengal,PURBASTHALI,GEN,CPI,,19309,M,2,1,FALSE,FALSE,45.29,17908,42,,,,1
AEWB110360,3,0,1962,SUNDAR NASKAR,,West_Bengal,BISHNUPUR EAST,SC,CPI,,10977,M,2,1,FALSE,FALSE,23.4,8073,17.21,,,,1
AEWB111734,3,0,1962,NIMAI CHAND MURMU,,West_Bengal,HABIBPUR S N,GEN,CPI,,22367,M,1,1,FALSE,FALSE,59.43,8299,22.05,,,1,1
AEWB113059,3,0,1962,SASANKA SEKHAR MONDAL,,West_Bengal,RAMPURHAT,GEN,FB,,10119,M,2,1,FALSE,FALSE,35.79,6762,23.92,,,,1
AEWB113277,3,0,1962,LUTFAL HOQUE,,West_Bengal,SUTI,GEN,INC,,28878,M,1,1,FALSE,FALSE,56.08,6266,12.17,,,1,1
AEWB113797,3,0,1962,SASABINDU BERA,,West_Bengal,SYAMPUR,GEN,FB,,26619,M,2,1,FALSE,FALSE,43.88,26078,42.99,,,,1
AEWB113951,3,0,1962,RASH BIHARI PAL,,West_Bengal,CONTAI SOUTH,GEN,INC,,21629,M,2,1,FALSE,FALSE,48.94,0,0,,,,1
AEWB113959,3,0,1962,BALAILAL DAS MAHAPATRA,,West_Bengal,RAMNAGAR,GEN,PSP,,19574,M,1,1,FALSE,FALSE,51.2,918,2.4,,,1,1
AEWB113973,3,0,1962,RADHA NATH DASADHIKARI,,West_Bengal,PATASPUR,GEN,INC,,26247,M,1,1,FALSE,FALSE,52.41,12428,24.82,,,1,1
AEWB114298,3,0,1962,SIDDHESWAR MANDAL,,West_Bengal,RAJNAGAR,GEN,FB,,9129,M,1,1,FALSE,FALSE,47.33,2109,10.93,,,1,1
AEWB114346,3,0,1962,DINESH CHANDRA DAKUA,,West_Bengal,MATHABHANGA,SC,CPI,,15482,M,2,1,FALSE,FALSE,45.2,0,0,,,,1
AEWB114364,3,0,1962,KAMAL KANTI GUHA,,West_Bengal,DINHATA,GEN,FB,,26807,M,1,1,FALSE,FALSE,60.77,10422,23.63,,,1,1
AEWB114451,3,0,1962,DEO PRAKASH RAI,,West_Bengal,DARJEELING,GEN,GL,,9139,M,1,1,FALSE,FALSE,49.17,4520,24.32,,,1,1
AEWB114547,3,0,1962,HAKAI MARDI,,West_Bengal,TAPAN,ST,INC,,11608,M,2,1,FALSE,FALSE,41.12,9823,34.79,,,,1
AEWB114561,3,0,1962,BOILA MURMU,,West_Bengal,HABIBPUR S N,GEN,INC,,14068,M,2,1,FALSE,FALSE,37.38,12865,34.18,,,,1
AEWB114748,3,0,1962,NALINAKSHA SANYAL,,West_Bengal,KARIMPUR,GEN,IND,,15790,M,2,1,FALSE,FALSE,40.72,12536,32.33,,,,1
AEWB114902,3,0,1962,ANANTA KUMAR BAIDYA,,West_Bengal,SANDESHKHALI,SC,INC,,17564,M,1,1,FALSE,FALSE,41.5,3853,9.1,,,1,1
AEWB115071,3,0,1962,BYOMKESH BANERJEE,,West_Bengal,BIJPUR,GEN,PSP,,2967,M,3,1,FALSE,FALSE,6.88,2210,5.12,,,,1
AEWB115077,3,0,1962,SITA RAM GUPTA,,West_Bengal,BHATPARA,GEN,CPI,,17279,M,2,1,FALSE,FALSE,41.71,16771,40.48,,,,1
AEWB115250,3,0,1962,NIKIL DAS,,West_Bengal,BURTOLA NORTH,GEN,RSP,,20309,M,1,1,FALSE,FALSE,55.36,4924,13.42,,,1,1
AEWB115439,3,0,1962,BANKIM CHANDRA SASMAL,,West_Bengal,DASPUR,GEN,INC,,17631,M,2,1,FALSE,FALSE,39.33,14983,33.42,,,,1
AEWB115539,3,0,1962,KISHORIMOHAN MANDAL,,West_Bengal,DEBRA,GEN,SBP,,6264,M,4,1,FALSE,FALSE,13.73,4798,10.52,,,,1
AEWB115561,3,0,1962,BANKIMBEHARI PAL,,West_Bengal,MIDNAPORE,GEN,PSP,,4874,M,3,1,FALSE,FALSE,14.64,2585,7.76,,,,1
AEWB115624,3,0,1962,DHANANJOY KAR,,West_Bengal,GOPIBALLAVPUR,GEN,PSP,,11184,M,2,1,FALSE,FALSE,37.45,9450,31.65,,,,1
AEWB115636,3,0,1962,JOYRAM SAREN,,West_Bengal,BINPUR,ST,CPI,,4951,M,2,1,FALSE,FALSE,22.65,1327,6.07,,,,1
AEWB115786,3,0,1962,SIBDAS GHATAK,,West_Bengal,ASANSOL,GEN,INC,,8326,M,2,1,FALSE,FALSE,27.69,4359,14.49,,,,1
AEWB115855,3,0,1962,DASARATHI TAH,,West_Bengal,RAINA,GEN,PSP,,12584,M,2,1,FALSE,FALSE,30.54,11160,27.09,,,,1
AEWB115864,3,0,1962,DEHENDRA BEJOY GHOSH,,West_Bengal,KALNA,GEN,INC,,20222,M,2,1,FALSE,FALSE,45.1,19532,43.56,,,,1
AEWB115996,3,0,1962,JAGADANANDA ROY,,West_Bengal,FALAKATA,GEN,PSP,,14997,M,2,1,FALSE,FALSE,37.06,8246,20.38,,,,1
