Party,Expanded_Party_Name
FB,FORWARD BLOC
INC,INDIAN NATIONAL CONGRESS
CPI,COMMUNIST PARTY OF INDIA
PSP,PRAJA SOCIALIST PARTY
RSP,REVOLUTIONARY SOCIALIST PARTY
GL,ALL INDIA GORKHA LEAGUE
SWA,SWATANTRA
WPI,THE WORKERS PARTY OF INDIA
SUC,SOCIALIST UNITY CENTRE OF INDIA
SBP,SANJUKTA BIPLABI PARISHA
LSS,LOK SEVAK SANGHA
FBL,ALL INDIA FORWARD BLOC
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
BAC,BANGAL CONGRESS
SSP,SAMYUKTA SOCIALIST PARTY
BJS,AKHIL BHARTIYA JANA SANGH
NDF,INDIAN NATIONAL DEMOCRATIC FRONT
IGL,ALL INDIA GORKHA LEAGUE
PML,PROGRESSIVE MUSLIM LEAGUE
RCI,REVOLUTIONARY COMMUNIST PARTY OF INDIA
BBC,BHARATER BIPLABI COMMUNIST PARTY
MFB,MARXIST FORWARD BLOC
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
JKP,ALL INDIA JHARKHAND PARTY
MUL,INDIAN UNION MUSLIM LEAGUE
JNP,JANATA PARTY
ICS,INDIAN CONGRESS (SOCIALIST)
BJP,BHARATIYA JANATA PARTY
JD,JANATA DAL
DSP(PC),DEMOCRATIC SOCIALIST PARTY (PRABODH CHANDRA)
RCPI(RB),RAVOLUTIONARY COMMUNIST PARTY OF INDIA (RASIK BHATT)
FB(S),FORWARD BLOC (SOCIALIST)
GNLF,GORAKHA NATIONAL LIBERATION FRONT
JKP(N),JHARKHAND PARTY (NAREN)
AITC,ALL INDIA TRINAMOOL CONGRESS
SP,SAMAJWADI PARTY
WBSP,WEST BENGAL SOCIALIST PARTY
RJD,RASHTRIYA JANATA DAL
AIFB,ALL INDIA FORWARD BLOC
DSP(P),DEMOCRATIC SOCIALIST PARTY (PRABODH CHANDRA)
SUCI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
GOJAM,GORKHA JANMUKTI MORCHA
