pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAP11239,5,0,1972,SOBHANADRESWARA RAO VADDE,,Andhra_Pradesh,VUYYUR,GEN,IND,,23615,M,2,1,FALSE,FALSE,42.94,0,0,,,,1
AEAP13133,5,0,1972,P V CHALAPATHI RAO,,Andhra_Pradesh,ANAKAPALLI,GEN,BJS,,4058,M,3,1,FALSE,FALSE,7.17,2727,4.82,,,,1
AEAP13467,3,0,1962,VANKA SATYANARAYANA,,Andhra_Pradesh,PENUGONDA,GEN,CPI,,25069,M,1,2,FALSE,FALSE,50.55,548,1.11,,,2,2
AEAP13467,5,0,1972,VANKA SATYANARAYANA,,Andhra_Pradesh,PENUGONDA,GEN,CPI,CPI,30690,M,1,2,FALSE,FALSE,52.87,5936,10.23,,,2,2
AEAP14167,3,0,1962,TAVANAM CHENCHAIAH,,Andhra_Pradesh,SANTHANUTHALAPADU,SC,CPI,,18649,M,1,2,FALSE,FALSE,47.54,2991,7.62,,,1,2
AEAP14167,5,0,1972,CHENCHAIAH TAVANAM,,Andhra_Pradesh,SANTHANUTHACAPADU,SC,IND,CPI,12482,M,2,2,FALSE,FALSE,30,9408,22.61,,,1,2
AEAP14845,5,0,1972,C. NARAYANA REDDY,,Andhra_Pradesh,KADIRI,GEN,IND,,25544,M,1,1,FALSE,FALSE,48.92,2002,3.83,,,1,1
AEAP15335,5,0,1972,D. K. SAMARA SIMHA REDDY,,Andhra_Pradesh,GADWAL,GEN,STS,,18632,M,2,1,FALSE,FALSE,40.17,16019,34.54,,,,1
AEAP15545,5,0,1972,P. RAMA SWAMY,,Andhra_Pradesh,MAHARAJGANJ,GEN,IND,,4235,M,3,1,FALSE,FALSE,11.32,3053,8.16,,,,1
AEAP16367,3,0,1962,JANNI MUTYALU,,Andhra_Pradesh,PACHIPENTA,ST,SWA,,5459,M,2,2,FALSE,FALSE,30.33,1155,6.42,,,1,2
AEAP16367,5,0,1972,MUTYALLU JANNI,,Andhra_Pradesh,SALUR,ST,INC,SWA,24787,M,1,2,TRUE,FALSE,67.14,12655,34.28,,,1,2
AEAP16387,3,0,1962,BODDEPALI NARSIMHULU,,Andhra_Pradesh,KOTHURU,SC,CPI,,10375,M,2,2,FALSE,FALSE,37.05,3787,13.52,,,,2
AEAP16387,5,0,1972,BODDEPALLI NARASIMHULU,,Andhra_Pradesh,PALAKONDA,SC,IND,CPI,4355,M,3,2,FALSE,FALSE,12.12,0,0,,,,2
AEAP16409,5,0,1972,ALWARDAS SUNKARI,,Andhra_Pradesh,VISAKHAPATNAM I,GEN,IND,,4743,M,4,1,FALSE,FALSE,9.34,3841,7.56,,,,1
AEAP16411,3,0,1962,BHATTAM SRIRAMAMURTY,,Andhra_Pradesh,VIZIANAGARAM,GEN,INC,,35214,M,1,2,FALSE,FALSE,88.47,30623,76.93,,,2,2
AEAP16411,5,0,1972,BHATTAM SRIRAM MURTHY,,Andhra_Pradesh,PARAVADA,GEN,INC,INC,32591,M,1,2,FALSE,FALSE,66.91,18070,37.1,,,2,2
AEAP17,5,0,1972,E. V. PADMANABHAN,,Andhra_Pradesh,KHAIRATABAD,GEN,STS,,10970,M,2,1,FALSE,FALSE,31.85,7710,22.39,,,,1
AEAP17417,5,0,1972,V. RAMASWAMY,,Andhra_Pradesh,KUPPAM,GEN,INC,,16916,M,2,1,FALSE,FALSE,35.99,14074,29.94,,,,1
AEAP17843,5,0,1972,DEVARAJU ANJANEYULU,,Andhra_Pradesh,KARIMNAGAR,GEN,STS,,14348,M,2,1,FALSE,FALSE,32.47,0,0,,,,1
AEAP17941,5,0,1972,VANNALA SRIRAMULU,,Andhra_Pradesh,WARDHASNNAPET,GEN,BJS,,5528,M,4,1,FALSE,FALSE,9.96,0,0,,,,1
AEAP18157,3,0,1962,GOUTHU LATCHANNA,,Andhra_Pradesh,SOMPETA,GEN,SWA,,16609,M,1,3,FALSE,FALSE,43.6,1834,4.81,,,2,3
AEAP18157,4,0,1967,G. LATCHANNA,,Andhra_Pradesh,SOMPETA,GEN,SWA,SWA,28524,M,1,3,FALSE,TRUE,52.35,2558,4.69,,,2,3
AEAP18157,5,0,1972,GOUTHU LATCHANNA,,Andhra_Pradesh,SOMPETA,GEN,SWA,SWA,26802,M,2,3,FALSE,TRUE,43.15,0,0,,,2,3
AEAP18567,4,0,1967,N. R. BURAGADDA,,Andhra_Pradesh,MALLESWARA,GEN,IND,,31944,M,1,2,FALSE,FALSE,50.37,8190,12.91,,,1,2
AEAP18567,5,0,1972,BURAGADDA NIRANJANA RAO,,Andhra_Pradesh,MALLESHWARAM,GEN,IND,IND,32606,M,2,2,FALSE,TRUE,45.57,0,0,,,1,2
AEAP18929,3,0,1962,PALA VENKATASUBBAIAH,,Andhra_Pradesh,KODUR,SC,INC,,8116,M,2,2,FALSE,FALSE,32.13,5215,20.64,,,1,2
AEAP18929,5,0,1972,PITLA VENKATASUBBAIAH,,Andhra_Pradesh,SULLURPET,SC,INC,INC,28558,M,1,2,FALSE,FALSE,60.98,11425,24.4,,,1,2
AEAP19037,5,0,1972,MALARAPU KAYARAMAIAH,,Andhra_Pradesh,TIRUPATHI,GEN,IND,,389,M,5,1,FALSE,FALSE,0.62,101,0.16,,,,1
AEAP19207,3,0,1962,P. RAJARATHNA RAO,,Andhra_Pradesh,KODUMUR,SC,IND,,16496,M,2,2,FALSE,FALSE,41.43,0,0,,,1,2
AEAP19207,5,0,1972,P. RAJARATNA RAO,,Andhra_Pradesh,ALUR,SC,INC,IND,18399,M,1,2,FALSE,FALSE,75.68,16188,66.59,,,1,2
AEAP19283,4,0,1967,V. N. GOUD,,Andhra_Pradesh,NAGARKURNOOL,GEN,IND,,29072,M,1,2,FALSE,FALSE,57.76,11574,22.99,,,2,2
AEAP19283,5,0,1972,V. N. GOUD,,Andhra_Pradesh,NAGARKURNOOL,GEN,INC,IND,30543,M,1,2,FALSE,TRUE,52.09,2453,4.18,,,2,2
AEAP19376,5,0,1972,TIRUMALAIAH,,Andhra_Pradesh,VICARABAD,SC,IND,,19339,M,1,1,FALSE,FALSE,51.62,4711,12.57,,,1,1
AEAP19577,5,0,1972,ALLAM SAILOO,,Andhra_Pradesh,GAJWEL,SC,IND,,19688,M,2,1,FALSE,FALSE,44.03,19275,43.11,,,,1
AEAP19599,3,0,1962,M. BAGA REDDY,,Andhra_Pradesh,ZAHIRABAD,GEN,INC,,18630,M,1,2,FALSE,FALSE,56.73,12441,37.89,,,2,2
AEAP19599,5,0,1972,M BAGA REDDY,,Andhra_Pradesh,ZAHIRABAD,GEN,INC,INC,27121,M,1,2,FALSE,FALSE,49.05,367,0.66,,,2,2
AEAP19631,5,0,1972,J ESHWARIBAI,,Andhra_Pradesh,YELLAREDDY,SC,STS,,15403,M,1,1,FALSE,FALSE,52.33,1372,4.66,,,1,1
AEAP19923,5,0,1972,V. VENKATESHWARA RAO,,Andhra_Pradesh,METPALLI,GEN,IND,,23810,M,2,1,FALSE,FALSE,40.61,0,0,,,,1
AEAP20176,5,0,1972,PYDI SRI RAMA MURTHY,,Andhra_Pradesh,NAGARIKATAKAM,GEN,IND,,28467,M,1,1,FALSE,FALSE,53.6,4546,8.56,,,1,1
AEAP20183,3,0,1962,THANGI SATYANARAYANA,,Andhra_Pradesh,SRIKAKULAM,GEN,SWA,,13903,M,3,2,FALSE,FALSE,30.84,13536,30.02,,,,2
AEAP20183,5,0,1972,THANGI SATYANARAYANA,,Andhra_Pradesh,SRIKAKULAM,GEN,INC,SWA,24944,M,2,2,TRUE,FALSE,47.45,0,0,,,,2
AEAP20236,5,0,1972,DRONAMRAJU SATYANARAYANA,,Andhra_Pradesh,VISAKHAPATNAM I I,GEN,IND,,15864,M,2,1,FALSE,FALSE,32.27,1053,2.14,,,,1
AEAP20561,5,0,1972,CHANAMOLU VENKATA RAO,,Andhra_Pradesh,MYLAVARAM,GEN,INC,,41901,M,1,1,FALSE,FALSE,63.26,23025,34.76,,,1,1
AEAP20745,3,0,1962,GANAPA RAMASWAMI REDDY,,Andhra_Pradesh,PEDDAKURAPADU,GEN,INC,,17720,M,1,2,FALSE,FALSE,41.38,2276,5.31,,,1,2
AEAP20745,5,0,1972,GANAPA RAMASWAMY REDDY,,Andhra_Pradesh,REDDAKURAPADU,GEN,IND,INC,29063,M,2,2,FALSE,FALSE,38.29,27797,36.62,,,1,2
AEAP20751,5,0,1972,JULAKANTI NAGIREDDY,,Andhra_Pradesh,MACHERLA,GEN,IND,,36738,M,1,1,FALSE,FALSE,58.96,11169,17.93,,,1,1
AEAP20995,5,0,1972,RAMASUBBA REDDY GADIKOTA,,Andhra_Pradesh,LAKKIREDDIPALLI,GEN,IND,,23726,M,2,1,FALSE,FALSE,41.34,0,0,,,,1
AEAP21000,5,0,1972,RAJGOPAL REDDY,,Andhra_Pradesh,LAKKIREDDIPALLI,GEN,INC,,33667,M,1,1,FALSE,FALSE,58.66,9941,17.32,,,1,1
AEAP21051,3,0,1962,K. RAMACHANDRA REDDY,,Andhra_Pradesh,RAMANNAPET,GEN,CPI,,23784,M,1,2,FALSE,FALSE,56.23,5268,12.45,,,1,2
AEAP21051,5,0,1972,K. RAMACHANDRA REDDY,,Andhra_Pradesh,NALLAMDA,GEN,IND,CPI,15473,M,2,2,FALSE,FALSE,34.9,12928,29.16,,,1,2
AEAP21091,4,0,1967,P.V. CHOUWDARY,,Andhra_Pradesh,DHARMAVARAM,GEN,INC,,23538,M,2,2,FALSE,FALSE,46.76,0,0,,,1,2
AEAP21091,5,0,1972,P. V. CHOWDARY,,Andhra_Pradesh,DHARAMAVARAM,GEN,INC,INC,30084,M,1,2,FALSE,FALSE,51.99,2307,3.99,,,1,2
AEAP21099,5,0,1972,B. KRISTAPPA,,Andhra_Pradesh,ALUR,SC,IND,,135,M,7,1,FALSE,FALSE,0.56,0,0,,,,1
AEAP21152,5,0,1972,BOJJA VENKATAREDDY,,Andhra_Pradesh,NANDYAL,GEN,IND,,43559,M,1,1,FALSE,FALSE,53.53,6639,8.16,,,1,1
AEAP21197,5,0,1972,VANGOORU KRISHNA REDDY,,Andhra_Pradesh,KOLLAPUR,GEN,IND,,8353,M,3,1,FALSE,FALSE,13.99,0,0,,,,1
AEAP21223,5,0,1972,M. MANIK RAO,,Andhra_Pradesh,TANDUR,GEN,INC,,0,M,1,1,FALSE,FALSE,,0,,,,1,1
AEAP21803,5,0,1972,CHAKILAM SRINIVASA RAO,,Andhra_Pradesh,NALGONDA,GEN,INC,,26239,M,1,1,FALSE,FALSE,54.62,9672,20.13,,,1,1
