Party,Expanded_Party_Name
TDP,TELUGU DESAM PARTY
YSRCP,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY
INC,INDIAN NATIONAL CONGRESS
BJP,BHARATIYA JANATA PARTY
IND,INDEPENDENT
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
RPI,REPUBLICAN PARTY OF INDIA
BSP,BAHUJAN SAMAJ PARTY
SP,SAMAJWADI PARTY
NPT,NAVODYAM PARTY
LSP,LOK SATTA PARTY
AIMIM,ALL INDIA MAJLIS-E ITHEHAD-UL MUSLIMEEN
TRS,TELANGANA RASHTRA SAMITHI
PRAP,PRAJA RAJYAM PARTY
MBT,MAJLIS BACHAO TAHREEK
JP,JANATA PARTY
SSP,SANGHATA SOCIALIST PARTY
MIM,ALL INDIA MAJLIS-E ITHEHAD-UL MUSLIMEEN
JD,JANATA DAL
BJS,AKHIL BHARATIYA JANA SANGH
JNP,JANATA PARTY
ICJ,INDIAN CONGRESS (JAGJIVAN RAM)
INC(I),INDIAN NATIONAL CONGRESS (I)
SWA,SWATANTRA PARTY
STS,SAMPURNA TELANGANA PRAJA SAMITHI
SOC,SOCIALIST
