pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAR100007,2,0,1980,TAPANG GYAMA,,Arunachal_Pradesh,DAPORIJO,GEN,IND,,25,M,3,1,FALSE,FALSE,0.29,0,0,,,,1
AEAR100009,2,0,1980,S. KRISKRO,,Arunachal_Pradesh,TEZU HAYULIANG,GEN,IND,,631,M,3,1,FALSE,FALSE,7.68,338,4.11,,,,1
AEAR100011,1,0,1978,TADAR TANIANG,,Arunachal_Pradesh,NYAPIN PALIN,GEN,PPA,,999,M,2,2,FALSE,FALSE,20.14,0,0,,,,2
AEAR100011,2,0,1980,TADAR TANIANG,,Arunachal_Pradesh,NYAPIN PALIN,GEN,PPA,PPA,2086,M,2,2,FALSE,FALSE,43.81,1772,37.21,,,,2
AEAR23847,1,0,1978,AKEN LEGO,,Arunachal_Pradesh,ROING,GEN,PPA,,2102,M,1,2,FALSE,FALSE,60.09,1172,33.5,,,2,2
AEAR23847,2,0,1980,AKEN LEGO,,Arunachal_Pradesh,ROING,GEN,PPA,PPA,2260,M,1,2,FALSE,TRUE,50.35,975,21.72,,,2,2
AEAR80998,1,0,1978,LIUM RONYA,,Arunachal_Pradesh,ALONG NORTH,GEN,PPA,,3394,M,1,2,FALSE,FALSE,51.13,1526,22.99,,,1,2
AEAR80998,2,0,1980,LIJUM RONYA,,Arunachal_Pradesh,ALONG NORTH,GEN,PPA,PPA,3157,M,2,2,FALSE,TRUE,48.81,0,0,,,1,2
AEAR81052,1,0,1978,CHOW TEWA MIEN,,Arunachal_Pradesh,NOMSAI CHOWKHAM,GEN,JNP,,4542,M,1,2,FALSE,FALSE,41.99,1506,13.92,,,1,2
AEAR81052,2,0,1980,CHOW TEWA MIEN,,Arunachal_Pradesh,NAMSAI CHOWKHAM,GEN,INC(I),JNP,5402,M,2,2,TRUE,TRUE,47.01,0,0,,,1,2
AEAR81344,1,0,1978,TADIK CHIJE,,Arunachal_Pradesh,MECHUKA,GEN,IND,,1903,M,1,2,FALSE,FALSE,47.79,784,19.69,,,1,2
AEAR81344,2,0,1980,TADIK CHIJE,,Arunachal_Pradesh,MECHUKA,GEN,INC(I),IND,1159,M,2,2,FALSE,TRUE,30.95,312,8.33,,,1,2
AEAR81345,1,0,1978,PASNAG WANGCHUK SONA,,Arunachal_Pradesh,MECHUKA,GEN,JNP,,960,M,3,2,FALSE,FALSE,24.11,0,0,,,1,2
AEAR81345,2,0,1980,PASANG WANGCHUK SONA,,Arunachal_Pradesh,MECHUKA,GEN,IND,JNP,1541,M,1,2,FALSE,FALSE,41.15,382,10.2,,,1,2
AEAR81629,1,0,1978,DONGLO SONAM,,Arunachal_Pradesh,SEPPA,GEN,JNP,,4232,M,1,2,FALSE,FALSE,65.28,2583,39.84,,,1,2
AEAR81629,2,0,1980,DONGLO SONAM,,Arunachal_Pradesh,CHAYANG TAJO,GEN,INC(I),JNP,804,M,4,2,TRUE,TRUE,14.81,0,0,,,1,2
AEAR81689,1,0,1978,TOMO RIBA,,Arunachal_Pradesh,BASAR,GEN,PPA,,4109,M,1,2,FALSE,FALSE,59.93,1362,19.87,,,2,2
AEAR81689,2,0,1980,TOMO RIBA,,Arunachal_Pradesh,BASAR,GEN,PPA,PPA,3913,M,1,2,FALSE,TRUE,51.49,402,5.29,,,2,2
AEAR81732,1,0,1978,TADE TACHC,,Arunachal_Pradesh,KOLORIANG,ST,IND,,1048,M,1,2,FALSE,FALSE,68.54,718,46.96,,,2,2
AEAR81732,2,0,1980,TADE TACHO,,Arunachal_Pradesh,ANINI,GEN,IND,IND,1177,M,1,2,FALSE,TRUE,62.41,468,24.81,,,2,2
AEAR81740,1,0,1978,NAMO LINGI,,Arunachal_Pradesh,ROING,GEN,IND,,466,M,3,2,FALSE,FALSE,13.32,0,0,,,,2
AEAR81740,2,0,1980,NAMO LINGI,,Arunachal_Pradesh,ROING,GEN,IND,IND,166,M,4,2,FALSE,FALSE,3.7,0,0,,,,2
AEAR81785,1,0,1978,KARMA WANGCHU,,Arunachal_Pradesh,TAWANG-I,GEN,IND,,2313,M,1,2,FALSE,FALSE,65.17,1077,30.35,,,2,2
AEAR81785,2,0,1980,KARMA WANGOHU,,Arunachal_Pradesh,TAWANG I,GEN,PPA,IND,2555,M,1,2,FALSE,TRUE,69.64,1441,39.28,,,2,2
AEAR81801,1,0,1978,KAMENG DOLO,,Arunachal_Pradesh,CHAYANGTAJO,GEN,JNP,,3396,M,1,2,FALSE,FALSE,57.51,887,15.02,,,2,2
AEAR81801,2,0,1980,KAMENG DOLO,,Arunachal_Pradesh,CHAYANG TAJO,GEN,IND,JNP,1894,M,1,2,FALSE,TRUE,34.89,35,0.64,,,2,2
AEAR81813,2,0,1980,TECHI TAKAR,,Arunachal_Pradesh,DOIMUKH SAGALEE,GEN,INC(I),,4225,M,1,1,FALSE,FALSE,51.97,321,3.95,,,1,1
AEAR81827,1,0,1978,GRATI TAKKA,,Arunachal_Pradesh,ZIRO,GEN,IND,,2014,M,2,2,FALSE,FALSE,19.92,355,3.51,,,,2
AEAR81827,2,0,1980,GYATI TAKKA,,Arunachal_Pradesh,ZIRO,GEN,PPA,IND,2179,M,2,2,FALSE,FALSE,26.29,616,7.43,,,,2
AEAR81849,1,0,1978,BAOTAMO,,Arunachal_Pradesh,RAGA-TALI,GEN,PPA,,2896,M,2,2,FALSE,FALSE,45,0,0,,,1,2
AEAR81849,2,0,1980,BOA TAME,,Arunachal_Pradesh,RAGA TALI,GEN,PPA,PPA,2983,M,1,2,FALSE,FALSE,61.57,1968,40.62,,,1,2
AEAR81859,1,0,1978,TADAK BASAR,,Arunachal_Pradesh,BASAR,GEN,JNP,,2747,M,2,2,FALSE,FALSE,40.07,0,0,,,,2
AEAR81859,2,0,1980,TODAK BASAR,,Arunachal_Pradesh,BASAR,GEN,INC(I),JNP,3511,M,2,2,TRUE,FALSE,46.2,3335,43.88,,,,2
AEAR81938,2,0,1980,WANGLAT,,Arunachal_Pradesh,KHONSA NORTH,GEN,PPA,,2685,M,1,1,FALSE,FALSE,47.75,689,12.25,,,1,1
AEAR81968,1,0,1978,NYARI WELLI,,Arunachal_Pradesh,SEPPA,GEN,PPA,,1649,F,2,2,FALSE,FALSE,25.44,1338,20.64,,,1,2
AEAR81968,2,0,1980,NYARI WELLI,,Arunachal_Pradesh,SEPPA,GEN,PPA,PPA,2817,F,1,2,FALSE,FALSE,43.28,478,7.34,,,1,2
AEAR81989,1,0,1978,PADI YUBBE,,Arunachal_Pradesh,ZIRO,GEN,JNP,,4529,M,1,2,FALSE,FALSE,44.8,2515,24.88,,,2,2
AEAR81989,2,0,1980,PADI YUBBE,,Arunachal_Pradesh,ZIRO,GEN,IND,JNP,2231,M,1,2,FALSE,TRUE,26.92,52,0.63,,,2,2
AEAR82003,1,0,1978,TARA PAYENG,,Arunachal_Pradesh,TOKSING TALIHA,GEN,PPA,,1908,M,1,2,FALSE,FALSE,32.58,132,2.25,,,1,2
AEAR82003,2,0,1980,TARA PAYENG,,Arunachal_Pradesh,TAKSING TALIHA,GEN,PPA,PPA,2601,M,2,2,FALSE,TRUE,44.14,0,0,,,1,2
AEAR82011,1,0,1978,TALONG TAGGU,,Arunachal_Pradesh,ALONG NORTH,GEN,IND,,1868,M,2,2,FALSE,FALSE,28.14,492,7.41,,,1,2
AEAR82011,2,0,1980,TALONG TAGGU,,Arunachal_Pradesh,ALONG NORTH,GEN,INC(I),IND,3311,M,1,2,FALSE,FALSE,51.19,154,2.38,,,1,2
AEAR82024,1,0,1978,KABANG BORANG,,Arunachal_Pradesh,MARIYANG MEBO,GEN,IND,,1587,M,2,2,FALSE,FALSE,25.59,690,11.13,,,,2
AEAR82024,2,0,1980,KABANG BORANG,,Arunachal_Pradesh,MARIYANG MEBO,GEN,INC(I),IND,2511,M,2,2,FALSE,FALSE,37.47,0,0,,,,2
AEAR82054,1,0,1978,NOKMEY NAMATI,,Arunachal_Pradesh,KHONSA NORTH,GEN,JNP,,1866,M,1,2,FALSE,FALSE,36.65,465,9.13,,,1,2
AEAR82054,2,0,1980,NOKMEY NAMATI,,Arunachal_Pradesh,KHONSA NORTH,GEN,INC(U),JNP,1996,M,2,2,TRUE,TRUE,35.5,1176,20.91,,,1,2
AEAR82071,2,0,1980,PEM GOMBU,,Arunachal_Pradesh,TAWANG I,GEN,INC(I),,1114,M,2,1,FALSE,FALSE,30.36,0,0,,,,1
AEAR82074,2,0,1980,PEMA DROGA,,Arunachal_Pradesh,TAWANG II,GEN,IND,,158,F,3,1,FALSE,FALSE,4.01,0,0,,,,1
AEAR82075,2,0,1980,NIMA TSERING RUPA,,Arunachal_Pradesh,DIRANG KALAKTANG,GEN,INC(I),,3169,M,1,1,FALSE,FALSE,54.4,1668,28.64,,,1,1
AEAR82077,2,0,1980,LEI KUNJU DIRANG,,Arunachal_Pradesh,DIRANG KALAKTANG,GEN,IND,,895,M,3,1,FALSE,FALSE,15.36,753,12.93,,,,1
AEAR82078,2,0,1980,LOBSANG TSERING DIRANG,,Arunachal_Pradesh,DIRANG KALAKTANG,GEN,IND,,142,M,4,1,FALSE,FALSE,2.44,24,0.41,,,,1
AEAR82079,2,0,1980,DORJEE TSERINGH BOMDILA,,Arunachal_Pradesh,DIRANG KALAKTANG,GEN,PPA,,118,M,5,1,FALSE,FALSE,2.03,0,0,,,,1
AEAR82080,2,0,1980,SINAM DUSUSOW BOMDILA,,Arunachal_Pradesh,BOMDILA,GEN,PPA,,2133,M,1,1,FALSE,FALSE,52.69,218,5.39,,,1,1
AEAR82083,2,0,1980,MODI SENGI,,Arunachal_Pradesh,SEPPA,GEN,INC(I),,2339,M,2,1,FALSE,FALSE,35.93,986,15.15,,,,1
AEAR82084,2,0,1980,GOUMSENG RIMO,,Arunachal_Pradesh,SEPPA,GEN,INC(U),,1353,M,3,1,FALSE,FALSE,20.79,0,0,,,,1
AEAR82086,1,0,1978,TAME YANGFO,,Arunachal_Pradesh,CHAYANGTAJO,GEN,PPA,,2509,M,2,2,FALSE,FALSE,42.49,0,0,,,,2
AEAR82086,2,0,1980,TAME YANGFO,,Arunachal_Pradesh,CHAYANG TAJO,GEN,PPA,PPA,1859,M,2,2,FALSE,FALSE,34.24,987,18.18,,,,2
AEAR82087,2,0,1980,LUKUP SONO YANGFO,,Arunachal_Pradesh,CHAYANG TAJO,GEN,INC(U),,872,M,3,1,FALSE,FALSE,16.06,68,1.25,,,,1
AEAR82093,2,0,1980,TECHI TUKU,,Arunachal_Pradesh,NYAPIN PALIN,GEN,INC(U),,314,M,3,1,FALSE,FALSE,6.59,0,0,,,,1
AEAR82095,1,0,1978,KHODA TANA,,Arunachal_Pradesh,DOIMUKH SAGALEE,GEN,IND,,1520,M,2,2,FALSE,FALSE,23.07,277,4.2,,,,2
