Party,Expanded_Party_Name
AGP,ASOM GANA PARISHAD
AITC,ALL INDIA TRINAMOOL CONGRESS
AIUDF,ALL INDIA UNITED DEMOCRATIC FRONT
AJP,Assam Jatiya Parishad
BJP,BHARATIYA JANATA PARTY
BOPF,BODOLAND PEOPLES FRONT
CPI,COMMUNIST PARTY OF INDIA
CPI(ML)(L),COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENT
JD(U),JANATA DAL (UNITED)
NCP,NATIONAL CONGRESS PARTY
SP,SAMAJWADI PARTY
UPPL,United People's Party Liberal
ASDC,AUTONOMOUS STATE DEMAND COMMITTEE
LKS,LOKO SANMILON
SAP,SAMATA PARTY
AGP(P),ASOM GANA PARISHAD (PRAGTISHEEL)
AUDF,ASSAM UNITED DEMOCRATIC FRONT
UMFA,"UNITED MINORITIES FRONT, ASSAM"
ASDC(U),AUTONOMOUS STATE DEMAND COMMITTEE (UNITED)
PDF,PEOPLE'S DEMOCRATIC FRONT
AIIC(T),ALL INDIA INDIRA CONGRESS (TIWARI)
ICS,INDIAN CONGRESS (SOCIALIST)
JD,JANATA DAL
ADC,AUTONOMOUS STATE DEMAND COMMITTEE
NAGP,NATUN ASOM GANA PARISHAD
JNP,JANATA PARTY
PTC,PALIN TRIBALS COUNCILS OF ASSAM
INC(I),INDIAN NATIONAL CONGRESS (I)
RCI,REVOLUTIONARY COMMUNIST PARTY OF INDIA
SOP,SAMYUKTA SOCIALIST PARTY/ SOCIALIST PARTY
SWA,SWATANTRA PARTY
AHL,ALL PARTY HILL LEADERS CONFERENCE
PSP,PRAJA SOCIALIST PARTY
SSP,SANGHATA SOCIALIST PARTY
HLC,ALL PRATY HILL LEADERS CONFERENCE
RCP,REVOLUTIONARY COMMUNIST PARTY
