Party,Expanded_Party_Name
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
CPI,COMMUNIST PARTY OF INDIA
CPI(ML)(L),COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)
HAMS,HINDUSTANI AWAM MORCHA (SECULAR)
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENT
JD(U),JANATA DAL (UNITED)
JMM,JHARKHAND MUKTI MORCHA
JP,JANATA PARTY
LJP,LOK JAN SHAKTI PARTY
NCP,NATIONALIST CONGRESS PARTY
RJD,RASHTRIYA JANATA DAL
RPI,REPUBLICAN PARTY OF INDIA
SAP,SAMATA PARTY
SHD,SARVHARA DAL
SSD,SHOSHIT SAMAJ DAL
BLSP,RASHTRIYA LOK SAMTA PARTY
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
SP,SAMAJWADI PARTY
AJVD,AKHIL JAN VIKAS DAL
FBL,ALL INDIA FORWARD BLOC
JKP,ALL INDIA JHARKHAND PARTY
KSP,KOSAL PARTY
MCO,MARXIST CO-ORDINATION
UGDP,UNITED GOANS DEMOCRATIC PARTY
BKD,BAHUJAN KRANTI DAL
BPP,BHARATIYA PRAGATISHEEL PARTY
CVP,CHAMPARAN VIKAS PARTY
ICS,INDIAN CONGRES (SOCIALIST)
JD,JANATA DAL
JMM(M),JHARKHAND MUKTI MORCHA (MARDI)
JMM(S),JHARKHAND MUKTI MORCHA (SOREN)
JPP,JHARKHAND PEOPLE'S PARTY
LKD,LOK DAL
MCOR,MARXIST CO-ORDINATION
SOP(L),SOCIALIST PARTY (LOHIA)
BJS,AKHIL BHARATIYA JANA SANGH
IPF,INDIAN PEOPLES FRONT
JKD,JAN KRANTI DAL
JNP(JP),JANATA PARTY (JP)
SUC,SOCIALIST UNITY CENTRE OF INDIA
ICJ,INDIAN CONGRESS (J)
JNP,JAN PARISHAD
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
JNP(SC),JANATA PARTY (SECULAR)- CH CHARAN SINGH
JNP(SR),JANATA PARTY (SECULAR) RAJ NARAIN
PHJ,BIHAR PRANT HUL JHARKHAND
HJS,PROGRESSIVE HULL JHARKHAND PARTY (SHIBU GROUP)
HSD,HINDUSTANI SHOSHIT DAL
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SOP,SAMYUKTA SOCIALIST PARTY/ SOCIALIST PARTY
SWA,SWATANTRA PARTY
JAP,JANATA PARTY
LTC,LOK TANTRIK CONGRESS
PSP,PRAJA SOCIALIST PARTY
SSP,SAMYUKTA SOCIALIST PARTY
JS,JAN SANGH
SOC,SOCIALIST
