pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AECG100132,1,1,2004,Chatram Devagan,,Chhattisgarh,Alakatara,GEN,BJP,,39859,M,1,1,FALSE,FALSE,40.77,10672,10.92,,,1,1
AECG100134,1,1,2004,Jainarayan Choksay,,Chhattisgarh,Alakatara,GEN,BSP,,22992,M,3,1,FALSE,FALSE,23.52,20955,21.43,,,,1
AECG100135,1,1,2004,Maharati,,Chhattisgarh,Alakatara,GEN,IND,,2037,M,4,1,FALSE,FALSE,2.08,1130,1.16,,,,1
AECG100136,1,1,2004,Bhushan Sahu,,Chhattisgarh,Alakatara,GEN,IND,,907,M,5,1,FALSE,FALSE,0.93,39,0.04,,,,1
AECG100138,1,1,2004,Tularam,,Chhattisgarh,Alakatara,GEN,RD,,693,M,7,1,FALSE,FALSE,0.71,178,0.18,,,,1
AECG100139,1,1,2004,Kalanath Kurrey,,Chhattisgarh,Alakatara,GEN,IND,,515,M,8,1,FALSE,FALSE,0.53,131,0.13,,,,1
AECG100140,1,1,2004,Varun Pandey,,Chhattisgarh,Alakatara,GEN,SP,,384,M,9,1,FALSE,FALSE,0.39,61,0.06,,,,1
AECG100141,1,1,2004,Dwarika Prasad Dhritlahre,,Chhattisgarh,Alakatara,GEN,CSP,,323,M,10,1,FALSE,FALSE,0.33,0,0,,,,1
AECG100144,1,1,2004,Dyalu Chandel,,Chhattisgarh,Dongargaon,GEN,BSP,,2473,M,3,1,FALSE,FALSE,3.09,810,1.01,,,,1
AECG100145,1,1,2004,Luxman Das,,Chhattisgarh,Dongargaon,GEN,IND,,1663,M,4,1,FALSE,FALSE,2.07,935,1.17,,,,1
AECG100146,1,1,2004,Kanhaiya Das Manikpuri,,Chhattisgarh,Dongargaon,GEN,CSP,,728,M,5,1,FALSE,FALSE,0.91,34,0.04,,,,1
AECG100149,1,1,2006,Dr. Renu Jogi,,Chhattisgarh,Kota,GEN,INC,,59465,F,1,1,FALSE,FALSE,52.02,23470,20.53,,,1,1
AECG100151,1,1,2006,Baldao Prasad Sahu,,Chhattisgarh,Kota,GEN,IND,,4050,M,3,1,FALSE,FALSE,3.54,1881,1.65,,,,1
AECG100152,1,1,2006,Manohar,,Chhattisgarh,Kota,GEN,IND,,2169,M,4,1,FALSE,FALSE,1.9,395,0.35,,,,1
AECG100153,1,1,2006,Ravi Kumar,,Chhattisgarh,Kota,GEN,IND,,1774,M,5,1,FALSE,FALSE,1.55,63,0.06,,,,1
