pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEDL100582,6,0,1998,SHISH PAL SINGH,,Delhi,TUGLAKABAD,GEN,INC,,39551,M,1,1,FALSE,FALSE,49.59,8879,11.13,,,1,1
AEDL102766,6,0,1998,RAVINDER SINGH,,Delhi,VISHNU GARDEN,GEN,IND,,22,M,14,1,FALSE,FALSE,0.04,4,0.01,,,,1
AEDL103293,6,0,1998,CHANDU LAL,,Delhi,PATEL NAGAR,GEN,IND,,95,M,9,1,FALSE,FALSE,0.17,38,0.07,,,,1
AEDL103339,6,0,1998,SH. RAM BHAJ,,Delhi,SAROJINI NAGAR,GEN,BJP,,21318,M,1,1,FALSE,FALSE,49.8,1528,3.57,,,1,1
AEDL103340,6,0,1998,MUKESH BHATT,,Delhi,SAROJINI NAGAR,GEN,INC,,19790,M,2,1,FALSE,FALSE,46.23,19049,44.5,,,,1
AEDL103341,6,0,1998,SHELA GAUR,,Delhi,SAROJINI NAGAR,GEN,IND,,741,F,3,1,FALSE,FALSE,1.73,220,0.51,,,,1
AEDL103342,6,0,1998,DHARAM BIR SINGH,,Delhi,SAROJINI NAGAR,GEN,IND,,521,M,4,1,FALSE,FALSE,1.22,398,0.93,,,,1
AEDL103343,6,0,1998,ADERSH KUMAR,,Delhi,SAROJINI NAGAR,GEN,IND,,123,M,5,1,FALSE,FALSE,0.29,33,0.08,,,,1
AEDL103344,6,0,1998,YOGENDER SINGH,,Delhi,SAROJINI NAGAR,GEN,IND,,90,M,6,1,FALSE,FALSE,0.21,14,0.03,,,,1
AEDL103345,6,0,1998,MANMOHAN,,Delhi,SAROJINI NAGAR,GEN,IND,,76,M,7,1,FALSE,FALSE,0.18,13,0.03,,,,1
AEDL103346,6,0,1998,VED PARKASH,,Delhi,SAROJINI NAGAR,GEN,IND,,63,M,8,1,FALSE,FALSE,0.15,3,0.01,,,,1
AEDL103347,6,0,1998,UMA JOSHI,,Delhi,SAROJINI NAGAR,GEN,IND,,60,F,9,1,FALSE,FALSE,0.14,34,0.08,,,,1
AEDL103348,6,0,1998,LAYAK SINGH,,Delhi,SAROJINI NAGAR,GEN,IND,,26,M,10,1,FALSE,FALSE,0.06,0,0,,,,1
AEDL103352,6,0,1998,ROMESH SABHARWAL,,Delhi,GOLE MARKET,GEN,IND,,342,M,4,1,FALSE,FALSE,0.74,21,0.05,,,,1
AEDL103353,6,0,1998,RAM KUMAR,,Delhi,GOLE MARKET,GEN,SP,,321,M,5,1,FALSE,FALSE,0.7,82,0.18,,,,1
AEDL103354,6,0,1998,NARESH,,Delhi,GOLE MARKET,GEN,IND,,239,M,6,1,FALSE,FALSE,0.52,85,0.18,,,,1
AEDL103355,6,0,1998,RAM MURAT SHOLA,,Delhi,GOLE MARKET,GEN,LSWP,,154,M,7,1,FALSE,FALSE,0.33,15,0.03,,,,1
AEDL103356,6,0,1998,RAJNEESH SHARMA,,Delhi,GOLE MARKET,GEN,IND,,139,M,8,1,FALSE,FALSE,0.3,0,0,,,,1
AEDL103358,6,0,1998,ARUN JAIN ENGINEER,,Delhi,MINTO ROAD,GEN,BJP,,14050,M,2,1,FALSE,FALSE,26.2,6394,11.92,,,,1
AEDL103359,6,0,1998,RAMESH DUTTA,,Delhi,MINTO ROAD,GEN,IND,,7656,M,3,1,FALSE,FALSE,14.28,6696,12.49,,,,1
AEDL103360,6,0,1998,MINOO KAIM,,Delhi,MINTO ROAD,GEN,BSP,,960,F,4,1,FALSE,FALSE,1.79,485,0.9,,,,1
