pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEGA5091201,8,0,2022,RAJESH TULSHIDAS KALANGUTKAR,,Goa,MAEM,GEN,AAAP,,2084,M,6,1,FALSE,FALSE,8.18,1619,6.35,49,,,1
AEGA82166,5,0,2007,NARESH SAWAL,GEN,Goa,BICHOLIM,GEN,INC,,6657,M,2,4,FALSE,FALSE,36.24,4565,24.85,41,,1,4
AEGA82166,6,0,2012,NARESH RAJARAM SAWAL,GEN,Goa,BICHOLIM,GEN,IND,INC,8331,M,1,4,FALSE,FALSE,39.68,1799,8.57,46,,1,4
AEGA82166,7,0,2017,NARESH SAWAL,GEN,Goa,BICHOLIM,GEN,MAG,IND,9988,M,2,4,FALSE,TRUE,42.86,8227,35.3,51,,1,4
AEGA82166,8,0,2022,NARESH RAJARAM SAWAL,,Goa,BICHOLIM,GEN,MAG,MAG,9290,M,2,4,FALSE,FALSE,35.89,4149,16.03,56,,1,4
AEGA82184,7,0,2017,PATRICK SAVIO ALMEIDA,GEN,Goa,SIOLIM,GEN,IND,,1497,M,4,2,FALSE,FALSE,6.37,965,4.11,45,,,2
AEGA82184,8,0,2022,PATRICK SAVIO ALMEIDA,,Goa,SIOLIM,GEN,IND,IND,1482,M,4,2,FALSE,FALSE,5.94,589,2.36,50,,,2
AEGA82189,7,0,2017,JAYESH VIDYADHAR SALGAONKAR,GEN,Goa,SALIGAO,GEN,GFP,,9735,M,1,2,FALSE,FALSE,46.3,2137,10.16,42,,1,2
AEGA82189,8,0,2022,Jayesh Salgaonkar,,Goa,SALIGAO,GEN,BJP,GFP,8146,M,2,2,TRUE,TRUE,36.47,6218,27.84,47,BJP,1,2
AEGA82195,6,0,2012,MICHAEL VINCENT LOBO,GEN,Goa,CALANGUTE,GEN,BJP,,9891,M,1,3,FALSE,FALSE,53.91,1869,10.19,35,,3,3
AEGA82195,7,0,2017,MICHAEL VINCENT LOBO,GEN,Goa,CALANGUTE,GEN,BJP,BJP,11136,M,1,3,FALSE,TRUE,55.45,3825,19.05,40,,3,3
AEGA82195,8,0,2022,Michael Vincent Lobo,,Goa,CALANGUTE,GEN,INC,BJP,9285,M,1,3,TRUE,TRUE,45.09,4979,24.18,45,INC+,3,3
AEGA82198,6,0,2012,ROHAN KHAUNTE,GEN,Goa,PORVORIM,GEN,IND,,7972,M,1,3,FALSE,FALSE,47.93,901,5.42,37,,3,3
AEGA82198,7,0,2017,ROHAN KHAUNTE,GEN,Goa,PORVORIM,GEN,IND,IND,11174,M,1,3,FALSE,TRUE,56.85,4213,21.43,42,,3,3
AEGA82198,8,0,2022,Rohan Khaunte,,Goa,PORVORIM,GEN,BJP,IND,11714,M,1,3,FALSE,TRUE,55.16,7950,37.43,47,BJP,3,3
AEGA82207,7,0,2017,MAHESH VITHU SATELKAR,GEN,Goa,ALDONA,GEN,MAG,,3000,M,4,2,FALSE,FALSE,13.89,2357,10.91,38,,,2
AEGA82207,8,0,2022,MAHESH SATELKAR,,Goa,ALDONA,GEN,AAAP,MAG,1306,M,4,2,TRUE,FALSE,5.81,956,4.25,43,,,2
AEGA82213,7,0,2017,KETAN KIRTIKUMAR PRABHU BHATIKAR,GEN,Goa,PANAJI,GEN,GSM,,323,M,4,2,FALSE,FALSE,1.86,148,0.85,32,,,2
AEGA82213,8,0,2022,KETAN PRABHU BHATIKAR,,Goa,PONDA,GEN,MAG,GSM,7437,M,2,2,TRUE,FALSE,28.82,598,2.32,38,,,2
AEGA82215,7,0,2017,DILIP GHADI,GEN,Goa,PANAJI,GEN,IND,,36,M,7,3,FALSE,FALSE,0.21,16,0.09,53,,,2
AEGA82215,7,1,2019,Dilip Kashinath Ghadi,GENERAL,Goa,PANAJI,GEN,IND,IND,13,MALE,6,3,FALSE,FALSE,0.08,0,0,48,,,2
AEGA82215,8,0,2022,DILIP KASHINATH GHADI,,Goa,TALEIGAO,GEN,IND,IND,25,M,9,3,FALSE,FALSE,0.11,0,0,58,,,2
AEGA82219,7,0,2017,CECILLE RODRIGUES,GEN,Goa,TALEIGAO,GEN,AAAP,,1976,F,3,2,FALSE,FALSE,8.76,1724,7.64,34,,,2
AEGA82219,8,0,2022,CECILLE RODRIGUES,,Goa,TALEIGAO,GEN,AAAP,AAAP,2607,F,3,2,FALSE,FALSE,11.12,956,4.08,39,,,2
AEGA82221,7,0,2017,ANTONIO CAETANO  FERNANDES,GEN,Goa,ST. CRUZ,GEN,INC,,6202,M,1,2,FALSE,FALSE,27.92,642,2.89,51,,1,2
AEGA82221,8,0,2022,Antonio Caetano Fernandes,,Goa,ST. CRUZ,GEN,BJP,INC,6377,M,2,2,TRUE,TRUE,28.11,2279,10.05,56,BJP,1,2
AEGA82223,6,0,2012,RODOLFO LOUIS FERNANDES,GEN,Goa,ST. CRUZ,GEN,IND,,6308,M,2,3,FALSE,FALSE,29.5,484,2.26,50,,1,3
AEGA82223,7,0,2017,RODOLFO LOUIS FERNANDES,GEN,Goa,ST. CRUZ,GEN,IND,IND,5262,M,3,3,FALSE,FALSE,23.69,2555,11.5,55,,1,3
AEGA82223,8,0,2022,Rodolfo Louis Fernandes,,Goa,ST. CRUZ,GEN,INC,IND,8841,M,1,3,FALSE,FALSE,38.97,2464,10.86,55,INC+,1,3
AEGA82230,5,0,2007,SILVEIRA FRANCISCO,GEN,Goa,ST. ANDRE,GEN,INC,,8593,M,1,4,FALSE,FALSE,56.4,2519,16.53,39,,2,4
AEGA82230,6,0,2012,FRANCISCO SILVEIRA,GEN,Goa,ST. ANDRE,GEN,INC,INC,7599,M,2,4,FALSE,TRUE,44.16,7159,41.6,43,,2,4
AEGA82230,7,0,2017,FRANCISCO SILVEIRA,GEN,Goa,ST. ANDRE,GEN,INC,INC,8087,M,1,4,FALSE,FALSE,48.85,5070,30.63,48,,2,4
AEGA82230,8,0,2022,Francisco Silveira,,Goa,ST. ANDRE,GEN,BJP,INC,5319,M,2,4,TRUE,TRUE,32.67,2624,16.12,53,BJP,2,4
AEGA82231,7,0,2017,RAMRAO SURYA NAIK WAGH,GEN,Goa,ST. ANDRE,GEN,BJP,,3017,M,2,2,FALSE,FALSE,18.23,624,3.77,50,,,2
AEGA82231,8,0,2022,Ramrao Surya Naik Wagh,,Goa,ST. ANDRE,GEN,AAAP,BJP,1122,M,5,2,TRUE,FALSE,6.89,903,5.55,55,,,2
AEGA82232,7,0,2017,JAGDISH UMAKANT BHOBE,GEN,Goa,ST. ANDRE,GEN,MAG,,2393,M,3,2,FALSE,FALSE,14.46,1108,6.69,47,,,2
AEGA82232,8,0,2022,Jagdish Umakant Bhobe,,Goa,ST. ANDRE,GEN,AITC,MAG,1261,M,4,2,TRUE,FALSE,7.75,139,0.85,52,AITC+,,2
AEGA82234,7,0,2017,RAMA GURUDAS KANKONKAR,GEN,Goa,ST. ANDRE,GEN,AAAP,,979,M,5,2,FALSE,FALSE,5.91,654,3.95,31,,,2
AEGA82234,8,0,2022,Rama Kankonkar,,Goa,ST. ANDRE,GEN,IND,AAAP,219,M,6,2,FALSE,FALSE,1.35,82,0.5,36,,,2
AEGA82246,7,0,2017,SANTOSH KUMAR SAWANT,GEN,Goa,MAEM,GEN,INC,,7456,M,2,2,FALSE,FALSE,30.93,5139,21.32,43,,,2
AEGA82246,8,0,2022,SANTOSH KUMAR SAWANT,,Goa,MAEM,GEN,GFP,INC,4738,M,2,2,TRUE,FALSE,18.59,764,3,48,INC+,,2
AEGA82254,7,0,2017,DHARMESH SAGLANI,GEN,Goa,SANQUELIM,GEN,INC,,7927,M,2,2,FALSE,FALSE,33.45,4096,17.28,41,,,2
AEGA82254,8,0,2022,Dharmesh Saglani,,Goa,SANQUELIM,GEN,INC,INC,11584,M,2,2,FALSE,FALSE,45.13,10842,42.24,46,INC+,,2
