Party,Expanded_Party_Name
INC,CONGRESS
BJP,BHARATIYA JANATA PARTY
IND,INDEPENDENT
AAAP,AAM AADMI PARTY
BSP,BAHUJAN SAMAJ PARTY
AITC,ALL INDIA TRINAMOOL CONGRESS
YSRCP,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY
TDP,TELUGU DESAM
VCK,VIDUTHALAI CHIRUTHAIGAL KATCHI
CPI(ML)(L),COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)
AIFB,ALL INDIA FORWARD BLOC
SP,SAMAJWADI PARTY
RPI(A),REPUBLICAN PARTY OF INDIA (A)
IUML,INDIAN UNION MUSLIM LEAGUE
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
CPI,COMMUNIST PARTY OF INDIA
JD(S),JANATA DAL  (SECULAR)
NPEP,NATIONAL PEOPLES PARTY
AIUDF,ALL INDIA UNITED DEMOCRATIC FRONT
ASDC,AUTONOMOUS STATE DEMAND COMMITTEE
AGP,ASOM GANA PARISAD
BOPF,BODALAND PEOPLES FRONT
NCP,NATIONAL CONGRESS PARTY
JD(U),JANATA DAL  (UNITED)
SHS,SHIV SENA
BLSP,RASHTRIYA LOK SAMTA PARTY
JP,JANATA PARTY
RJD,RASHTRIYA JANATA DAL
AIMIM,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
JMM,JHARKHAND MUKTI MORCHA
RRP,AKHIL BHARATI RAMRAJYA PARISHAD
LJP,LOK JAN SHAKTI PARTY
RPI,PREPUBLICAN PARTY OF INDIA
NJP,NUTAN MAHA GUJARAT JANTA PARISHA
INLD,INDIAN NATIONAL LOK DAL
JKN,JAMMU & KASHMIR CONFERENCE
JKPDP,JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY
JVM,JHARKHAND VIKAS MORCHA (PRAJATANTRIK)
JKP,ALL INDIA JHARKHAND PARTY
BBM,BHARIPA BAHUJAN MAHASANGH
KEC(M),KERALA CONGRESS  (M)
KEC,KERALA CONGRESS
