pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEGJ0000001,11,0,2007,PANTROD NATHABHAI HEGOLABHAI,GEN,Gujarat,DHANERA,GEN,INC,,51699,M,2,1,FALSE,FALSE,38.06,44209,32.54,61,,,1
AEGJ000073,7,0,1990,SANKHALIYA NARENDRASINH MANSINH,,Gujarat,JAMALPUR,GEN,IND,,209,M,8,4,FALSE,FALSE,0.36,20,0.03,,,,4
AEGJ000073,9,0,1998,NARENDRA SANKHALIA,,Gujarat,SHAHER KOTDA,SC,LSWP,IND,319,M,6,4,FALSE,FALSE,0.53,36,0.06,,,,4
AEGJ000073,10,0,2002,SANKHALIYA NARENDRASINGH MANSINGH,,Gujarat,JAMALPUR,GEN,LSWP,LSWP,622,M,5,4,FALSE,FALSE,0.75,191,0.23,,,,4
AEGJ000073,11,0,2007,SANKHALIYA NARENDRASINH MANSINH (SHRI NARENDRA SANKHALIYA),SC,Gujarat,SHAHER KOTDA,SC,LSWP,LSWP,72,M,5,4,FALSE,FALSE,0.19,37,0.1,46,,,4
AEGJ000073,11,0,2007,SANKHALIYA NARENDRASINH MANSINH (NARENDRA SANKHALIYA),SC,Gujarat,JAMALPUR,GEN,LSWP,LSWP,687,M,5,4,FALSE,FALSE,0.9,133,0.17,46,,,4
AEGJ000100,11,0,2007,TADVI BHAILALBHAI BHANABHAI,ST,Gujarat,RAJPIPLA,ST,LSWP,,639,M,10,1,FALSE,FALSE,0.63,0,0,45,,,1
AEGJ000127,6,0,1985,PATEL MANGUBHAI CHHAGANBHAI,,Gujarat,NAVSARI,ST,BJP,,10782,M,2,6,FALSE,FALSE,22.48,9442,19.69,,,5,6
AEGJ000127,7,0,1990,PATEL MANGUBHAI CHHAGANBHAI,,Gujarat,NAVSARI,ST,BJP,BJP,34118,M,1,6,FALSE,FALSE,50.24,6344,9.34,,,5,6
AEGJ000127,8,0,1995,PATEL MANGUBHAI CHHAGANBHAI,,Gujarat,NAVSARI,ST,BJP,BJP,58346,M,1,6,FALSE,TRUE,55.93,14462,13.86,,,5,6
AEGJ000127,9,0,1998,PATEL MANGUBHAI CHHAGANBHAI,,Gujarat,NAVSARI,ST,BJP,BJP,55578,M,1,6,FALSE,TRUE,56.25,14112,14.28,,,5,6
AEGJ000127,10,0,2002,PATEL MANGUBHAI CHHAGANBHAI,,Gujarat,NAVSARI,ST,BJP,BJP,52520,M,1,6,FALSE,TRUE,46.94,3838,3.43,,,5,6
AEGJ000127,11,0,2007,PATEL MANGUBHAI CHHAGANBHAI,ST,Gujarat,NAVSARI,ST,BJP,BJP,64293,M,1,6,FALSE,TRUE,52.13,12083,9.8,63,,5,6
AEGJ000137,11,0,2007,PATEL ATULBHAI CHANDUBHAI,GEN,Gujarat,DABHOI,GEN,BJP,,34313,M,2,1,FALSE,FALSE,37.85,31755,35.02,41,,,1
AEGJ000138,11,0,2007,PATEL RAJESHBHAI RAMESHBHAI,GEN,Gujarat,BORSAD,GEN,IND,,4574,M,3,1,FALSE,FALSE,3.92,3363,2.88,37,,,1
AEGJ000144,11,0,2007,CHAUDHARI VIPULBHAI MANSINHBHAI,GEN,Gujarat,BHILODA,ST,BJP,,46941,M,2,1,FALSE,FALSE,38.7,40326,33.25,41,,,1
AEGJ000153,11,0,2007,TRIVEDI PIYUSH NAVNITLAL,GEN,Gujarat,JAMJODHPUR,GEN,IND,,1551,M,4,1,FALSE,FALSE,1.66,500,0.54,34,,,1
AEGJ000172,11,0,2007,SATUBHA KANUBHA VAGHELA,GEN,Gujarat,DHRANGADHRA,GEN,IND,,1887,M,4,1,FALSE,FALSE,1.61,980,0.84,73,,,1
AEGJ10007,8,0,1995,RABARI GOVABHAI HAMIRABHAI,,Gujarat,DHANERA,GEN,INC,,63814,M,1,4,FALSE,FALSE,52.86,11462,9.5,,,2,4
AEGJ10007,9,0,1998,RABARI GOVABHAI HAMIRABHAI,,Gujarat,DEESA,GEN,INC,INC,40891,M,2,4,FALSE,TRUE,36.25,23815,21.11,,,2,4
AEGJ10007,10,0,2002,RABARI GOVABHAI HAMIRABHAI,,Gujarat,DEESA,GEN,INC,INC,65080,M,1,4,FALSE,FALSE,48.75,2021,1.51,,,2,4
AEGJ10007,11,0,2007,RABARI GOVABHAI HAMIRABHAI,GEN,Gujarat,DEESA,GEN,INC,INC,53442,M,2,4,FALSE,TRUE,38.56,48214,34.79,53,,2,4
AEGJ100281,8,1,1997,Amit Anilchandra Shah (Amit Shah),,Gujarat,SARKHEJ,GEN,BJP,,76839,M,1,4,FALSE,FALSE,56.1,24482,17.87,,,4,4
AEGJ100281,9,0,1998,SHAH AMIT ANILCHANDRA (AMIT SHAH),,Gujarat,SARKHEJ,GEN,BJP,BJP,193373,M,1,4,FALSE,TRUE,69.81,132477,47.82,,,4,4
AEGJ100281,10,0,2002,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),,Gujarat,SARKHEJ,GEN,BJP,BJP,288327,M,1,4,FALSE,TRUE,66.98,158036,36.71,,,4,4
