Party,Expanded_Party_Name
SP,SAMAJWADI PARTY
BJP,BHARATIYA JANATA PARTY
INC,INDIA NATIONAL CONGRESS
NCP,NATIONAL CONGRESS PARTY
CPI,COMMUNIST PARTY OF INDIA
JD(U),JANATA DAL (UNITED)
BTP,BHARTIYA TRIBAL PARTY
GPP,GUJARAT PARIVARTAN PARTY
BJNKP,BHARATIYA JANKRANTI PARTY
AIRJP,ALL INDIA RASHTRIYA JANATA PARTY
JD,JANATA DAL
YVP,YUVA VIKAS PARTY
JNP(JP),JANATA PARTY
BJS,AKHIL BHARAT JANA SANGH
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
JNP(SC),JANATA PARTY (SECULAR)- CH. CHARAN SINGH
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
KLP,KISAN MAZDOOR LOK PAKSHA
BLD,BHARATIYA LOK DAL
RMP,RASHTRIYA MAJDOOR PAKSHA
SWA,SWATANTRA
PSP,PRAJA SOCIALIST PARTY
NJP,NUTAN MAHA GUJARAT JANTA PARISHAD
