pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEHP1,2,0,1967,T.S.NEGI,,Himachal_Pradesh,KINNAUR,ST,IND,,13559,M,1,1,FALSE,FALSE,88.3,11762,76.6,,,1,1
AEHP10,2,0,1967,R.LAL,,Himachal_Pradesh,JUBBAL,GEN,INC,,10496,M,1,1,FALSE,FALSE,79.59,9004,68.28,,,1,1
AEHP100,2,0,1967,U.RAM,,Himachal_Pradesh,KUTLEHAR,GEN,IND,,1337,M,4,1,FALSE,FALSE,9.26,771,5.34,,,,1
AEHP101,2,0,1967,R.LOK,,Himachal_Pradesh,KUTLEHAR,GEN,BJS,,566,M,5,1,FALSE,FALSE,3.92,420,2.91,,,,1
AEHP102,2,0,1967,S.PARSHAD,,Himachal_Pradesh,KUTLEHAR,GEN,IND,,146,M,6,1,FALSE,FALSE,1.01,0,0,,,,1
AEHP103,2,0,1967,V.SAGAR,,Himachal_Pradesh,SANTOKHGARH,GEN,IND,,8437,M,1,1,FALSE,FALSE,46.36,742,4.08,,,1,1
AEHP104,2,0,1967,S.NATH,,Himachal_Pradesh,SANTOKHGARH,GEN,INC,,7695,M,2,1,FALSE,FALSE,42.28,5628,30.92,,,,1
AEHP105,2,0,1967,S.SARUP,,Himachal_Pradesh,SANTOKHGARH,GEN,BJS,,2067,M,3,1,FALSE,FALSE,11.36,0,0,,,,1
AEHP106,2,0,1967,P.CHAND,,Himachal_Pradesh,UNA,GEN,IND,,5643,M,1,1,FALSE,FALSE,32.59,56,0.32,,,1,1
AEHP107,2,0,1967,S.CHAND,,Himachal_Pradesh,UNA,GEN,INC,,5587,M,2,1,FALSE,FALSE,32.26,2784,16.08,,,,1
AEHP108,2,0,1967,L.DASS,,Himachal_Pradesh,UNA,GEN,IND,,2803,M,3,1,FALSE,FALSE,16.19,666,3.85,,,,1
AEHP11,2,0,1967,R.SINGH,,Himachal_Pradesh,JUBBAL,GEN,IND,,1492,M,2,4,FALSE,FALSE,11.31,803,6.09,,,1,1
AEHP11,2,0,1967,R.SINGH,,Himachal_Pradesh,KANDAGHAT,SC,IND,IND,1215,M,3,4,FALSE,FALSE,13.38,1058,11.65,,,1,1
AEHP11,2,0,1967,R.SINGH,,Himachal_Pradesh,KUTLEHAR,GEN,IND,IND,6929,M,1,4,FALSE,FALSE,47.99,2867,19.86,,,1,1
AEHP11,2,0,1967,R.SINGH,,Himachal_Pradesh,JOGINDER NAGAR,SC,IND,IND,825,M,3,4,FALSE,FALSE,8.81,196,2.09,,,1,1
AEHP111,2,0,1967,H.RAM,,Himachal_Pradesh,AMB,GEN,INC,,4927,M,1,1,FALSE,FALSE,31.53,524,3.35,,,1,1
AEHP112,2,0,1967,B.SINGH,,Himachal_Pradesh,AMB,GEN,IND,,311,M,10,1,FALSE,FALSE,1.99,230,1.47,,,,1
AEHP113,2,0,1967,T.CHAND,,Himachal_Pradesh,AMB,GEN,IND,,81,M,11,1,FALSE,FALSE,0.52,0,0,,,,1
AEHP114,2,0,1967,H.RAJ,,Himachal_Pradesh,AMB,GEN,IND,,4403,M,2,1,FALSE,FALSE,28.18,3025,19.36,,,,1
AEHP115,2,0,1967,B.BAL,,Himachal_Pradesh,AMB,GEN,IND,,1378,M,3,1,FALSE,FALSE,8.82,312,2,,,,1
AEHP116,2,0,1967,Y.SINGH,,Himachal_Pradesh,AMB,GEN,IND,,1066,M,4,1,FALSE,FALSE,6.82,161,1.03,,,,1
AEHP117,2,0,1967,S.SINGH,,Himachal_Pradesh,AMB,GEN,BJS,,905,M,5,1,FALSE,FALSE,5.79,100,0.64,,,,1
AEHP118,2,0,1967,P.DAV,,Himachal_Pradesh,AMB,GEN,IND,,805,M,6,1,FALSE,FALSE,5.15,168,1.08,,,,1
AEHP119,2,0,1967,R.CHANDER,,Himachal_Pradesh,AMB,GEN,IND,,637,M,7,1,FALSE,FALSE,4.08,71,0.45,,,,1
AEHP12,2,0,1967,S.NAND,,Himachal_Pradesh,JUBBAL,GEN,IND,,689,M,3,1,FALSE,FALSE,5.22,179,1.36,,,,1
AEHP120,2,0,1967,S.SINGH,,Himachal_Pradesh,AMB,GEN,IND,,566,M,8,1,FALSE,FALSE,3.62,20,0.13,,,,1
AEHP121,2,0,1967,D.SINGH,,Himachal_Pradesh,AMB,GEN,IND,,546,M,9,1,FALSE,FALSE,3.49,235,1.5,,,,1
AEHP123,2,0,1967,G.DASS,,Himachal_Pradesh,GAGRET,SC,BJS,,2577,M,2,1,FALSE,FALSE,23.67,1014,9.32,,,,1
AEHP124,2,0,1967,M.RAM,,Himachal_Pradesh,GAGRET,SC,IND,,1563,M,3,1,FALSE,FALSE,14.36,520,4.78,,,,1
AEHP125,2,0,1967,K.RAM,,Himachal_Pradesh,GAGRET,SC,IND,,1043,M,4,1,FALSE,FALSE,9.58,173,1.59,,,,1
AEHP126,2,0,1967,D.DATT,,Himachal_Pradesh,GAGRET,SC,IND,,870,M,5,1,FALSE,FALSE,7.99,349,3.21,,,,1
AEHP127,2,0,1967,U.SINGH,,Himachal_Pradesh,GAGRET,SC,IND,,521,M,6,1,FALSE,FALSE,4.79,0,0,,,,1
AEHP13,2,0,1967,M.LAL,,Himachal_Pradesh,JUBBAL,GEN,IND,,510,M,4,1,FALSE,FALSE,3.87,0,0,,,,1
AEHP130,2,0,1967,A.RAM,,Himachal_Pradesh,NADAUN,GEN,BJS,,3143,M,3,1,FALSE,FALSE,24.1,1307,10.02,,,,1
AEHP131,2,0,1967,R.LAL,,Himachal_Pradesh,NADAUN,GEN,IND,,1836,M,4,1,FALSE,FALSE,14.08,1449,11.11,,,,1
AEHP132,2,0,1967,C.PARKASH,,Himachal_Pradesh,NADAUN,GEN,IND,,387,M,5,1,FALSE,FALSE,2.97,0,0,,,,1
AEHP133,2,0,1967,P.RAM,,Himachal_Pradesh,JASWAN,GEN,CPI,,8446,M,1,1,FALSE,FALSE,54.59,3128,20.22,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,RAMPUR,SC,INC,,4482,M,2,9,FALSE,FALSE,44.63,4345,43.27,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,UNA,GEN,BJS,INC,1147,M,5,9,TRUE,FALSE,6.62,0,0,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,NADAUN,GEN,IND,BJS,4409,M,1,9,FALSE,FALSE,33.81,1142,8.76,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,JASWAN,GEN,INC,IND,5318,M,2,9,FALSE,FALSE,34.37,4386,28.35,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,JASWAN,GEN,IND,INC,932,M,3,9,FALSE,FALSE,6.02,156,1.01,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,BAIJNATH,GEN,CPI,IND,3415,M,1,9,FALSE,FALSE,26.2,183,1.4,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,BAIJNATH,GEN,IND,CPI,1294,M,4,9,FALSE,FALSE,9.93,61,0.47,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,KULU,GEN,BJS,IND,1244,M,3,9,FALSE,FALSE,11.9,439,4.2,,,1,1
AEHP135,2,0,1967,B.RAM,,Himachal_Pradesh,INNER SERAJ,GEN,IND,BJS,4189,M,2,9,FALSE,FALSE,31.5,2,0.02,,,1,1
AEHP136,2,0,1967,J.SINGH,,Himachal_Pradesh,JASWAN,GEN,BJS,,776,M,4,1,FALSE,FALSE,5.02,0,0,,,,1
AEHP138,2,0,1967,R.LAL,,Himachal_Pradesh,GULER,GEN,INC,,3224,M,2,1,FALSE,FALSE,19.43,304,1.83,,,,1
AEHP139,2,0,1967,K.VIR,,Himachal_Pradesh,GULER,GEN,IND,,2920,M,3,1,FALSE,FALSE,17.6,1896,11.43,,,,1
AEHP14,2,0,1967,K.RAM,,Himachal_Pradesh,CHOPAL,GEN,IND,,8818,M,1,1,FALSE,FALSE,52,679,4,,,1,1
AEHP140,2,0,1967,P.CHAND,,Himachal_Pradesh,GULER,GEN,IND,,1024,M,4,1,FALSE,FALSE,6.17,486,2.93,,,,1
AEHP141,2,0,1967,P.RAM,,Himachal_Pradesh,GULER,GEN,IND,,538,M,5,1,FALSE,FALSE,3.24,127,0.77,,,,1
AEHP142,2,0,1967,P.CHAND,,Himachal_Pradesh,GULER,GEN,IND,,411,M,6,1,FALSE,FALSE,2.48,0,0,,,,1
AEHP143,2,0,1967,V.BHUSHAN,,Himachal_Pradesh,DEHRA,GEN,IND,,4653,M,1,1,FALSE,FALSE,34.78,343,2.56,,,1,1
AEHP144,2,0,1967,M.RAM,,Himachal_Pradesh,DEHRA,GEN,INC,,4310,M,2,1,FALSE,FALSE,32.21,1408,10.52,,,,1
AEHP145,2,0,1967,G.RAM,,Himachal_Pradesh,DEHRA,GEN,IND,,2902,M,3,1,FALSE,FALSE,21.69,1864,13.93,,,,1
AEHP146,2,0,1967,S.SINGH,,Himachal_Pradesh,DEHRA,GEN,IND,,1038,M,4,1,FALSE,FALSE,7.76,561,4.19,,,,1
AEHP147,2,0,1967,K.RAM,,Himachal_Pradesh,DEHRA,GEN,BJS,,477,M,5,1,FALSE,FALSE,3.57,0,0,,,,1
AEHP148,2,0,1967,D.CHAND,,Himachal_Pradesh,SULLAH,GEN,BJS,,9169,M,1,1,FALSE,FALSE,64.46,5034,35.39,,,1,1
AEHP149,2,0,1967,P.SINGH,,Himachal_Pradesh,SULLAH,GEN,INC,,4135,M,2,1,FALSE,FALSE,29.07,3506,24.65,,,,1
AEHP15,2,0,1967,S.RAM,,Himachal_Pradesh,CHOPAL,GEN,INC,,8139,M,2,1,FALSE,FALSE,48,0,0,,,,1
AEHP150,2,0,1967,D.SINGH,,Himachal_Pradesh,SULLAH,GEN,IND,,629,M,3,1,FALSE,FALSE,4.42,337,2.37,,,,1
AEHP151,2,0,1967,P.CHAND,,Himachal_Pradesh,SULLAH,GEN,IND,,292,M,4,1,FALSE,FALSE,2.05,0,0,,,,1
AEHP153,2,0,1967,S.RAM,,Himachal_Pradesh,RAJGIR,SC,BJS,,3034,M,2,1,FALSE,FALSE,28.79,1550,14.71,,,,1
AEHP154,2,0,1967,H.SINGH,,Himachal_Pradesh,RAJGIR,SC,IND,,1484,M,3,1,FALSE,FALSE,14.08,443,4.2,,,,1
AEHP155,2,0,1967,MONI,,Himachal_Pradesh,RAJGIR,SC,CPI,,1041,M,4,1,FALSE,FALSE,9.88,143,1.36,,,,1
AEHP156,2,0,1967,D.SINGH,,Himachal_Pradesh,RAJGIR,SC,IND,,898,M,5,1,FALSE,FALSE,8.52,692,6.57,,,,1
AEHP157,2,0,1967,DHANIA,,Himachal_Pradesh,RAJGIR,SC,IND,,206,M,6,1,FALSE,FALSE,1.95,0,0,,,,1
AEHP159,2,0,1967,K.DEVI,,Himachal_Pradesh,BAIJNATH,GEN,INC,,3232,F,2,1,FALSE,FALSE,24.8,498,3.82,,,,1
AEHP16,2,0,1967,J.B.L.KHACHI,,Himachal_Pradesh,THEOG,GEN,IND,,10451,M,1,1,FALSE,FALSE,65.81,6029,37.96,,,1,1
AEHP160,2,0,1967,S.RAM,,Himachal_Pradesh,BAIJNATH,GEN,IND,,2734,M,3,1,FALSE,FALSE,20.98,1440,11.05,,,,1
AEHP162,2,0,1967,A.CHAND,,Himachal_Pradesh,BAIJNATH,GEN,BJS,,1233,M,5,1,FALSE,FALSE,9.46,585,4.49,,,,1
AEHP163,2,0,1967,R.PARKASH,,Himachal_Pradesh,BAIJNATH,GEN,IND,,648,M,6,1,FALSE,FALSE,4.97,394,3.02,,,,1
AEHP164,2,0,1967,BIDHIA,,Himachal_Pradesh,BAIJNATH,GEN,IND,,254,M,7,1,FALSE,FALSE,1.95,32,0.25,,,,1
AEHP165,2,0,1967,LALA,,Himachal_Pradesh,BAIJNATH,GEN,IND,,222,M,8,1,FALSE,FALSE,1.7,0,0,,,,1
AEHP166,2,0,1967,K.B.LAL,,Himachal_Pradesh,PALAMPUR,GEN,INC,,5644,M,1,1,FALSE,FALSE,47.47,919,7.73,,,1,1
AEHP167,2,0,1967,S.KUMAR,,Himachal_Pradesh,PALAMPUR,GEN,BJS,,4725,M,2,3,FALSE,FALSE,39.74,3588,30.18,,,,1
AEHP167,2,0,1967,S.KUMAR,,Himachal_Pradesh,NURPUR,GEN,SWA,BJS,556,M,5,3,TRUE,FALSE,4.51,108,0.88,,,,1
AEHP167,2,0,1967,S.KUMAR,,Himachal_Pradesh,BHATTIYAT,GEN,IND,SWA,1061,M,4,3,FALSE,FALSE,12.55,0,0,,,,1
AEHP168,2,0,1967,K.CHAND,,Himachal_Pradesh,PALAMPUR,GEN,CPI,,1137,M,3,1,FALSE,FALSE,9.56,753,6.33,,,,1
AEHP169,2,0,1967,T.DASS,,Himachal_Pradesh,PALAMPUR,GEN,IND,,384,M,4,1,FALSE,FALSE,3.23,0,0,,,,1
AEHP17,2,0,1967,B.R.BHALAIK,,Himachal_Pradesh,THEOG,GEN,INC,,4422,M,2,1,FALSE,FALSE,27.84,3832,24.13,,,,1
AEHP171,2,0,1967,S.PARKASH,,Himachal_Pradesh,NAGROTA,GEN,BJS,,3937,M,2,1,FALSE,FALSE,26.93,1690,11.56,,,,1
AEHP172,2,0,1967,G.CHAND,,Himachal_Pradesh,NAGROTA,GEN,IND,,2247,M,3,1,FALSE,FALSE,15.37,0,0,,,,1
AEHP173,2,0,1967,H.RAM,,Himachal_Pradesh,KANGRA,GEN,INC,,7603,M,1,1,FALSE,FALSE,64.65,5683,48.32,,,1,1
AEHP174,2,0,1967,J.NATH,,Himachal_Pradesh,KANGRA,GEN,BJS,,1920,M,2,1,FALSE,FALSE,16.33,96,0.82,,,,1
AEHP175,2,0,1967,T.RAM,,Himachal_Pradesh,KANGRA,GEN,CPI,,1824,M,3,1,FALSE,FALSE,15.51,1411,12,,,,1
AEHP176,2,0,1967,S.CHAND,,Himachal_Pradesh,KANGRA,GEN,IND,,413,M,4,1,FALSE,FALSE,3.51,0,0,,,,1
AEHP177,2,0,1967,R.K.CHAND,,Himachal_Pradesh,DHARAMSALA,GEN,INC,,4351,M,1,1,FALSE,FALSE,37.34,189,1.62,,,1,1
AEHP178,2,0,1967,N.SINGH,,Himachal_Pradesh,DHARAMSALA,GEN,BJS,,4162,M,2,1,FALSE,FALSE,35.72,3033,26.03,,,,1
AEHP179,2,0,1967,P.NABH,,Himachal_Pradesh,DHARAMSALA,GEN,IND,,1129,M,3,1,FALSE,FALSE,9.69,52,0.45,,,,1
AEHP18,2,0,1967,G.DASS,,Himachal_Pradesh,THEOG,GEN,BJS,,590,M,3,1,FALSE,FALSE,3.72,214,1.35,,,,1
AEHP180,2,0,1967,J.KARAN,,Himachal_Pradesh,DHARAMSALA,GEN,IND,,1077,M,4,1,FALSE,FALSE,9.24,438,3.76,,,,1
AEHP181,2,0,1967,B.DASS,,Himachal_Pradesh,DHARAMSALA,GEN,IND,,639,M,5,1,FALSE,FALSE,5.48,346,2.97,,,,1
