Party,Expanded_Party_Name
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
CPI,COMMUNIST PARTY OF INDIA
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENTS
INLD,INDIAN NATIONAL LOK DAL
JNJP,JANNAYAK JANTA PARTY
NCP,NATIONALIST CONGRESS PARTY
RPI,REPUBLIC PARTY OF INDIA
SAD,SHIROMANI AKALI DAL
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
HALP,HARYANA LOKHIT PARTY
HJCBL,HARYANA JANHIT CONGRESS (BL)
HVP,HARYANA VIKAS PARTY
JP,JANATA PARTY
AIIC(T),ALL INDIA INDIRA CONGRESS (TIWARI)
JD,JANATA DAL
SAP,SOCIAL ACTION PARTY
LKD,LOK DAL
VHP,VISHAL HARYANA PARTY
JNP,JANATA PARTY
BAS,AKHIL BHARTIYA ARYA SABHA
BJS,BHARATIYA JAN SANGH
BKD,BHARATIYA KRANTI DAL
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SWA,SWATANTRA PARTY
