pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEBH104264,1,0,2005,LALCHAND MAHTO,GEN,Jharkhand,DUMRI,GEN,RJD,,23774,M,2,1,FALSE,FALSE,23.58,6803,6.75,45,,,1
AEBR14659,1,0,2005,ARUN MANDAL,GEN,Jharkhand,RAJMAHAL,GEN,IND,,25296,M,2,1,FALSE,FALSE,17.84,3657,2.58,52,,,1
AEBR14711,1,0,2005,SUPHAL MARANDI,ST,Jharkhand,MAHESHPUR,ST,JMM,,45520,M,1,1,FALSE,FALSE,41.98,12816,11.82,52,,1,1
AEBR14732,1,0,2005,RABINDRA NATH MAHATO,GEN,Jharkhand,NALA,GEN,JMM,,30847,M,1,1,FALSE,FALSE,30,1122,1.09,45,,1,1
AEBR14744,1,0,2005,JAY PRAKASH MANDAL,GEN,Jharkhand,JAMTARA,GEN,CPI(ML)(L),,1490,M,8,1,FALSE,FALSE,1.18,234,0.18,36,,,1
AEBR14783,1,0,2005,HARI NARAYAN RAY,GEN,Jharkhand,JARMUNDI,GEN,IND,,28480,M,1,1,FALSE,FALSE,25.84,6309,5.72,44,,1,1
AEBR14816,1,0,2005,SANJAY PRASAD YADAV,GEN,Jharkhand,GODDA,GEN,RJD,,30639,M,2,1,FALSE,FALSE,22.39,6762,4.94,34,,,1
AEBR14820,1,0,2005,PREM NANDAN KUMAR,GEN,Jharkhand,GODDA,GEN,JMM,,19290,M,4,1,FALSE,FALSE,14.1,15233,11.13,39,,,1
AEBR14839,1,0,2005,ASHOK KUMAR,GEN,Jharkhand,MAHAGAMA,GEN,BJP,,46253,M,1,1,FALSE,FALSE,33.49,6428,4.65,38,,1,1
AEBR14840,1,0,2005,ATAUR RAHMAN SIDDIQUE,GEN,Jharkhand,MAHAGAMA,GEN,RJD,,39825,M,2,1,FALSE,FALSE,28.84,26940,19.51,45,,,1
AEBR16258,1,0,2005,BASUDEO PASWAN,SC,Jharkhand,BARHI,GEN,BSP,,4491,M,4,1,FALSE,FALSE,3.55,2085,1.65,37,,,1
AEBR16265,1,0,2005,SATYANAND BHOKTA,SC,Jharkhand,CHATRA,SC,BJP,,50332,M,1,1,FALSE,FALSE,39.42,4682,3.67,35,,1,1
AEBR16333,1,0,2005,NIZAMUDDIN ANSARI,GEN,Jharkhand,DHANWAR,GEN,JMM,,38754,M,3,1,FALSE,FALSE,27.18,33562,23.54,38,,,1
AEBR16354,1,0,2005,SATYA NARAYAN DAS,SC,Jharkhand,JAMUA,SC,CPI(ML)(L),,26450,M,3,1,FALSE,FALSE,19.49,22611,16.66,45,,,1
AEBR16379,1,0,2005,BHUSHAN DAS,ST,Jharkhand,GIRIDIH,GEN,JKP,,381,M,17,1,FALSE,FALSE,0.36,26,0.02,40,,,1
AEBR16382,1,0,2005,JAGARNATH MAHTO,GEN,Jharkhand,DUMRI,GEN,JMM,,41784,M,1,1,FALSE,FALSE,41.45,18010,17.87,45,,1,1
AEBR16442,1,0,2005,MATHURA PRASAD MAHATO,GEN,Jharkhand,TUNDI,GEN,JMM,,52112,M,1,1,FALSE,FALSE,37.84,25937,18.83,37,,1,1
AEBR16459,1,0,2005,DURYODHAN RAWANI,GEN,Jharkhand,BAGHMARA,GEN,SWJP,,725,M,16,1,FALSE,FALSE,0.49,44,0.03,54,,,1
AEBR16489,1,0,2005,ASHOK MANDAL,GEN,Jharkhand,NIRSA,GEN,BJP,,30678,M,3,1,FALSE,FALSE,19.25,23078,14.48,45,,,1
AEBR16490,1,0,2005,ARUP CHATTERJEE,GEN,Jharkhand,NIRSA,GEN,MCO,,48196,M,2,1,FALSE,FALSE,30.25,17518,11,31,,,1
AEBR16508,1,0,2005,YOGENDRA YADAV,GEN,Jharkhand,JHARIA,GEN,RJD,,20092,M,3,1,FALSE,FALSE,13.87,11360,7.84,42,,,1
AEBR16521,1,0,2005,SATISH CHANDRA RAJAK,SC,Jharkhand,CHANDANKIYARI,SC,IND,,12299,M,4,1,FALSE,FALSE,11.28,5744,5.27,48,,,1
AEBR16525,1,0,2005,DILIP BAURI,SC,Jharkhand,CHANDANKIYARI,SC,SP,,6555,M,5,1,FALSE,FALSE,6.01,1163,1.07,29,,,1
AEBR16526,1,0,2005,MEERA KISHORE,SC,Jharkhand,CHANDANKIYARI,SC,IND,,4056,F,10,1,FALSE,FALSE,3.72,1339,1.23,56,,,1
AEBR16537,1,0,2005,RABINDRA NATH DAS,GEN,Jharkhand,BAHARAGORA,GEN,CPI,,9043,M,5,1,FALSE,FALSE,6.65,6528,4.8,58,,,1
AEBR16546,1,0,2005,KANHU SAMANT,ST,Jharkhand,GHATSILA,ST,AJSU,,15187,M,4,1,FALSE,FALSE,11.91,13250,10.39,40,,,1
AEBR16571,1,0,2005,RAGHUBAR DAS,GEN,Jharkhand,JAMSHEDPUR EAST,GEN,BJP,,65116,M,1,1,FALSE,FALSE,52.96,18398,14.96,49,,1,1
