Party,Expanded_Party_Name
AIFB,ALL INDIA FORWARD BLOC
AJSUP,AJSU PARTY
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
CPI,COMMUNIST PARTY OF INDIA
CPI(ML)(L),COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)
INC,INDIAN NATIONAL CONGRESS
JD(U),JANATA DAL (UNITED)
JKP,JHARKHAND PARTY
JMM,JHARKHAND MUKTI MORCHA
JP,JANATA PARTY
JVM,JHARKHAND VIKAS MORCHA (PRAJATANTRIK)
MCO,MARXIST CO-ORDINATION
NCP,NATIONALIST CONGRESS PARTY
RJD,RASHTRIYA JANATA DAL
CPI(M (L)L),COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)
JBSP,JAI BHARAT SAMANTA PARTY
NSAM,NAVJAWAN SANGHARSH MORCHA
JHJAM,JHARKHAND JANADIKHAR MANCH
RAKAP,RASHTRIYA KALYAN PAKSHA
UGDP,UNITED GOANS DEMOCRATIC PARTY
AJSU,ALL JHARKHAND STUDENTS UNION
