pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEJK100119,9,0,2008,JEHANGIR KHAN,GEN,Jammu_&_Kashmir,KARNAH,GEN,JKNPP,,182,M,12,1,FALSE,FALSE,0.85,8,0.04,33,,,1
AEJK100164,9,0,2008,JAVAID AHMED NAJAR,GEN,Jammu_&_Kashmir,AMIRA KADAL,GEN,JKNPP,,18,M,28,1,FALSE,FALSE,0.16,9,0.08,27,,,1
AEJK100216,9,0,2008,IMTIAZ AHMED PARRAY,GEN,Jammu_&_Kashmir,SONAWARI,GEN,JKAL,,6472,M,3,1,FALSE,FALSE,12.79,487,0.96,26,,,1
AEJK100222,9,0,2008,SHOAIB NABI LONE,GEN,Jammu_&_Kashmir,SANGRAMA,GEN,IND,,6482,M,2,1,FALSE,FALSE,23.31,2520,9.06,29,,,1
AEJK100298,9,0,2008,PEER AAFAQ AHMED,GEN,Jammu_&_Kashmir,ZADIBAL,GEN,JKN,,4335,M,1,1,FALSE,FALSE,34.89,1241,9.99,48,,1,1
AEJK100320,9,0,2008,FIRDOUS AHMAD SHEIKH,GEN,Jammu_&_Kashmir,KHANYAR,GEN,JKPDF,,644,M,3,1,FALSE,FALSE,7.56,432,5.07,32,,,1
AEJK100361,9,0,2008,ABDUL RASHID LONE,GEN,Jammu_&_Kashmir,SONAWAR,GEN,RPI(A),,209,M,16,1,FALSE,FALSE,0.84,41,0.16,40,,,1
AEJK100401,9,0,2008,MANZOOR AHMED WANI,GEN,Jammu_&_Kashmir,HOM SHALI BUGH,GEN,JKNPP,,644,M,7,1,FALSE,FALSE,1.77,123,0.34,28,,,1
AEJK100455,9,0,2008,SHABIR AHMAD KULLEY,GEN,Jammu_&_Kashmir,SHOPIAN,GEN,JKN,,4929,M,3,1,FALSE,FALSE,13.07,928,2.46,47,,,1
AEJK100468,9,0,2008,MUSHTAQ AHMAD MALIK,GEN,Jammu_&_Kashmir,NOORABAD,GEN,IND,,182,M,13,1,FALSE,FALSE,0.39,117,0.25,35,,,1
AEJK100497,9,0,2008,IFTIKAR HUSSAIN MISGAR,GEN,Jammu_&_Kashmir,ANANTNAG,GEN,JKPDF,,1530,M,6,1,FALSE,FALSE,4.86,602,1.91,39,,,1
AEJK100506,9,0,2008,MUJIEB-UR-RAHMAN,GEN,Jammu_&_Kashmir,ANANTNAG,GEN,SP,,282,M,15,1,FALSE,FALSE,0.9,82,0.26,42,,,1
AEJK100527,9,0,2008,MOHD. YOUSUF GANIE,GEN,Jammu_&_Kashmir,KOKERNAG,GEN,JKNPP,,20,M,20,1,FALSE,FALSE,0.04,0,0,41,,,1
AEJK100528,9,0,2008,ABDUL AHAD MIR,GEN,Jammu_&_Kashmir,KUPWARA,GEN,PDF,,2495,M,5,1,FALSE,FALSE,4.49,258,0.46,38,,,1
AEJK100593,9,0,2008,IMTIYAZ AHMAD,GEN,Jammu_&_Kashmir,INDERWAL,GEN,JKNPP,,172,M,17,1,FALSE,FALSE,0.32,97,0.18,28,,,1
AEJK100955,9,0,2008,JAVID AHMAD MIRCHAL,GEN,Jammu_&_Kashmir,KARNAH,GEN,SDP,,2911,M,3,1,FALSE,FALSE,13.57,269,1.25,30,,,1
AEJK100956,9,0,2008,ALI ASGAR KHAN,GEN,Jammu_&_Kashmir,KARNAH,GEN,IND,,2642,M,4,1,FALSE,FALSE,12.31,26,0.12,69,,,1
AEJK100957,9,0,2008,RAJA MANZOOR AHMAD KHAN,GEN,Jammu_&_Kashmir,KARNAH,GEN,JKPDP,,2616,M,5,1,FALSE,FALSE,12.19,371,1.73,53,,,1
AEJK100958,9,0,2008,SYED YASIN SHAH,GEN,Jammu_&_Kashmir,KARNAH,GEN,INC,,2245,M,6,1,FALSE,FALSE,10.46,537,2.5,60,,,1
AEJK100959,9,0,2008,MOHD ABASS,GEN,Jammu_&_Kashmir,KARNAH,GEN,IND,,1708,M,7,1,FALSE,FALSE,7.96,938,4.37,57,,,1
AEJK100960,9,0,2008,MOHD NASEEM,GEN,Jammu_&_Kashmir,KARNAH,GEN,IND,,770,M,8,1,FALSE,FALSE,3.59,286,1.33,48,,,1
AEJK100961,9,0,2008,ZIYAFAT LONE,GEN,Jammu_&_Kashmir,KARNAH,GEN,IND,,484,M,9,1,FALSE,FALSE,2.26,189,0.88,28,,,1
