pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAAZ1573,1,0,1978,GAONKAR SAKHARAM DATTATRAY,,Karnataka,KARWAR,GEN,JNP,,19602,M,2,1,FALSE,FALSE,39.37,16744,33.63,,,,1
AEAAZ1583,1,0,1978,GUBBI SHANKARARAO BASALINGAPPAGOUDA,,Karnataka,HIREKERUR,GEN,IND,,32103,M,1,1,FALSE,FALSE,52.83,8408,13.84,,,1,1
AEAAZ1598,1,0,1978,JARTARDHAR MAHADEVSA GOVINDSA,,Karnataka,HUBLI,GEN,JNP,,27694,M,1,1,FALSE,FALSE,47.88,256,0.44,,,1,1
AEAAZ1621,1,0,1978,MURNAL BASAPPA TAMMANNA,,Karnataka,BAGALKOT,GEN,INC,,2085,M,4,1,FALSE,FALSE,4.02,1436,2.77,,,,1
AEAAZ1637,1,0,1978,PATIL KUMARAGOUDA ADIVEPPAGOUDA,,Karnataka,HUVIN-HIPPARGI,GEN,INC(I),,22531,M,2,1,FALSE,FALSE,44.34,21059,41.44,,,,1
AEAAZ1657,1,0,1978,MOHAMMAD ALI MEHTAL ALI,,Karnataka,GULBARGA,GEN,INC,,2002,M,5,1,FALSE,FALSE,3.65,1375,2.5,,,,1
AEAAZ1658,1,0,1978,GANGADHAR NAMOSHI,,Karnataka,GULBARGA,GEN,CPM,,3527,M,4,1,FALSE,FALSE,6.42,1525,2.78,,,,1
AEAAZ1680,1,0,1978,AMARE GOUDA CHANNAN GOUDA,,Karnataka,SINDHNOOR,GEN,INC,,18875,M,2,1,FALSE,FALSE,32.55,4963,8.56,,,,1
AEAAZ1693,1,0,1978,RAMAIAH B. E.,,Karnataka,SIRUGUPPA,GEN,INC(I),,34465,M,1,1,FALSE,FALSE,52.76,8869,13.58,,,1,1
AEAAZ1756,1,0,1978,M. MALIKARJNNA SWAMY,,Karnataka,MALAVALLI,SC,INC,,4998,M,3,1,FALSE,FALSE,8.26,0,0,,,,1
AEAAZ1758,1,0,1978,S.K. CHIKKANNA,,Karnataka,MADDUR,GEN,INC,,11765,M,3,1,FALSE,FALSE,18.05,11273,17.29,,,,1
AEAAZ1771,1,0,1978,HUTCHAMASTHY GOWDA N.,,Karnataka,HULIYURDURGA,GEN,INC,,9772,M,3,1,FALSE,FALSE,18.59,7630,14.52,,,,1
AEAAZ1774,1,0,1978,ANDANAIAH,,Karnataka,KUNIGAL,GEN,INC(I),,32654,M,1,1,FALSE,FALSE,53.32,8191,13.37,,,1,1
AEAAZ1787,1,0,1978,T.K. GANGIREDDY,,Karnataka,CHINTAMANI,GEN,JNP,,19692,M,2,1,FALSE,FALSE,29.29,18778,27.93,,,,1
AEAAZ1792,1,0,1978,P.VENKATAGIRIYAPPA,,Karnataka,KOLAR,GEN,JNP,,26182,M,2,1,FALSE,FALSE,46.11,23461,41.32,,,,1
AEAAZ1794,1,0,1978,C.M.ARUMUGHAM,,Karnataka,KOLAR GOLD FIELDS,SC,RPI,,21920,M,1,1,FALSE,FALSE,47.51,8136,17.63,,,1,1
AEAAZ1795,1,0,1978,E.NARAYANA GOWDA,,Karnataka,KOLAR,GEN,INC,,2721,M,3,1,FALSE,FALSE,4.79,1879,3.31,,,,1
