Party,Expanded_Party_Name
BJP,BHARATIYA JANATA PARTY
INC,INDIAN NATIONAL CONGRESS
BSP,BAHUJAN SAMAJ PARTY
JD(S),JANATA DAL (SECULAR)
KRRS,KARNATAKA RAJYA RYOTA SANGHA
KJP,KARNATAKA JANTHA PAKSHA
RPI,REPUBLICAN PARTY OF INDIA
JD(U),JANATA DAL (UNITED)
SP,SAMAJWADI PARTY
KPJP,KARNATAKA PRAGNYAVANTHA JANATHA PARTY
CPI,COMMUNIST PARTY OF INDIA
ADMK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
KCVP,KANNADA CHALAVALI VATAL PAKSHA
BSRCP,BADAVARA SHRAMIKARA RAITARA
SKP,SARVODAYA KARNATAKA PAKSHA
KMP,KARNATAKA MAKKALA PAKSHA
INL,INDIAN NATIONAL LEAGUE
KNDP,KANNADA NADU PARTY
MUL,MUSLIM LEAGUE
JD,JANATA DAL
KCP,KANNADA CHALAVALI VATAL PAKSHA
KRS,KARNATAKA RAJYA RYOTA SANGHA
BRP,BHARATIYA RASHTRIYA PARTY
JNP(JP),JANATA PARTY (JP)
ADK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
