pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEKL100228,13,0,2006,KUNHIRAMAN K,GEN,Kerala,TRIKKARPUR,GEN,CPM,,81050,M,1,2,FALSE,FALSE,55.91,23828,16.44,63,,2,2
AEKL100228,14,0,2011,K.KUNHIRAMAN,GEN,Kerala,UDMA,GEN,CPM,CPM,61646,M,1,2,FALSE,TRUE,47.93,11380,8.85,62,,2,2
AEKL100228,14,0,2011,K KUNHIRAMAN,GEN,Kerala,TRIKARIPUR,GEN,CPM,CPM,67871,M,1,2,FALSE,TRUE,49.91,8765,6.45,67,,2,2
AEKL100259,14,0,2011,C.KRISHNAN,GEN,Kerala,PAYYANNUR,GEN,CPM,,78116,M,1,1,FALSE,FALSE,59.78,32124,24.58,62,,1,1
AEKL100263,14,0,2011,T.V. RAJESH,GEN,Kerala,KALLIASSERI,GEN,CPM,,73190,M,1,1,FALSE,FALSE,58.62,29946,23.98,37,,1,1
AEKL100322,12,0,2001,K.P.MOHANAN S/O P.R. KURUP,,Kerala,PERINGALAM,GEN,JD(S),,52657,M,1,3,FALSE,FALSE,47.14,6978,6.25,,,3,3
AEKL100322,13,0,2006,K P MOHANAN S/O P RKURUP,GEN,Kerala,PERINGALAM,GEN,JD(S),JD(S),57840,M,1,3,FALSE,TRUE,51.94,19236,17.27,56,,3,3
AEKL100322,14,0,2011,K.P.MOHANAN S/O P R KURUP,GEN,Kerala,KUTHUPARAMBA,GEN,SJD,JD(S),57164,M,1,3,TRUE,TRUE,44.68,3303,2.58,61,,3,3
AEKL100324,14,0,2011,ADV.K.C.MUHAMMAD SABEER,GEN,Kerala,MATTANNUR,GEN,SDPI,,2757,M,4,1,FALSE,FALSE,2.07,1899,1.43,38,,,1
AEKL100335,14,0,2011,ADV.SUNNY JOSEPH,GEN,Kerala,PERAVOOR,GEN,INC,,56151,M,1,1,FALSE,FALSE,48.07,3440,2.94,58,,1,1
AEKL100347,14,0,2011,P.K.JAYALAKSHMI,ST,Kerala,MANANTHAVADY,ST,INC,,62996,F,1,1,FALSE,FALSE,50.78,12734,10.27,28,,1,1
AEKL100398,14,0,2011,E.K.VIJAYAN,GEN,Kerala,NADAPURAM,GEN,CPI,,72078,M,1,1,FALSE,FALSE,49.22,7546,5.15,58,,1,1
AEKL100400,14,0,2011,M.P.RAJAN,GEN,Kerala,VADAKARA,GEN,BJP,,6909,M,4,1,FALSE,FALSE,6.05,3421,2.99,49,,,1
AEKL100402,14,0,2011,K.K.VASU,SC,Kerala,PERAMBRA,GEN,BSP,,598,M,6,1,FALSE,FALSE,0.44,0,0,55,,,1
AEKL100415,14,0,2011,P.M SREEKUMAR,GEN,Kerala,KOZHIKODE NORTH,GEN,SUCI,,142,M,7,1,FALSE,FALSE,0.12,0,0,42,,,1
AEKL100468,13,0,2006,ADVOCATE P T A RAHIM,GEN,Kerala,KODUVALLY,GEN,IND,,65302,M,1,2,FALSE,FALSE,48.07,7506,5.52,57,,2,2
