Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
SHS,SHIV SENA
IND,INDEPENDENTS
BJP,BHARATIYA JANATA PARTY
SWP,SWABHIMANI PAKSHA
AIMIM,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
LKSGM,LOKSANGRAM
SP,SAMAJWADI PARTY
MNS,MAHARASHTRA NAVNIRMAN SENA
NCP,NATIONALIST CONGRESS PARTY
CPI,COMMUNIST PARTY OF INDIA
PWPI,PEASANTS AND WORKERS PARTY OF INDIA
BVA,BAHUJAN VIKAS AAGHADI
GGP,GONDVANA GANTANTRA PARTY
RPI,REPUBLIC PARTY OF INDIA
STBP,SWATANTRA BHARAT PAKSHA
JD(S),JANATA DAL (SECULAR)
RSPS,RASHTRIYA SAMAJ PAKSHA
ABHS,AKHIL BHARATIYA SENA
JSS,JAN SURAJYA SHAKTI
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
BBM,BHARIPA BAHUJAN MAHASANGH
RPI(A),REPUBLICAN PARTY OF INDIA (A)
MUL,INDIAN UNION MUSLIM LEAGUE
NVPP,NATIVE PEOPLE'S PARTY
SJP(M),SAMAJWADI JANATA PARTY (MAHARASHTRA)
NVAS,NAG VIDARBHA ANDOLAN SAMITI
MVC,MAHARASHTRA VIKAS CONGRESS
FBL,ALL INDIA FORWARD BLOC
JD,JANATA DAL
PWP,PEASANT'S & WORKERS' PARTY
ICS,INDIAN CONGRESS (SOCIALIST)
SSP,SANGHATA SOCIALIST PARTY
ICS(SCS),INDIAN CONGRESS (SOCIALIST-SARAT CHANDRA SINHA)
JNP(JP),JANATA PARTY (JP)
RPK,REPUBLICAN PARTY OF INDIA (KHOBRAGADE GROUP)
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
BJS,BHARATIYA JAN SANGH
BKD,BHARATIYA KRANTI DAL
PSP,PRAJA SOCIALIST PARTY
SOC,SOCIALIST
REP,REPUBLICAN
