pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEML1013,4,0,1988,PURNO A. SANGMA,,Meghalaya,TURA,ST,INC,,7003,M,1,2,FALSE,FALSE,48.61,1509,10.47,,,2,2
AEML1013,8,0,2008,PURNO AGITOK SANGMA,ST,Meghalaya,TURA,ST,NCP,INC,10881,M,1,2,TRUE,FALSE,35.41,2825,9.19,60,,2,2
AEML1041,4,0,1988,GOPINATH SANGMA,,Meghalaya,SALMANPURA,ST,INC,,1262,M,3,5,FALSE,FALSE,13.11,10,0.1,,,2,5
AEML1041,5,0,1993,GOPINATH SANGMA,,Meghalaya,SALMANPURA,ST,INC,INC,4898,M,1,5,FALSE,FALSE,40.19,424,3.48,,,2,5
AEML1041,6,0,1998,GOPINATH SANGMA,,Meghalaya,SALMANPURA,ST,INC,INC,4146,M,2,5,FALSE,TRUE,32.18,2651,20.58,,,2,5
AEML1041,7,0,2003,SHRI. GOPINATH SANGMA,,Meghalaya,SALMANPURA,ST,NCP,INC,6341,M,1,5,TRUE,FALSE,42.04,843,5.59,,,2,5
AEML1041,8,0,2008,GOPINATH SANGMA,ST,Meghalaya,SALMANPURA,ST,NCP,NCP,3161,M,3,5,FALSE,TRUE,18.08,1158,6.63,64,,2,5
AEML106,6,0,1998,RICHARD SINGH LYNGDOH,,Meghalaya,SUTNGA-SHANGPUNG,ST,PDM,,1336,M,4,2,FALSE,FALSE,7.98,1275,7.61,,,,2
AEML106,8,0,2008,RICHARD SINGH LYNGDOH,ST,Meghalaya,SUTNGA-SHANGPUNG,ST,UDP,PDM,7938,M,2,2,TRUE,FALSE,41.24,6442,33.47,44,,,2
AEML109,1,0,1972,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,ST,IND,,3630,M,1,8,FALSE,FALSE,82.71,2871,65.41,,,1,8
AEML109,2,0,1978,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,ST,INC,IND,2413,M,2,8,FALSE,TRUE,24.93,1425,14.72,,,1,8
AEML109,3,0,1983,K. MAWLOT,,Meghalaya,NONGSTOIN,ST,IND,INC,2262,M,2,8,FALSE,FALSE,21,128,1.19,,,1,8
AEML109,4,0,1988,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,ST,INC,IND,5487,M,2,8,FALSE,FALSE,42.42,4641,35.88,,,1,8
AEML109,5,0,1993,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,ST,IND,INC,5511,M,2,8,FALSE,FALSE,28.77,1188,6.2,,,1,8
AEML109,6,0,1998,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,ST,IND,IND,4411,M,3,8,FALSE,FALSE,22.17,2731,13.73,,,1,8
AEML109,7,0,2003,SHRI. FRANCIS K.MAWLOT,,Meghalaya,NONGSTOIN,ST,INC,IND,7001,M,2,8,FALSE,FALSE,33.69,5066,24.38,,,1,8
