Party,Expanded_Party_Name
NPP,NATIONAL PEOPLE'S PARTY
INC,INDIAN NATIONAL CONGRESS
BJP,BHARTIYA JANTA PARTY
NPEP,NATIONAL PEOPLES PARTY
KHNAM,KHUN HYNNIEUTRIP NATIONAL AWAKANING MOVEMENT
UDP,UNITED DEMOCRATIC PARTY
NCP,NATIONALIST CONGRESS PARTY
PDF,PEOPLE'S DEMOCRATIC FRONT
HSPDP,HILL STATE PEOPLE'S DEMOCRATIC PARTY
GNC,GARO NATIONAL COUNCIL
NESDP,NORTH EAST SOCIAL DEMOCRATIC PARTY
MDP,MEGHALAYA DEMOCRATIC PARTY
HPDP,HILL STATE PEOPLE'S DEMOCRATIC PARTY
PDM,PEOPLE'S DEMOCRATIC MOVEMENT
HPSD,HILL STATE PEOPLE'S DEMOCRATIC PARTY
HPU,HILL PEOPLE UNION
AHLC(AM),ALL PARTY HILL LEADER'S CONFERENCE (ARMISON MARAK GR
MPP,MEGHALAYA PROGRESSIVE PEOPLE'S PARTY
PDI,PUBLIC DEMANDS IMPLEMENTATION CONVENTION
HPD,HILL STATE PEOPLE'S DEMOCRATIC PARTY
PDC,PUBLIC DEMANDS IMPLEMENTATION CONVENTION
AHL(A),ALL PARTY HILL LEADERS CONFERENCE (ARMISON MARAK GRO
AHL,ALL PARTY HILL LEADER'S CONFERNCE
