pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMN197746,10,1,2007,Thokehom Lokeshwar Singh,,Manipur,Khundrakpam,GEN,INC,,9570,M,1,2,FALSE,FALSE,45.48,2168,10.3,,,2,2
AEMN197746,11,0,2012,THOKCHOM LOKESHWAR SINGH,GEN,Manipur,KHUNDRAKPAM,GEN,INC,INC,9182,M,1,2,FALSE,TRUE,49.37,5504,29.59,45,,2,2
AEMN197752,11,0,2012,NAOROIBAM RATAN (KAPU) MEETEI,GEN,Manipur,HEINGANG,GEN,NCP,,9790,M,2,1,FALSE,FALSE,42.47,9186,39.85,32,,,1
AEMN197753,11,0,2012,DR. G. TONSANA SHARMA,GEN,Manipur,HEINGANG,GEN,MDPF,,373,M,5,3,FALSE,FALSE,1.62,0,0,61,,,1
AEMN197753,11,1,2015,Dr. Gurumayum Tonsana Sharma,,Manipur,THONGJU,GEN,MDPF,MDPF,54,M,3,3,FALSE,FALSE,0.21,0,0,,,,1
AEMN197753,11,1,2015,Dr. Gurumayum Tonsana Sharma,,Manipur,THANGMEIBAND,GEN,MDPF,MDPF,55,M,3,3,FALSE,FALSE,0.25,0,0,,,,1
AEMN197756,11,0,2012,LEISHANGTHEM SHUSINDRO MEITEI @YAIMA,GEN,Manipur,KHURAI,GEN,AITC,,6529,M,2,1,FALSE,FALSE,25.24,612,2.37,28,,,1
AEMN197757,10,0,2007,DR. NGAIRANGBAM BIJOY SINGH,GEN,Manipur,KHURAI,GEN,MPP,,13326,M,1,2,FALSE,FALSE,50.39,5208,19.69,60,,2,2
AEMN197757,11,0,2012,DR. NG. BIJOY SINGH,GEN,Manipur,KHURAI,GEN,INC,MPP,11618,M,1,2,TRUE,TRUE,44.92,5089,19.68,65,,2,2
AEMN197758,11,0,2012,AMUSANA R.K.,GEN,Manipur,KHURAI,GEN,CPI,,1801,M,4,1,FALSE,FALSE,6.96,0,0,51,,,1
AEMN197760,10,0,2007,MOHD. AMIN SHAH,GEN,Manipur,KHETRIGAO,GEN,INC,,7116,M,2,2,FALSE,FALSE,27.91,1220,4.79,32,,1,2
AEMN197760,11,0,2012,MD. AMIN SHAH,GEN,Manipur,KSHETRIGAO,GEN,INC,INC,7981,M,1,2,FALSE,FALSE,31.31,2994,11.74,33,,1,2
AEMN197766,11,0,2012,THONGAM BISWAJIT SINGH,GEN,Manipur,THONGJU,GEN,AITC,,10299,M,1,3,FALSE,FALSE,41.81,603,2.45,36,,1,1
AEMN197766,11,0,2012,THONGAM BISHWANATH SINGH,GEN,Manipur,LANGTHABAL,GEN,MSCP,AITC,1254,M,4,3,TRUE,FALSE,5.92,163,0.77,49,,1,1
AEMN197766,11,1,2015,Thongam Biswajit Singh,,Manipur,THONGJU,GEN,BJP,MSCP,14606,M,1,3,TRUE,TRUE,56.06,3213,12.33,,,1,1
AEMN197783,11,0,2012,KHUMUKCHAM JOYKISAN SINGH,GEN,Manipur,THANGMEIBAND,GEN,AITC,,7670,M,1,2,FALSE,FALSE,36.01,984,4.62,46,,1,1
AEMN197783,11,1,2015,Khumukcham Joykishan(E),,Manipur,THANGMEIBAND,GEN,BJP,AITC,12104,M,1,2,TRUE,TRUE,54.14,1907,8.53,,,1,1
AEMN197784,10,0,2007,JYOTIN WAIKHOM,GEN,Manipur,THANGMEIBAND,GEN,INC,,5945,M,2,3,FALSE,FALSE,29.53,1578,7.84,43,,,2
AEMN197784,11,0,2012,JYOTIN WAIKHOM,GEN,Manipur,THANGMEIBAND,GEN,INC,INC,6686,M,2,3,FALSE,FALSE,31.39,2814,13.21,48,,,2
AEMN197784,11,1,2015,Jyotin Waikhom,,Manipur,THANGMEIBAND,GEN,INC,INC,10197,M,2,3,FALSE,FALSE,45.61,10142,45.37,,,,2
AEMN197800,11,0,2012,YUMNAM ROMOLA DEVI,GEN,Manipur,KEISHAMTHONG,GEN,CPM,,178,F,4,1,FALSE,FALSE,0.85,97,0.46,42,,,1
AEMN197801,11,0,2012,CHANGAMAYUM GANESHLAL SINGH,GEN,Manipur,KEISHAMTHONG,GEN,MSCP,,81,M,5,1,FALSE,FALSE,0.39,51,0.24,50,,,1
AEMN197802,11,0,2012,YUMNAM KHEMCHAND SINGH,GEN,Manipur,SINGJAMEI,GEN,AITC,,7818,M,2,1,FALSE,FALSE,48.64,7537,46.89,51,,,1
AEMN197806,11,0,2012,THOKCHOM SATYABRATA SINGH,GEN,Manipur,YAISKUL,GEN,IND,,2133,M,4,1,FALSE,FALSE,10.79,0,0,34,,,1
AEMN197812,4,0,1980,YUMKHAM IRABOT,,Manipur,WANGKHEI,GEN,JNP,,4052,M,1,8,FALSE,FALSE,32.12,1138,9.02,,,6,8
AEMN197812,5,0,1984,YUMKHAM ERABOT,,Manipur,WANGKHEI,GEN,INC,JNP,7901,M,1,8,TRUE,TRUE,48.94,1302,8.06,,,6,8
AEMN197812,6,0,1990,YUMKHAM ERABOT,,Manipur,WANGKHEI,GEN,INC,INC,8758,M,2,8,FALSE,TRUE,42.74,8626,42.09,,,6,8
AEMN197812,7,0,1995,YUMKHAM ERABOT,,Manipur,WANGKHEI,GEN,INC,INC,7977,M,1,8,FALSE,FALSE,36.81,1702,7.85,,,6,8
AEMN197812,8,0,2000,YUMKHAN ERABOT,,Manipur,WANGKHEI,GEN,INC,INC,6891,M,2,8,FALSE,TRUE,29.36,756,3.22,,,6,8
AEMN197812,9,0,2002,ERABOT YUMKHAM,,Manipur,WANGKHEI,GEN,MSCP,INC,7999,M,1,8,TRUE,FALSE,35.47,499,2.21,,,6,8
AEMN197812,10,0,2007,YUMKHAM ERABOT SINGH,GEN,Manipur,WANGKHEI,GEN,INC,MSCP,7917,M,1,8,TRUE,TRUE,31.49,1236,4.92,65,,6,8
AEMN197812,11,0,2012,YUMKHAM ERABOT SINGH,GEN,Manipur,WANGKHEI,GEN,INC,INC,10981,M,1,8,FALSE,TRUE,44.72,1576,6.42,72,,6,8
AEMN197814,11,0,2012,HEIKHAM DINGO SINGH,SC,Manipur,SEKMAI,SC,AITC,,5242,M,2,1,FALSE,FALSE,25.28,259,1.25,33,,,1
AEMN197816,7,0,1995,SOROKHAIBAM RAJEN SINGH,,Manipur,LAMSANG,GEN,INC,,4184,M,1,5,FALSE,FALSE,22.13,327,1.73,,,2,5
AEMN197816,8,0,2000,SOROKHAIBAM RAJEN SINGH,,Manipur,LAMSANG,GEN,MSCP,INC,6840,M,1,5,TRUE,TRUE,34.18,162,0.81,,,2,5
AEMN197816,9,0,2002,SOROKHAIBAM RAJEN SINGH,,Manipur,LAMSANG,GEN,FPM,MSCP,9579,M,2,5,TRUE,TRUE,44.27,9424,43.55,,,2,5
AEMN197816,10,0,2007,SOROKHAIBAM RAJEN SINGH,GEN,Manipur,LAMSANG,GEN,MPP,FPM,11624,M,2,5,TRUE,FALSE,46.33,0,0,43,,2,5
AEMN197816,11,0,2012,SOROKHAIBAM RAJEN SINGH,GEN,Manipur,LAMSANG,GEN,NCP,MPP,6909,M,2,5,TRUE,FALSE,27.75,409,1.64,53,,2,5
AEMN197818,11,0,2012,PAKCHAO PHIJAM,GEN,Manipur,LAMSANG,GEN,CPI,,6500,M,3,1,FALSE,FALSE,26.11,5764,23.15,61,,,1
AEMN197820,10,0,2007,KONTHOUJAM SHARAT SINGH,GEN,Manipur,KONTHOUJAM,GEN,NPP,,5391,M,2,2,FALSE,FALSE,23.51,1535,6.7,42,,1,2
AEMN197820,11,0,2012,KONTHOUJAM SHARAT SINGH,GEN,Manipur,KONTHOUJAM,GEN,AITC,NPP,10807,M,1,2,TRUE,FALSE,45.87,514,2.18,48,,1,2
AEMN197823,10,0,2007,SAPAM KUNJAKESWOR (KEBA) SINGH,GEN,Manipur,PATSOI,GEN,IND,,8936,M,1,2,FALSE,FALSE,34.19,1644,6.29,48,,1,2
AEMN197823,11,0,2012,SAPAM KUNJAKESWOR SINGH,GEN,Manipur,PATSOI,GEN,AITC,IND,8710,M,2,2,FALSE,TRUE,32.17,6195,22.88,54,,1,2
AEMN197827,9,0,2002,KARAM SHYAM,,Manipur,LANGTHABAL,GEN,DRPP,,2302,M,5,3,FALSE,FALSE,12.95,439,2.47,,,1,3
AEMN197827,10,0,2007,KARAM SHYAM,GEN,Manipur,LANGTHABAL,GEN,LJP,DRPP,3837,M,3,3,TRUE,FALSE,18.39,487,2.33,46,,1,3
AEMN197827,11,0,2012,KARAM SHYAM,GEN,Manipur,LANGTHABAL,GEN,LJP,LJP,7575,M,1,3,FALSE,FALSE,35.78,1035,4.89,49,,1,3
AEMN197837,11,0,2012,OINAM MALESH,GEN,Manipur,NAORIYA PAKHANGLAKPA,GEN,CPI,,4571,M,4,1,FALSE,FALSE,17.17,4334,16.28,44,,,1
AEMN197841,10,0,2007,SALAM JOY SINGH,GEN,Manipur,WANGOI,GEN,NCP,,7171,M,1,2,FALSE,FALSE,32.82,2138,9.79,33,,1,2
AEMN197841,11,0,2012,SALAM JOY SINGH,GEN,Manipur,WANGOI,GEN,NCP,NCP,8972,M,2,2,FALSE,TRUE,37.93,3660,15.47,39,,1,2
AEMN197856,11,0,2012,PUKHREM SHARATCHANDRA SINGH,GEN,Manipur,MOIRANG,GEN,NCP,,13363,M,2,1,FALSE,FALSE,47.92,0,0,61,,,1
AEMN197859,11,0,2012,TONGBRAM ROBINDRO SINGH,GEN,Manipur,THANGA,GEN,AITC,,4710,M,2,1,FALSE,FALSE,25.8,1218,6.67,41,,,1
AEMN197863,4,0,1980,SHANASHAM BIRA SINGH,,Manipur,KUMBI,GEN,INC(U),,2643,M,2,8,FALSE,FALSE,23.18,97,0.85,,,3,8
AEMN197863,5,0,1984,SANASAM BIRA SINGH,,Manipur,KUMBI,GEN,IND,INC(U),2615,M,1,8,FALSE,FALSE,20.76,570,4.52,,,3,8
AEMN197863,6,0,1990,SANASAM BIRA SINGH,,Manipur,KUMBI,GEN,INC,IND,3451,M,2,8,FALSE,TRUE,23.19,548,3.68,,,3,8
AEMN197863,7,0,1995,SANASAM BIRA,,Manipur,KUMBI,GEN,INC,INC,3531,M,2,8,FALSE,FALSE,20.17,367,2.1,,,3,8
AEMN197863,8,0,2000,SANASAM BIR SINGH,,Manipur,KUMBI,GEN,MSCP,INC,4777,M,1,8,TRUE,FALSE,25.72,79,0.43,,,3,8
AEMN197863,9,0,2002,SANASAM BIRA SINGH,,Manipur,KUMBI,GEN,MSCP,MSCP,4173,M,3,8,FALSE,TRUE,21.91,1159,6.08,,,3,8
AEMN197863,10,0,2007,SHRI SANASAM BIRA SINGH,GEN,Manipur,KUMBI,GEN,INC,MSCP,5639,M,2,8,TRUE,FALSE,25.55,124,0.56,64,,3,8
AEMN197863,11,0,2012,SANASAM BIRA SINGH,GEN,Manipur,KUMBI,GEN,INC,INC,8572,M,1,8,FALSE,FALSE,40.07,1015,4.74,66,,3,8
AEMN197877,9,0,2002,AKOIJAM MANGLEMJAO,,Manipur,THOUBAL,GEN,MSCP,,2291,M,5,3,FALSE,FALSE,11.01,0,0,,,,3
AEMN197877,10,0,2007,SHRI DR. AKOIJAM MANGLEMJAO SINGH,GEN,Manipur,THOUBAL,GEN,IND,MSCP,162,M,3,3,FALSE,FALSE,0.68,0,0,57,,,3
