Party,Expanded_Party_Name
BJP,BHARATIYA JANATA PARTY
CPI,COMMUNIST PARTY OF INDIA
INC,INDIAN NATIONAL CONGRESS
JD(U),JANATA DAL (UNITED)
KPA,KUKI PEOPLE'S ALLIANCE
NCP,NATIONALIST CONGRESS PARTY
NPF,NAGA PEOPLES FRONT
NPP,NATIONAL PEOPLE'S PARTY
RPI(A),REPUBLICAN PARTY OF INDIA (A)
AITC,ALL INDIA TRINAMOOL CONGRESS
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
LJP,LOK JAN SHAKTI PARTY
NPEP,NATIONAL PEOPLE'S PARTY
MPP,MAHABHARATH PEOPLE'S PARTY
MSCP,MANIPUR STATE CONGRESS PARTY
RJD,RASHTRIYA JANATA DAL
SAP,SAMATA PARTY
DRPP,DEMOCRATIC REVOLUTIONARY PEOPLES PARTY
FPM,FEDERAL PARTY OF MANIPUR
MNC,MANIPUR NATIONAL CONFERENCE
KNA,KUKI NATIONAL ASSEMBLY
ICS,INDIAN CONGRESS (SOCIALIST)
JD,JANATA DAL
ICS(SCS),INDIAN CONGRESS (SOCIALIST-SARAT CHANDRA SINHA)
JNP,JANTA PARTY
MRP,MANIPUR PEOPLE PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
MHU,MANIPUR HILLS UNION
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
SSP,SANGHATA SOCIALIST PARTY
