pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AECG84558,12,0,2003,RAM SINGH BAGHEL,,Madhya_Pradesh,DATIA,GEN,IND,,1253,M,9,1,FALSE,FALSE,1.14,612,0.56,,,,1
AECG84598,12,0,2003,KUNWAR LAVKESH SINGH,,Madhya_Pradesh,BEOHARI,GEN,BJP,,25508,M,1,1,FALSE,FALSE,24.77,2429,2.36,,,1,1
AEMP0000097,6,0,1977,DIG VIJAY SINGH,,Madhya_Pradesh,RAGHOGARH,GEN,INC,,21644,M,1,5,FALSE,FALSE,52.74,2251,5.49,,,5,5
AEMP0000097,7,0,1980,DIGVIJAY SINGH,,Madhya_Pradesh,RAGHOGARH,GEN,INC(I),INC,28138,M,1,5,FALSE,TRUE,69.05,19039,46.72,,,5,5
AEMP0000097,10,1,1994,Digvijay Singh,,Madhya_Pradesh,CHACHORA,GEN,INC,INC(I),53621,,1,5,FALSE,FALSE,78.45,38894,56.91,,,5,5
AEMP0000097,11,0,1998,DIGVIJAY SINGH,,Madhya_Pradesh,RAGHOGARH,GEN,INC,INC,67442,M,1,5,FALSE,TRUE,82.75,54161,66.45,,,5,5
AEMP0000097,12,0,2003,DIGVIJAY SINGH,,Madhya_Pradesh,RAGHOGARH,GEN,INC,INC,58233,M,1,5,FALSE,TRUE,53.95,21164,19.61,,,5,5
AEMP0000158,12,0,2003,RAM PRAKASH,,Madhya_Pradesh,NAGOD,GEN,NCP,,874,M,10,1,FALSE,FALSE,0.76,88,0.08,,,,1
AEMP10000,8,0,1985,URMILA SINGH,,Madhya_Pradesh,GHANSOR,ST,INC,,21004,F,1,5,FALSE,FALSE,71.72,16463,56.21,,,3,5
AEMP10000,9,0,1990,URMILA SINGH,,Madhya_Pradesh,GHANSOR,ST,INC,INC,15820,F,2,5,FALSE,TRUE,33.66,10266,21.85,,,3,5
AEMP10000,10,0,1993,URAMILA SINGH,,Madhya_Pradesh,GHANSOR,ST,INC,INC,28402,F,1,5,FALSE,FALSE,57.22,13800,27.8,,,3,5
AEMP10000,11,0,1998,SMT.URMILA SINGH,,Madhya_Pradesh,GHANSOR,ST,INC,INC,38444,F,1,5,FALSE,TRUE,56.16,18088,26.43,,,3,5
AEMP10000,12,0,2003,URMILA SINGH,,Madhya_Pradesh,GHANSOR,ST,INC,INC,23160,F,3,5,FALSE,TRUE,20.77,19953,17.89,,,3,5
AEMP10006,8,0,1985,VEDSINGH THAKUR,,Madhya_Pradesh,KEOLARI,GEN,BJP,,9698,M,2,2,FALSE,FALSE,22.02,7629,17.32,,,,2
AEMP10006,12,0,2003,VED SINGH THAKUR,,Madhya_Pradesh,KEOLARI,GEN,BJP,BJP,37502,M,2,2,FALSE,FALSE,30.26,17966,14.5,,,,2
AEMP100318,4,1,1970,RAGAWJI,,Madhya_Pradesh,VINDISHA,GEN,BJS,,22901,,1,3,FALSE,FALSE,56.81,8489,21.06,,,2,3
AEMP100318,5,0,1972,RAGHAVJI,,Madhya_Pradesh,VIDISHA,GEN,BJS,BJS,22975,M,2,3,FALSE,TRUE,48.43,22121,46.63,,,2,3
AEMP100318,12,0,2003,RAGHAVJI,,Madhya_Pradesh,SHAMSHABAD,GEN,BJP,BJS,57602,M,1,3,TRUE,FALSE,58.59,22341,22.72,,,2,3
AEMP100543,10,1,1996,Vidya Vatee Patel,,Madhya_Pradesh,GURH,GEN,BSP,,24649,F,1,3,FALSE,FALSE,27.47,3855,4.3,,,2,3
AEMP100543,11,0,1998,ADVOCATE VIDYAWATI PATEL,,Madhya_Pradesh,GURH,GEN,BSP,BSP,23750,F,1,3,FALSE,TRUE,27.55,5503,6.38,,,2,3
AEMP100543,12,0,2003,ADVOCATE VIDYAWATI PATEL,,Madhya_Pradesh,GURH,GEN,BSP,BSP,33897,F,2,3,FALSE,TRUE,31.87,23604,22.19,,,2,3
AEMP100558,10,1,1996,Meena Singh,,Madhya_Pradesh,NOWROZABAD,ST,BJP,,23932,,1,2,FALSE,FALSE,33.52,2274,3.18,,,2,2
AEMP100558,12,0,2003,MEENA SINGH,,Madhya_Pradesh,NOWROZABAD,ST,BJP,BJP,42564,F,1,2,FALSE,FALSE,42.97,20978,21.18,,,2,2
AEMP100606,10,1,1996,Premchand Guddu,,Madhya_Pradesh,ALOT(SC),SC,INC,,36658,,2,3,FALSE,FALSE,44.86,34870,42.67,,,2,3
