Party,Expanded_Party_Name
HMS,AKHIL BHARAT HINDU MAHASABHA
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENT
SOC,SOCIALIST
SWA,SWATANTRA
JS,JAN SANGH
CPI,COMMUNIST PARTY OF INDIA
PSP,PRAGATISHEEL PARTY
RRP,AKHIL BHARATIYA RAM RAJYA PARISHAD
BJS,AKHIL BHARATIYA JANA SANGH
SSP,SANGHATA SOCIALIST PARTY
RPI,REPUBLIC PARTY OF INDIA
JAC,JAN CONGRESS
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
RPK,REPUBLICAN PARTY OF INDIA (KHOBRAGADE GROUP)
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
BJP,BHARATIYA JANATA PARTY
JNP(SC),JANATA PARTY (SECULAR) - CH. CHARAN SINGH
JNP(JP),JANATA PARTY (JP)
ICS,INDIAN CONGRESS (SOCIALIST)
JD,JANATA DAL
BSP,BAHUJAN SAMAJ PARTY
KSM,KRANTIKARI SAMAJWADI MANCH
CMM,CHATTISGARAH MUKTI MORCHA
SP,SAMAJWADI PARTY
GGP,GONDVANA GANTANTRA PARTY
RPI(K),REPUBLICAN PARTY OF INDIA (KAMBLE)
AJBP,AJEYA BHARAT PARTY
JP,JANATA PARTY
RSMD,RASHTRIYA SAMANTA DAL
JD(U),JANATA DAL (UNITED)
NCP,NATIONALIST CONGRESS PARTY
BJSH,BHARATIYA JAN SHAKTI
