pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAAZ1693,4,0,1967,B. E. RAMAIAH,,Mysore,SIRUGUPPA,GEN,SWA,,18489,M,2,1,FALSE,FALSE,45.04,0,0,,,,1
AEAAZ1694,3,0,1962,C. M. REVANA SIDDHAIAH,,Mysore,SHIRUGUPPA,GEN,SWA,,22517,M,1,2,FALSE,FALSE,62,9577,26.37,,,1,2
AEAAZ1694,4,0,1967,C. M. REVANASIDDAIAH,,Mysore,KURUGODU,GEN,SWA,SWA,14453,M,2,2,FALSE,TRUE,36.73,0,0,,,1,2
AEAAZ1703,3,0,1962,S. NIJALINGAPPA,,Mysore,HOSADURGA,GEN,INC,,16315,M,2,2,FALSE,FALSE,42.55,0,0,,,1,2
AEAAZ1703,4,0,1967,S. NIJALINGAPPPA,,Mysore,SHIGGAON,GEN,INC,INC,0,M,1,2,FALSE,FALSE,,0,,,,1,2
AEAAZ1704,4,0,1967,G. V. ANJANAPPA,,Mysore,CHALLAKERE,GEN,PSP,,18609,M,2,1,FALSE,FALSE,42.63,16111,36.91,,,,1
AEAAZ1710,4,0,1967,H. SIDDAVEERAPPA,,Mysore,HARIHAR,GEN,IND,,22601,M,1,1,FALSE,FALSE,50.56,504,1.13,,,1,1
AEAAZ1727,3,0,1962,T. R. PARAMESHWARAIAH,,Mysore,TARIKERE,GEN,INC,,18357,M,1,2,FALSE,FALSE,47.13,367,0.94,,,1,2
AEAAZ1727,4,0,1967,T. R. PARAMESHWARAIAH,,Mysore,TARIKERE,GEN,INC,INC,12261,M,2,2,FALSE,TRUE,33.77,10319,28.42,,,1,2
AEAAZ1731,3,0,1962,D. H. RUDRAPPA,,Mysore,KADUR,GEN,INC,,10329,M,2,2,FALSE,FALSE,32.21,0,0,,,,2
AEAAZ1731,4,0,1967,D. H. RUDRAPPA,,Mysore,BIRUR,GEN,INC,INC,11737,M,2,2,FALSE,FALSE,40.1,8074,27.59,,,,2
