pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAS197331,1,0,1972,ZALAWMA,,Mizoram,RENGUIL,GEN,INC,,1388,M,1,2,FALSE,FALSE,52.76,446,16.95,,,1,2
AEAS197331,3,0,1979,ZALAWMA,,Mizoram,KOLASIB,GEN,INC(I),INC,1565,M,2,2,FALSE,FALSE,24.27,505,7.83,,,1,2
AEMZ1293,2,0,1978,LALHMINGTHANGA,,Mizoram,LUNGLEI,ST,PPC,,3761,M,1,2,FALSE,FALSE,65.39,2775,48.24,,,2,2
AEMZ1293,3,0,1979,LALHMINGTHANGA,,Mizoram,LUNGLEI,GEN,PPC,PPC,3846,M,1,2,FALSE,TRUE,58.11,1597,24.13,,,2,2
AEMZ1298,3,0,1979,B. LALCHUNGUNGA,,Mizoram,TAWIPUI,GEN,PPC,,1995,M,1,1,FALSE,FALSE,43.02,138,2.98,,,1,1
AEMZ1332,2,0,1978,D. HNUNLIANA,,Mizoram,RATU,ST,IND,,901,M,2,2,FALSE,FALSE,19.75,50,1.1,,,,2
AEMZ1332,3,0,1979,D. HNUNLIANA,,Mizoram,RATU,GEN,IND,IND,1124,M,2,2,FALSE,FALSE,19.99,168,2.99,,,,2
AEMZ1373,2,0,1978,F. LALTHLAMUANA,,Mizoram,LUNGPHO,ST,IND,,991,M,2,2,FALSE,FALSE,28.46,605,17.38,,,,2
AEMZ1373,3,0,1979,F. LALTHLAMUANA,,Mizoram,LUNGPO,GEN,INC(I),IND,1807,M,2,2,FALSE,FALSE,41.99,1656,38.48,,,,2
AEMZ1395,3,0,1979,LALNGHAKLIANA,,Mizoram,AIZAWL WEST,GEN,IND,,677,M,4,1,FALSE,FALSE,9.94,64,0.94,,,,1
AEMZ1398,3,0,1979,S. PAILEI,,Mizoram,TUIPANG,GEN,IND,,1094,M,3,1,FALSE,FALSE,20.7,0,0,,,,1
AEMZ1401,2,0,1978,PIANGLAWMA,,Mizoram,SANGAU,ST,IND,,334,M,5,2,FALSE,FALSE,8.09,103,2.49,,,,2
AEMZ1401,3,0,1979,PIANGLAWMA,,Mizoram,SANGAU,GEN,INC(I),IND,163,M,3,2,FALSE,FALSE,3.8,159,3.71,,,,2
AEMZ1402,3,0,1979,BIAKTHANGA,,Mizoram,SANGAU,GEN,IND,,4,M,4,1,FALSE,FALSE,0.09,0,0,,,,1
AEMZ1407,3,0,1979,MADAN KUMAR,,Mizoram,CHAWNGTE,GEN,IND,,926,M,2,1,FALSE,FALSE,20.35,385,8.46,,,,1
AEMZ1408,3,0,1979,ATUL CHANDRA,,Mizoram,CHAWNGTE,GEN,IND,,541,M,3,1,FALSE,FALSE,11.89,24,0.53,,,,1
AEMZ1410,3,0,1979,RUALNEI KHUMA,,Mizoram,CHAWNGTE,GEN,IND,,425,M,5,1,FALSE,FALSE,9.34,13,0.29,,,,1
AEMZ1411,3,0,1979,THANGLIANA,,Mizoram,CHAWNGTE,GEN,IND,,412,M,6,1,FALSE,FALSE,9.05,166,3.65,,,,1
AEMZ1412,3,0,1979,LABADON,,Mizoram,CHAWNGTE,GEN,IND,,246,M,7,1,FALSE,FALSE,5.41,131,2.88,,,,1
AEMZ1413,3,0,1979,CHITRA KUMAR,,Mizoram,CHAWNGTE,GEN,IND,,115,M,8,1,FALSE,FALSE,2.53,0,0,,,,1
AEMZ1416,3,0,1979,LIANCHHUNGA,,Mizoram,DEMAGIRI,GEN,IND,,940,M,3,1,FALSE,FALSE,26.23,867,24.19,,,,1
AEMZ1417,3,0,1979,S. P. DEWAN,,Mizoram,DEMAGIRI,GEN,JNP,,73,M,4,1,FALSE,FALSE,2.04,0,0,,,,1
AEMZ1420,3,0,1979,THANCHUNGNUNGA,,Mizoram,BUARPUI,GEN,JNP,,223,M,3,1,FALSE,FALSE,8.02,0,0,,,,1
AEMZ1423,3,0,1979,THANSIAMA KHIANGTE,,Mizoram,LUNGLEI,GEN,JNP,,524,M,3,1,FALSE,FALSE,7.92,0,0,,,,1
AEMZ1427,3,0,1979,ELLIS SAIDENGA,,Mizoram,HNAHTHIAAL,GEN,PPC,,3648,M,1,1,FALSE,FALSE,52.38,1163,16.7,,,1,1
