pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AENL1001,6,0,1987,TOVISHE,,Nagaland,ATOIZU,ST,NND,,399,M,3,1,FALSE,FALSE,6.69,0,0,,,,1
AENL1004,6,0,1987,KHEKIYE,,Nagaland,SURUHOTO,ST,NPP,,825,M,3,1,FALSE,FALSE,13.36,0,0,,,,1
AENL1006,6,0,1987,NIHOKHE,,Nagaland,AGHUNATO,ST,NND,,1697,M,2,1,FALSE,FALSE,31.57,522,9.71,,,,1
AENL1008,6,0,1987,KAKIYA,,Nagaland,AGHUNATO,ST,NPP,,631,M,4,1,FALSE,FALSE,11.74,0,0,,,,1
AENL1012,6,0,1987,AHETO,,Nagaland,ZUNHEBOTO,ST,IND,,862,M,4,1,FALSE,FALSE,13.18,0,0,,,,1
AENL1019,6,0,1987,E. YENCHAMONGULLIE,,Nagaland,TYUI,ST,IND,,649,M,3,1,FALSE,FALSE,7.6,0,0,,,,1
AENL1020,6,0,1987,JOHN LOTHA,,Nagaland,WOKHA,ST,IND,,3689,M,1,1,FALSE,FALSE,37.6,340,3.47,,,1,1
AENL1022,6,0,1987,MHAO,,Nagaland,WOKHA,ST,INC,,2774,M,3,1,FALSE,FALSE,28.27,0,0,,,,1
AENL1024,6,0,1987,NKHOA,,Nagaland,SANIS,ST,NND,,2558,M,2,1,FALSE,FALSE,37.71,1184,17.46,,,,1
AENL1025,4,0,1977,RAINBOW EZUNG,,Nagaland,WOKHA,GEN,IND,,3199,M,1,3,FALSE,FALSE,53.85,457,7.69,,,1,3
AENL1025,5,0,1982,RAINBOW EZUNG,,Nagaland,WOKHA,ST,INC,IND,2575,M,2,3,FALSE,TRUE,32.52,810,10.23,,,1,3
AENL1025,6,0,1987,RAINBOW,,Nagaland,SANIS,ST,IND,INC,1374,M,3,3,FALSE,FALSE,20.26,1238,18.25,,,1,3
AENL1026,6,0,1987,P. PIUS,,Nagaland,SANIS,ST,BJP,,136,M,4,1,FALSE,FALSE,2.01,0,0,,,,1
AENL1029,6,0,1987,T. C. KITHAN,,Nagaland,BHANDARI,ST,IND,,1261,M,3,1,FALSE,FALSE,14.27,990,11.2,,,,1
AENL1030,6,0,1987,LOCHUMLO YANTHAN,,Nagaland,BHANDARI,ST,IND,,271,F,4,1,FALSE,FALSE,3.07,0,0,,,,1
AENL1038,6,0,1987,BENJEI,,Nagaland,TAPI,ST,IND,,1912,M,3,1,FALSE,FALSE,26.43,0,0,,,,1
AENL104,6,0,1987,NEIPHIU RIO,,Nagaland,NORTHERN ANGAMI-II,ST,IND,,1928,M,2,1,FALSE,FALSE,21.93,80,0.91,,,,1
AENL1044,6,0,1987,S.YOKTEN,,Nagaland,MON TOWN,ST,INC,,6492,M,1,1,FALSE,FALSE,62.01,3305,31.57,,,1,1
AENL1046,6,0,1987,L. YANLONG,,Nagaland,MON TOWN,ST,BJP,,790,M,3,1,FALSE,FALSE,7.55,0,0,,,,1
AENL1047,6,0,1987,W. EYUNG,,Nagaland,ABOI,ST,INC,,2868,M,1,1,FALSE,FALSE,43.19,1313,19.77,,,1,1
AENL1048,6,0,1987,KHUMPEI,,Nagaland,ABOI,ST,IND,,1555,M,2,1,FALSE,FALSE,23.42,64,0.96,,,,1
AENL1050,6,0,1987,B. P. HANGHUH KONYAK,,Nagaland,ABOI,ST,IND,,726,M,4,1,FALSE,FALSE,10.93,0,0,,,,1
AENL1056,6,0,1987,PHONGCHEKPHOM,,Nagaland,TAMLU,ST,NPP,,43,M,3,1,FALSE,FALSE,0.65,0,0,,,,1
AENL1058,6,0,1987,HEONGPHOM,,Nagaland,LONGLENG,ST,IND,,2248,M,2,1,FALSE,FALSE,24.96,179,1.99,,,,1
AENL1059,6,0,1987,ZUKCHEM,,Nagaland,LONGLENG,ST,NND,,2069,M,3,1,FALSE,FALSE,22.97,114,1.27,,,,1
AENL1060,6,0,1987,Y. B. ANGAM,,Nagaland,LONGLENG,ST,NPP,,1955,M,4,1,FALSE,FALSE,21.7,0,0,,,,1
AENL1062,6,0,1987,H. CHUBA CHANG,,Nagaland,NOKSEN,ST,IND,,1313,M,2,1,FALSE,FALSE,30.98,532,12.55,,,,1
AENL1063,6,0,1987,S. SAO CHANG,,Nagaland,NOKSEN,ST,NND,,781,M,3,1,FALSE,FALSE,18.43,0,0,,,,1
AENL1068,6,0,1987,K. THRONGLONGSE,,Nagaland,LONGKHIM CHARE,ST,IND,,978,M,5,1,FALSE,FALSE,11.95,887,10.84,,,,1
AENL1069,6,0,1987,C. THRIDONGSE,,Nagaland,LONGKHIM CHARE,ST,IND,,91,M,6,1,FALSE,FALSE,1.11,0,0,,,,1
AENL1070,5,0,1982,KECHINGBA YIMCHUNGER,,Nagaland,TUENSANG SADAR-II,ST,IND,,1138,M,4,2,FALSE,FALSE,17.03,211,3.16,,,,2
