Party,Expanded_Party_Name
BJP,BHARATIYA JANATA PARTY
INC,INDIAN NATIONAL CONGRESS
NDPP,NATIONALIST DEMOCRATIC PROGRESSIVE PARTY
NPF,NAGA PEOPLE'S FRONT
NPP,NAGALAND PEOPLES PARTY
NCP,NATIONALIST CONGRESS PARTY
NPEP,NATIONAL PEOPLE'S PARTY
JD(U),JANATA DAL (UNITED)
NDM,NATIONALIST DEMOCRATIC MOVEMEN
SAP,SAMATA PARTY
NPC,NAGALAND PEOPLES CONFERENCE
DLP,DEMOCRATIC LABOUR PARTY
NND,NAGA NATIONAL DEMOCRATIC PARTY
UDF,UNITED DEMOCRATIC FRONT
NCN,NATIONAL CONVENTION OF NAGALAND
NNO,NAGALAND NATIONALIST ORGANISATION
UFN,UNITED FRONT OF NAGALAND
