pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEOD000008,6,0,1974,SATYASUNDAR MISRA,,Odisha,KHANDAPARA,GEN,IND,,20326,M,1,1,FALSE,FALSE,44.77,3873,8.53,,,1,1
AEOD000100,6,0,1974,JUNAS BILUNG,,Odisha,ROURKELA,GEN,IND,,125,M,9,1,FALSE,FALSE,0.28,0,0,,,,1
AEOD000132,6,0,1974,RAMACHANDRA MISHRA,,Odisha,DASPALLA,GEN,INC,,8346,M,3,1,FALSE,FALSE,24.73,3935,11.66,,,,1
AEOD000134,6,0,1974,ACHYUTANANDA PANDA,,Odisha,RAMCHANDRAPUR,GEN,INC,,10215,M,2,1,FALSE,FALSE,27.24,7620,20.32,,,,1
AEOD10001,5,0,1971,ARUN DEY,,Odisha,BALASORE,GEN,CPI,,4136,M,5,2,FALSE,FALSE,11.35,1480,4.06,,,1,2
AEOD10001,6,0,1974,ARUN DEY,,Odisha,BALASORE,GEN,CPI,CPI,12620,M,1,2,FALSE,FALSE,24.73,692,1.36,,,1,2
AEOD10002,5,0,1971,JAGANNATH JEE,,Odisha,BALASORE,GEN,BJS,,2656,M,6,2,FALSE,FALSE,7.29,2275,6.24,,,,2
AEOD10002,6,0,1974,JAGANNATH JEE,,Odisha,BALASORE,GEN,BJS,BJS,2690,M,6,2,FALSE,FALSE,5.27,1857,3.64,,,,2
AEOD10008,5,0,1971,SITARAM SING,,Odisha,NILGIRI,GEN,IND,,4073,M,5,2,FALSE,FALSE,9.91,3105,7.55,,,,2
AEOD10008,6,0,1974,SITARAM SINGH,,Odisha,NILGIRI,GEN,IND,IND,4283,M,5,2,FALSE,FALSE,8.23,3443,6.62,,,,2
AEOD10009,5,0,1971,HEMENDRA NATH DAS,,Odisha,NILGIRI,GEN,JAC,,968,M,6,2,FALSE,FALSE,2.35,340,0.83,,,,2
AEOD10009,6,0,1974,HEMENDRANATH DAS,,Odisha,NILGIRI,GEN,IND,JAC,5961,M,4,2,FALSE,FALSE,11.45,1678,3.22,,,,2
AEOD10012,5,0,1971,HARA PRASAD MOHAPATRA,,Odisha,SORE,GEN,SWA,,12417,M,2,2,FALSE,FALSE,27.37,3379,7.45,,,,2
AEOD10012,6,0,1974,HARAPRASAD MOHAPATRA,,Odisha,SORO,GEN,SWA,SWA,19900,M,2,2,FALSE,FALSE,37.74,18899,35.84,,,,2
AEOD10027,5,0,1971,BALARAM SAHOO,,Odisha,BHADRAK,GEN,UTC,,11727,M,2,2,FALSE,FALSE,30.09,9242,23.71,,,,2
AEOD10027,6,0,1974,BALARAM SAHOO,,Odisha,BHADRAK,GEN,UTC,UTC,18723,M,2,2,FALSE,FALSE,40.44,17247,37.25,,,,2
AEOD10033,5,0,1971,HRUDANANDA MULLICK,,Odisha,DHAMNAGAR,GEN,UTC,,25682,M,1,2,FALSE,FALSE,50,6461,12.58,,,2,2
AEOD10033,6,0,1974,HRUDANANDA MALLICK,,Odisha,DHAMNAGAR,GEN,UTC,UTC,21795,M,1,2,FALSE,TRUE,42.94,713,1.4,,,2,2
AEOD10038,5,0,1971,GANGADHAR DAS,,Odisha,CHANDBALI,SC,INC,,23305,M,1,2,FALSE,FALSE,54.39,9489,22.14,,,1,2
AEOD10038,6,0,1974,GANGADHAR DAS,,Odisha,CHANDBALI,SC,UTC,INC,19587,M,2,2,TRUE,TRUE,38.74,16483,32.6,,,1,2
AEOD10043,5,0,1971,GHANASAYAM DAS,,Odisha,CHANDBALI,SC,IND,,965,M,6,2,FALSE,FALSE,2.25,0,0,,,,2
AEOD10043,6,0,1974,GHANASYAM DAS,,Odisha,CHANDBALI,SC,IND,IND,3104,M,3,2,FALSE,FALSE,6.14,2696,5.33,,,,2
AEOD10051,5,0,1971,SANATAN DEO,,Odisha,SUKINDA,GEN,UTC,,10370,M,1,2,FALSE,FALSE,34.27,2805,9.27,,,2,2
AEOD10051,6,0,1974,SANATAN DEO,,Odisha,SUKINDA,GEN,INC,UTC,14674,M,1,2,TRUE,TRUE,37.1,6537,16.53,,,2,2
AEOD10052,5,0,1971,ANANDAMANJARI DEVI,,Odisha,SUKINDA,GEN,JAC,,7565,M,2,2,FALSE,FALSE,25,2272,7.51,,,,2
AEOD10052,6,0,1974,ANANDA MANJARI DEVI,,Odisha,SUKINDA,GEN,IND,JAC,8137,F,2,2,FALSE,FALSE,20.57,595,1.5,,,,2
AEOD10072,5,0,1971,PABITRAMOHAN JENA,,Odisha,BINJHARPUR,SC,INC,,19057,M,1,2,FALSE,FALSE,50.51,10291,27.27,,,1,2
AEOD10072,6,0,1974,PABITRA MOHAN JENA,,Odisha,BINJHARPUR,SC,IND,INC,1972,M,3,2,FALSE,TRUE,4.76,284,0.69,,,1,2
AEOD10073,5,0,1971,BIRAJAPRASAD MALLIK,,Odisha,BINJHARPUR,SC,UTC,,8766,M,2,2,FALSE,FALSE,23.23,794,2.1,,,,2
AEOD10073,6,0,1974,BIRAJA PRASAD MALIK,,Odisha,BINJHARPUR,SC,UTC,UTC,17888,M,2,2,FALSE,FALSE,43.17,15916,38.41,,,,2
AEOD10074,5,0,1971,BAISHNAB CHARAN MALLIK,,Odisha,BINJHARPUR,SC,PSP,,7972,M,3,2,FALSE,FALSE,21.13,6922,18.35,,,1,2
AEOD10074,6,0,1974,BAISHMAB CHARAN MALIK,,Odisha,BINJHARPUR,SC,INC,PSP,18507,M,1,2,TRUE,FALSE,44.66,619,1.49,,,1,2
AEOD10077,5,0,1971,PRAFULLA CHANDRA GHADE,,Odisha,JAJPUR WEST,GEN,INC,,15016,M,1,2,FALSE,FALSE,35.35,2910,6.85,,,1,2
AEOD10077,6,0,1974,PRAFULLA CHANDRA GHADAI,,Odisha,KORAI,GEN,INC,INC,17753,M,2,2,FALSE,TRUE,32.97,14047,26.09,,,1,2
AEOD10078,5,0,1971,ASHOK KUMAR DAS,,Odisha,JAJPUR WEST,GEN,SWA,,12106,M,2,2,FALSE,FALSE,28.5,1548,3.64,,,1,2
AEOD10078,6,0,1974,ASHOK KUMAR DAS,,Odisha,KORAI,GEN,UTC,SWA,29129,M,1,2,TRUE,FALSE,54.09,11376,21.13,,,1,2
AEOD10083,5,0,1971,BIPIN BEHARI MOHANTY,,Odisha,JAJPUR WEST,GEN,IND,,554,M,7,2,FALSE,FALSE,1.3,19,0.04,,,,2
AEOD10083,6,0,1974,BIPIN BEHARI MOHANTY,,Odisha,KORAI,GEN,JAC,IND,143,M,7,2,FALSE,FALSE,0.27,0,0,,,,2
AEOD10090,5,0,1971,SARAT KUMAR DEB,,Odisha,AUL,GEN,SWA,,12462,M,1,2,FALSE,FALSE,26.32,3773,7.97,,,2,2
AEOD10090,6,0,1974,SARAT KUMAR DEB,,Odisha,AUL,GEN,SWA,SWA,18535,M,1,2,FALSE,TRUE,34.81,3239,6.08,,,2,2
AEOD10091,5,0,1971,AMAR KUMAR DEO,,Odisha,AUL,GEN,IND,,8689,M,2,2,FALSE,FALSE,18.35,778,1.64,,,,2
AEOD10091,6,0,1974,AMAR KUMAR DEO,,Odisha,AUL,GEN,IND,IND,5196,M,4,2,FALSE,FALSE,9.76,3828,7.19,,,,2
AEOD10093,5,0,1971,ALEKHKA NAYAK,,Odisha,AUL,GEN,PSP,,6996,M,4,2,FALSE,FALSE,14.78,447,0.94,,,,2
AEOD10093,6,0,1974,ALEKHA NAYAK,,Odisha,AUL,GEN,SOP,PSP,12370,M,3,2,TRUE,FALSE,23.23,7174,13.48,,,,2
AEOD10095,5,0,1971,JAGABANDHU MISHRA,,Odisha,AUL,GEN,JAC,,3579,M,6,2,FALSE,FALSE,7.56,2423,5.12,,,,2
AEOD10095,6,0,1974,JAGABANDHU MISHRA,,Odisha,AUL,GEN,JAC,JAC,1368,M,5,2,FALSE,FALSE,2.57,894,1.68,,,,2
AEOD10096,5,0,1971,BANCHHANIDHI DASH,,Odisha,AUL,GEN,IND,,1156,M,7,2,FALSE,FALSE,2.44,0,0,,,,2
AEOD10096,6,0,1974,BANCHHANIDHI DAS,,Odisha,SORO,GEN,CPM,IND,783,M,5,2,FALSE,FALSE,1.48,0,0,,,,2
AEOD10099,5,0,1971,BISWANATHA MALLIK,,Odisha,PATAMUNDAI,SC,PSP,,12503,M,3,2,FALSE,FALSE,28.71,0,0,,,1,2
AEOD10099,6,0,1974,BISWANATH MALLIK,,Odisha,PATAMUNDAI,SC,INC,PSP,29889,M,1,2,TRUE,FALSE,51.58,5386,9.3,,,1,2
AEOD10111,5,0,1971,BEDPRAKASH AGRAWALLA,,Odisha,KENDRAPARA,GEN,UTC,,15483,M,3,2,FALSE,FALSE,30.37,14298,28.04,,,1,2
AEOD10111,6,0,1974,BEDPRAKASH AGARWALLA,,Odisha,KENDRAPARA,GEN,UTC,UTC,27416,M,1,2,FALSE,FALSE,48.42,2256,3.98,,,1,2
AEOD10130,5,0,1971,BASUDEB MOHAPATRA,,Odisha,BALIKUDA,GEN,INC,,12907,M,1,2,FALSE,FALSE,28.4,3935,8.66,,,2,2
