Party,Expanded_Party_Name
BJD,BIJU JANATA DAL
BJP,BHARATIYA JANATA PARTY
INC,INDIAN NATIONAL CONGRESS
CPI,COMMUNIST PARTY OF INDIA
JMM,JHARKHAND MUKTI MORCHA
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
AITC,ALL INDIA TRINAMOOL CONGRESS
NCP,NATIONALIST CONGRESS PARTY
SKD,SAMATA KRANTI DAL
JKP,ALL INDIA JHARKHAND PARTY
JD(S),JANATA DAL (SECULAR)
OGP,ORISSA GANA PARISHAD
JD,JANATA DAL
JPP,JHARKHAND PEOPLE'S PARTY
SSP,SANGHATA SOCIALIST PARTY
JNP(JP),JANATA PARTY (JP)
JKD,JHARKHAND PARTY
JNP,JANTA PARTY
JNP(SC),JANATA PARTY (SECULAR) - CH. CHARAN SINGH
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
SWA,SWATANTRA PARTY
UTC,UTKAL CONGRESS
JAC,JAN CONGRESS
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
PSP,PRAJA SOCIALIST PARTY
