Party,Expanded_Party_Name
AAAP,AAM AADMI PARTY
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
INC,INDIAN NATIONAL CONGRESS
LIP,LOK INSAAF PARTY
SAD,SHIROMANI AKALI DAL
SAD(M),SHIROMANI AKALI DAL (AMRITSAR)(SIMRANJIT SINGH MANN)
RPI,REPUBLIC PARTY OF INDIA
JD,JANATA DAL
UCPI,UNITED COMMUNIST PARTY OF INDIA
IPF,INDIAN PEOPLES FRONT
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
BJS,BHARATIYA JAN SANGH
SWA,SWATANTRA
PJP,PUNJAB JANTA PARTY
PSP,PRAJA SOCIALIST PARTY
SSP,SAMYUKTA SOCIALIST PARTY
ADM,AKALI DAL MASTER TARA SINGH GROUP
ADS,AKALI DAS SANT FATEH SINGH GROUP
AD,AKALI DAL
HLS,HARIYANA LOK SAMITI
JS,JAN SANGH
SOC,SOCIALIST
