pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEPY81712,11,0,2006,S. ARUNACHALAM,GEN,Puducherry,LAWSPET,GEN,DMDK,,1624,M,4,1,FALSE,FALSE,3.9,1385,3.32,35,,,1
AEPY81733,10,0,2001,LAKSHMINARAYANAN .K.,,Puducherry,CASSICADE,GEN,PMC,,4875,M,1,2,FALSE,FALSE,51.52,1778,18.79,,,2,2
AEPY81733,11,0,2006,K. LAKSHMINARAYANAN,GEN,Puducherry,CASSICADE,GEN,PMC,PMC,4942,M,1,2,TRUE,TRUE,49.05,216,2.14,45,,2,2
AEPY81745,9,1,1999,Annibal Kennedy,,Puducherry,BUSSY,GEN,DMK,,,M,2,3,FALSE,FALSE,,,,,,1,3
AEPY81745,10,0,2001,ANNIBAL KENNEDY,,Puducherry,BUSSY,GEN,DMK,DMK,3087,M,1,3,FALSE,FALSE,63.77,2183,45.09,,,1,3
AEPY81745,11,0,2006,ANNIBAL KENNEDY,GEN,Puducherry,BUSSY,GEN,DMK,DMK,1952,M,2,3,FALSE,TRUE,43.6,1902,42.48,41,,1,3
AEPY81802,11,0,2006,T. DJEAMOURTHY.,GEN,Puducherry,ARIANKUPPAM,GEN,PMC,,11512,M,2,1,FALSE,FALSE,44.5,11027,42.63,46,,,1
AEPY81917,11,0,2006,MANCHALA SATYA SAI KUMAR,GEN,Puducherry,YANAM,GEN,ADMK,,114,M,4,1,FALSE,FALSE,0.63,27,0.15,40,,,1
AEPY81944,11,0,2006,A. SELVALATCHOUMY,SC,Puducherry,VILLENOUR,GEN,IND,,196,F,5,1,FALSE,FALSE,0.81,69,0.29,29,,,1
AEPY81996,11,0,2006,M. PAVADAI @ RAJA,GEN,Puducherry,MUTHIALPET,GEN,BSP,,47,M,8,1,FALSE,FALSE,0.24,10,0.05,27,,,1
AEPY82007,9,0,1996,M.O.H.F. SHAJAHAN,,Puducherry,LAWSPET,GEN,INC,,10211,M,2,3,FALSE,FALSE,33.78,7615,25.19,,,2,3
AEPY82007,10,0,2001,SHAJAHAN .M.O.H.F.,,Puducherry,LAWSPET,GEN,INC,INC,12929,M,1,3,FALSE,FALSE,38.51,1967,5.86,,,2,3
AEPY82007,11,0,2006,M.O.H.F. SHAHJAHAN,GEN,Puducherry,LAWSPET,GEN,INC,INC,17944,M,1,3,FALSE,TRUE,43.06,6958,16.7,42,,2,3
AEPY82015,11,0,2006,NANDHA T. SARAVANAN,GEN,Puducherry,MUTHIALPET,GEN,DMK,,11658,M,1,1,FALSE,FALSE,58.54,4879,24.5,36,,1,1
AEPY82016,6,0,1985,A. KASILINGAM,,Puducherry,MUTHIALPET,GEN,ADK,,6281,M,2,3,FALSE,FALSE,43.32,6022,41.53,,,1,3
AEPY82016,10,0,2001,KASILINGAM .A.,,Puducherry,MUTHIALPET,GEN,ADMK,ADK,6857,M,1,3,FALSE,FALSE,38.02,1910,10.59,,,1,3
AEPY82016,11,0,2006,A. KASILINGAM,GEN,Puducherry,MUTHIALPET,GEN,ADMK,ADMK,6779,M,2,3,FALSE,TRUE,34.04,6097,30.61,75,,1,3
AEPY82036,11,0,2006,G. NEHRU @ KUPPUSAMY,GEN,Puducherry,ORLEAMPETH,GEN,IND,,6549,M,2,1,FALSE,FALSE,40.54,5839,36.15,42,,,1
AEPY82045,6,0,1985,R.V.JANAKIRAMAN,,Puducherry,NELLITHOPE,GEN,DMK,,5526,M,1,6,FALSE,FALSE,51.78,1036,9.71,,,5,6
AEPY82045,7,0,1990,R. V. JANKIRAMAN,,Puducherry,NELLITHOPE,GEN,DMK,DMK,6601,M,1,6,FALSE,TRUE,41.58,530,3.34,,,5,6
AEPY82045,8,0,1991,R. V. JANAKIRAMAN,,Puducherry,NELLITHOPE,GEN,DMK,DMK,7067,M,1,6,FALSE,TRUE,49.05,79,0.55,,,5,6
AEPY82045,9,0,1996,R.V. JANAKIRAMAN,,Puducherry,NELLITHOPE,GEN,DMK,DMK,8803,M,1,6,FALSE,TRUE,52.31,1449,8.61,,,5,6
AEPY82045,10,0,2001,R.V. JANAKIRAMAN,,Puducherry,NELLITHOPE,GEN,DMK,DMK,7780,M,1,6,FALSE,TRUE,51.42,1941,12.83,,,5,6
AEPY82045,11,0,2006,R.V. JANAKIRAMAN,GEN,Puducherry,NELLITHOPE,GEN,DMK,DMK,8490,M,2,6,FALSE,TRUE,44.18,8173,42.53,65,,5,6
AEPY82096,8,0,1991,A. M. H. NAZEEM,,Puducherry,KARAIKAL,GEN,DMK,,6809,M,1,4,FALSE,FALSE,59.31,2420,21.08,,,4,4
AEPY82096,9,0,1996,A.M.H. NAZEEM,,Puducherry,KARAIKAL,GEN,DMK,DMK,9474,M,1,4,FALSE,TRUE,71.01,6528,48.93,,,4,4
AEPY82096,10,0,2001,A.M.H. NAZEEM,,Puducherry,KARAIKAL,GEN,DMK,DMK,6273,M,1,4,FALSE,TRUE,46.92,2304,17.23,,,4,4
AEPY82096,11,0,2006,A.M.H. NAZEEM,GEN,Puducherry,KARAIKAL,GEN,DMK,DMK,5742,M,1,4,FALSE,TRUE,45.2,191,1.5,44,,4,4
AEPY82102,8,0,1991,V. M. C. V. GANAPATHY,,Puducherry,NERAVY-GRAND ALDEE,GEN,ADK,,6384,M,1,3,FALSE,FALSE,49.67,239,1.86,,,1,3
AEPY82102,10,0,2001,V.M.C.V. GANAPATHY,,Puducherry,NERAVY-GRAND ALDEE,GEN,TMC(M),ADK,3741,M,2,3,TRUE,FALSE,26.33,534,3.76,,,1,3
AEPY82102,11,0,2006,V.M.C.V. GANAPATHY,GEN,Puducherry,NERAVY-GRAND ALDEE,GEN,IND,TMC(M),4762,M,2,3,FALSE,FALSE,30.24,1797,11.41,46,,1,3
AEPY82107,11,0,2006,T.K. GANGADHARAN,GEN,Puducherry,PALLOOR,GEN,CPM,,4512,M,2,1,FALSE,FALSE,40.22,3887,34.65,59,,,1
AEPY82122,11,0,2006,K. MULLAI,GEN,Puducherry,MUTHIALPET,GEN,DMDK,,504,F,4,1,FALSE,FALSE,2.53,427,2.14,35,,,1
AEPY82124,11,0,2006,P. SARAVANAN,GEN,Puducherry,MUTHIALPET,GEN,IND,,74,M,6,1,FALSE,FALSE,0.37,16,0.08,31,,,1
AEPY82125,11,0,2006,K. KANNAN,GEN,Puducherry,MUTHIALPET,GEN,IND,,58,M,7,1,FALSE,FALSE,0.29,11,0.06,28,,,1
AEPY82127,11,0,2006,U. KASINATHAN,GEN,Puducherry,MUTHIALPET,GEN,IND,,37,M,9,1,FALSE,FALSE,0.19,0,0,59,,,1
