Party,Expanded_Party_Name
ADMK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
AINRC,ALL INDIA N.R. CONGRESS
BJP,BHARATIYA JANATA PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
DMK,DRAVIDA MUNNETRA KAZHAGAM
INC,INDIAN NATIONAL CONGRESS
MDMK,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM
PMK,PATTALI MAKKAL KATCHI
PMC,PUDHUCHERRY MAKKAL CONGRESS
TMC(M),TAMIL MAANILA CONGRESS (MOOPANAR)
JD,JANATA DAL
ADK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
CONG,CONGRESS
PF,PEOPLES FRONT
