pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AERJ1,3,0,1962,HAJARI LAL,,Rajasthan,PILANI,GEN,IND,,18249,M,1,2,FALSE,FALSE,48.64,7970,21.24,,,1,2
AERJ1,4,0,1967,H. LAL,,Rajasthan,PILANI,GEN,INC,IND,17277,M,2,2,FALSE,TRUE,39.44,14802,33.79,,,1,2
AERJ1000,4,0,1967,L. RAM,,Rajasthan,CHURU,GEN,IND,,316,M,7,1,FALSE,FALSE,0.79,42,0.11,,,,1
AERJ1001,4,0,1967,M. LAL,,Rajasthan,CHURU,GEN,IND,,274,M,8,1,FALSE,FALSE,0.69,8,0.02,,,,1
AERJ1002,4,0,1967,A. SINGH,,Rajasthan,CHURU,GEN,IND,,266,M,9,1,FALSE,FALSE,0.67,15,0.04,,,,1
AERJ1003,4,0,1967,S. RAM,,Rajasthan,SADULPUR,GEN,INC,,18385,M,1,1,FALSE,FALSE,39.98,7765,16.89,,,1,1
AERJ100331,4,0,1967,G. SAHAI,,Rajasthan,GANGAPUR,GEN,BJS,,9825,M,2,1,FALSE,FALSE,28.53,4570,13.27,,,,1
AERJ100384,4,0,1967,BHIMA,,Rajasthan,KUSHALGARH,ST,IND,,974,M,3,1,FALSE,FALSE,2.2,0,0,,,,1
AERJ100389,3,0,1962,SUMITRA,,Rajasthan,JHUNJHUNU,GEN,INC,,17643,F,1,2,FALSE,FALSE,50.33,4296,12.26,,,2,2
AERJ100389,4,0,1967,SUMITRA,,Rajasthan,JHUNJHUNU,GEN,INC,INC,20465,F,1,2,FALSE,TRUE,48.84,6950,16.59,,,2,2
AERJ100390,4,0,1967,D. LAL,,Rajasthan,HAWAMAHAL,GEN,IND,,24457,M,1,1,FALSE,FALSE,74.41,18907,57.53,,,1,1
AERJ100391,4,0,1967,R.S. SHARMA,,Rajasthan,GANDHINAGAR,GEN,IND,,218,M,5,1,FALSE,FALSE,0.63,9,0.03,,,,1
AERJ100392,4,0,1967,S. SHARMA,,Rajasthan,GANDHINAGAR,GEN,IND,,122,F,9,1,FALSE,FALSE,0.35,0,0,,,,1
AERJ100393,4,0,1967,GOPAL,,Rajasthan,RAMGARH,GEN,IND,,2531,M,5,1,FALSE,FALSE,6.42,306,0.78,,,,1
AERJ100394,4,0,1967,D. SINGH,,Rajasthan,PUSHKAR,GEN,IND,,5818,M,3,1,FALSE,FALSE,15.48,5267,14.01,,,,1
AERJ100395,4,0,1967,V. SINGH,,Rajasthan,NASIRABAD,GEN,SWA,,20427,M,1,1,FALSE,FALSE,61.09,8653,25.88,,,1,1
AERJ100396,4,0,1967,H. SAHAI,,Rajasthan,KISHANGANJ,ST,IND,,1102,M,4,1,FALSE,FALSE,4.18,699,2.65,,,,1
AERJ100397,4,0,1967,M. L. SUKHADIA,,Rajasthan,UDAIPUR,GEN,INC,,24272,M,1,1,FALSE,FALSE,52.34,3431,7.4,,,1,1
