Party,Expanded_Party_Name
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
BTP,BHARTIYA TRIBAL PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENT
JD(U),JANATA DAL (UNITED)
NUZP,NATIONAL UNIONIST ZAMINDARA PARTY
RLD,RASHTRIYA LOK DAL
RaLtP,RASHTRIYA LOKTANTRIK PARTY
SP,SAMAJWADI PARTY
NPEP,NATIONAL PEOPLES PARTY
INLD,INDIAN NATIONAL LOK DAL
LSWP,LOKTANTRIK SAMAJWADI PARTY
LJNSP,LOK JAN SHAKTI PARTY
RJD,RASHTRIYA JANATA DAL
RSNM,RAJASTHAN SAMAJIK NYAYA MANCH
JD,JANATA DAL
BJS,AKHIL BHARATIYA JANA SANGH
LKD,LOK DAL
SSP,SANGHATA SOCIALIST PARTY
JNP(JP),JANATA PARTY (JP)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
JNP(SC),JANATA PARTY (SECULAR) - CH. CHARAN SINGH
RRP,AKHIL BHARATIYA RAMRAJYA PARISHAD
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SWA,SWATANTRA
PSP,PRAJA SOCIALIST PARTY
JS,JAN SANGH
SOC,SOCIALIST
