pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AESK100017,3,0,1989,DHAN LALL LAMBOO,,Sikkim,BARMIOK,GEN,IND,,21,M,5,1,FALSE,FALSE,0.55,0,0,,,,1
AESK100022,1,0,1979,ATHUP LEPCHA,,Sikkim,DJONGU,ST,SJP,,865,M,1,3,FALSE,FALSE,45.79,362,19.16,,,1,3
AESK100022,2,0,1985,ATHUP LEPCHA,,Sikkim,DJONGU,ST,INC,SJP,765,M,2,3,TRUE,TRUE,32.72,719,30.75,,,1,3
AESK100022,3,0,1989,ATHUP LEPCHA,,Sikkim,DJONGU BL,GEN,INC,INC,810,M,2,3,FALSE,FALSE,25.47,762,23.96,,,1,3
AESK100025,3,0,1989,BIRKHAMAN RAMUDAMU,,Sikkim,KHAMDONG,SC,SSP,,3330,M,1,1,FALSE,FALSE,71.26,2357,50.44,,,1,1
AESK32947,2,0,1985,BISHNU KUMAR RAI,,Sikkim,TEMI-TARKU,GEN,IND,,128,M,4,2,FALSE,FALSE,4.36,31,1.06,,,,2
AESK32947,3,0,1989,BISHNU KUMAR RAI,,Sikkim,MELLI,GEN,IND,IND,178,M,4,2,FALSE,FALSE,3.96,0,0,,,,2
AESK83053,1,0,1979,DOJEE DAZOM BHUTIA,,Sikkim,WAK,GEN,IND,,14,M,9,2,FALSE,FALSE,0.95,5,0.34,,,,2
AESK83053,3,0,1989,DORJEE DOZOM BHUTIA,,Sikkim,RALONG BL,GEN,INC,IND,291,M,2,2,FALSE,FALSE,9,250,7.73,,,,2
AESK83114,2,0,1985,PHUCHUNG BHUTIA,,Sikkim,RAKDONG TENTEK,ST,SSP,,1829,M,1,2,FALSE,FALSE,62.53,1263,43.18,,,2,2
AESK83114,3,0,1989,PHUCHUNG BHUTIA,,Sikkim,RAKDONG TENTEK BL,GEN,SSP,SSP,2650,M,1,2,FALSE,TRUE,65.74,1420,35.23,,,2,2
AESK83153,3,0,1989,TSHERING LAMA,,Sikkim,SANGHA,GEN,DPC,,2,M,6,1,FALSE,FALSE,0.14,0,0,,,,1
AESK83171,2,0,1985,MAN BAHADUR DAHAL,,Sikkim,GEYZING,GEN,SSP,,1702,M,1,2,FALSE,FALSE,54.99,1013,32.73,,,2,2
AESK83171,3,0,1989,MAN BAHADUR DAHAL,,Sikkim,GEYZING,GEN,SSP,SSP,3175,M,1,2,FALSE,TRUE,72.41,2243,51.15,,,2,2
AESK83199,2,0,1985,PAWAN KUMAR CHAMLING,,Sikkim,DAMTHANG,GEN,SSP,,2281,M,1,2,FALSE,FALSE,73.79,1762,57,,,2,2
AESK83199,3,0,1989,PAWAN KUMAR CHAMLING,,Sikkim,DAMTHANG,GEN,SSP,SSP,4227,M,1,2,FALSE,TRUE,94.27,3970,88.54,,,2,2
AESK83373,1,0,1979,KHARANANDA UPRETI,,Sikkim,RHENOCK,GEN,SCR,,504,M,1,3,FALSE,FALSE,23.06,146,6.68,,,3,3
AESK83373,2,0,1985,K. N. UPRETTI,,Sikkim,RHENOCK,GEN,SSP,SCR,1809,M,1,3,TRUE,TRUE,59.74,1100,36.33,,,3,3
AESK83373,3,0,1989,KHARANANDA UPRETY,,Sikkim,RHENOCK,GEN,SSP,SSP,2295,M,1,3,FALSE,TRUE,60.27,1024,26.89,,,3,3
AESK83387,2,0,1985,SONAM CHODA LEPCHA,,Sikkim,DJONGU,ST,SSP,,1469,M,1,2,FALSE,FALSE,62.83,704,30.11,,,2,2
AESK83387,3,0,1989,SONAM CHHYODA LEPCHA,,Sikkim,DJONGU BL,GEN,SSP,SSP,2322,M,1,2,FALSE,TRUE,73.02,1512,47.55,,,2,2
AESK83434,2,0,1985,TARAMAN RAI,,Sikkim,CHAKUNG,GEN,SSP,,1944,M,1,2,FALSE,FALSE,57.18,669,19.68,,,2,2
AESK83434,3,0,1989,TARA MAN RAI,,Sikkim,CHAKUNG,GEN,SSP,SSP,3804,M,1,2,FALSE,TRUE,83.27,3254,71.23,,,2,2
AESK83442,2,0,1985,BHIM RAJ RAI,,Sikkim,JORTHANG-NAYABAZAR,GEN,SSP,,2648,M,1,2,FALSE,FALSE,68.89,2075,53.98,,,2,2
AESK83442,3,0,1989,BHIM RAJ RAI,,Sikkim,JORTHANG-NAYABAZAR,GEN,SSP,SSP,4023,M,1,2,FALSE,TRUE,76.11,2961,56.02,,,2,2
AESK83455,2,0,1985,GRISH CHANDRA RAI,,Sikkim,MELLI,GEN,INC,,814,M,2,2,FALSE,FALSE,23.43,625,17.99,,,,2
AESK83455,3,0,1989,GIRISH CHANDRA RAI,,Sikkim,MELLI,GEN,IND,INC,627,M,2,2,FALSE,FALSE,13.96,340,7.57,,,,2
AESK83458,2,0,1985,CHANDRA KUMAR MIHORA,,Sikkim,RATEYPANI - WEST PENDAM,SC,SSP,,2373,M,1,2,FALSE,FALSE,68.45,1789,51.6,,,2,2
AESK83458,3,0,1989,CHANDRA KUMAR MOHORA,,Sikkim,RATEYPANI - WEST PENDAM,SC,SSP,SSP,3401,M,1,2,FALSE,TRUE,75.21,2798,61.88,,,2,2
AESK83475,1,0,1979,RAM LEPCHA,,Sikkim,PATHING,ST,SCR,,713,M,1,3,FALSE,FALSE,30.65,188,8.08,,,3,3
AESK83475,2,0,1985,RAM LEPCHA,,Sikkim,PATHING,ST,SSP,SCR,2407,M,1,3,TRUE,TRUE,72.72,1567,47.34,,,3,3
AESK83475,3,0,1989,RAM LEPCHA,,Sikkim,PATHING BL,GEN,SSP,SSP,3225,M,1,3,FALSE,TRUE,68.75,1865,39.76,,,3,3
AESK83496,3,0,1989,DAWA LHAMU,,Sikkim,RAKDONG TENTEK BL,GEN,INC,,151,F,3,1,FALSE,FALSE,3.75,0,0,,,,1
AESK83505,2,0,1985,SONAM DAPDEN LEPCHA,,Sikkim,ASSAM-LINGJEY,ST,SSP,,1341,M,1,2,FALSE,FALSE,55.88,517,21.54,,,2,2
AESK83505,3,0,1989,SONAM DUPDEN LEPCHA,,Sikkim,ASSAM-LINGJEY BL,GEN,SSP,SSP,2359,M,1,2,FALSE,TRUE,61.72,1175,30.74,,,2,2
AESK83528,3,0,1989,TSHERING WONGDI BHUTIA,,Sikkim,TASHIDING BL,GEN,RIS,,52,M,3,1,FALSE,FALSE,1.43,0,0,,,,1
AESK83536,1,0,1979,PADAM LAL GURUNG,,Sikkim,DENTAM,GEN,SCR,,949,M,1,3,FALSE,FALSE,43.23,570,25.97,,,3,3
AESK83536,2,0,1985,PADAM LALL GURUNG,,Sikkim,DENTAM,GEN,SSP,SCR,2355,M,1,3,TRUE,TRUE,77.19,1840,60.31,,,3,3
AESK83536,3,0,1989,PADAM LALL GURUNG,,Sikkim,DENTAM,GEN,SSP,SSP,3102,M,1,3,FALSE,TRUE,74.14,2536,60.61,,,3,3
AESK83554,1,0,1979,NAR BAHADUR BHANDARI,,Sikkim,SOREONG,GEN,SJP,,1833,M,1,3,FALSE,FALSE,70.26,1458,55.88,,,3,3
AESK83554,2,0,1985,NAR BAHADUR BHANDARI,,Sikkim,SOREONG,GEN,SSP,SJP,2964,M,1,3,TRUE,TRUE,80.48,2331,63.29,,,3,3
AESK83554,3,0,1989,NAR BAHADUR BHANDARI,,Sikkim,SOREONG,GEN,SSP,SSP,4712,M,1,3,FALSE,TRUE,91.53,4312,83.76,,,3,3
AESK83577,1,0,1979,SURAJ KUMAR KHARTAM,,Sikkim,WAK,GEN,INC,,47,M,6,2,FALSE,FALSE,3.21,18,1.23,,,,2
AESK83577,3,0,1989,SURAJ KUMAR KHARTAN,,Sikkim,DAMTHANG,GEN,INC,INC,257,M,2,2,FALSE,FALSE,5.73,0,0,,,,2
AESK83597,1,0,1979,NAR BAHADUR KHATIWADA,,Sikkim,TEMI-TARKU,GEN,SPC,,762,M,1,3,FALSE,FALSE,37.67,307,15.18,,,1,3
AESK83597,2,0,1985,NAR BAHADUR KHATIWARA,,Sikkim,TEMI-TARKU,GEN,SPC,SPC,232,M,3,3,FALSE,TRUE,7.91,104,3.55,,,1,3
AESK83597,3,0,1989,NAR BAHADUR KHATIWARA,,Sikkim,TEMI-TARKU,GEN,INC,SPC,183,M,3,3,TRUE,FALSE,4.45,48,1.17,,,1,3
AESK83604,3,0,1989,YOGANIDHI BHANDARI,,Sikkim,CENTRAL PENDAM-EAST PENDAM,GEN,RIS,,1817,M,2,1,FALSE,FALSE,33.75,1419,26.36,,,,1
AESK83615,3,0,1989,TULSHIRAM SHARMA,,Sikkim,REGU,GEN,IND,,40,M,4,1,FALSE,FALSE,0.93,16,0.37,,,,1
AESK83621,1,0,1979,SANGEY DORJEE BHUTIA,,Sikkim,PATHING,ST,JNP,,358,M,3,3,FALSE,FALSE,15.39,155,6.66,,,,3
AESK83621,2,0,1985,SANGAY DORJEE BHUTIA,,Sikkim,PATHING,ST,INC,JNP,840,M,2,3,TRUE,FALSE,25.38,807,24.38,,,,3
AESK83621,3,0,1989,SANGEY DORJEE,,Sikkim,PATHING BL,GEN,INC,INC,1360,M,2,3,FALSE,FALSE,28.99,1254,26.73,,,,3
AESK83629,3,0,1989,RAM CHANDRA POUDYAL,,Sikkim,BARMIOK,GEN,RIS,,1001,M,2,2,FALSE,FALSE,26.42,918,24.23,,,,1
AESK83629,3,0,1989,RAM CHANDRA POUDYAL,,Sikkim,LOOSING PACHEKHANI,GEN,RIS,RIS,1566,M,2,2,FALSE,FALSE,44.03,1434,40.31,,,,1
AESK83638,3,0,1989,MAN BAHADUR BAGDAS,,Sikkim,KHAMDONG,SC,IND,,49,M,4,1,FALSE,FALSE,1.05,1,0.02,,,,1
AESK83667,3,0,1989,O. T. BHUTIA,,Sikkim,RUMTEK BL,GEN,SSP,,3126,M,1,1,FALSE,FALSE,65.29,1749,36.53,,,1,1
AESK83674,1,0,1979,SHERAB PALDEN,,Sikkim,ASSAM LINGJEY,ST,SJP,,1120,M,1,3,FALSE,FALSE,63.82,715,40.74,,,1,3
AESK83674,2,0,1985,SHERAB PALDEN,,Sikkim,ASSAM-LINGJEY,ST,INC,SJP,824,M,2,3,TRUE,TRUE,34.33,652,27.17,,,1,3
AESK83674,3,0,1989,SHERAB PALDEN,,Sikkim,ASSAM-LINGJEY BL,GEN,INC,INC,1184,M,2,3,FALSE,FALSE,30.98,905,23.68,,,1,3
