Party,Expanded_Party_Name
ADMK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
AMMK,Amma Makkal Munnettra Kazagam
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
DMDK,DESIYA MURPOKKU DRAVIDA KAZHAGAM
DMK,DRAVIDA MUMMETRA KAZHAGAM
INC,INDIAN NATIONAL CONGRESS
IUML,INDIAN UNION MUSLIM LEAGUE
MNM,Makkal Needhi Maiam
NTK,Naam Tamilar Katchi
PMK,PATTALI MAKKAL KATCHI
VCK,VIDUTHALAI CHIRUTHAIGAL KATCH
AIFB,ALL INDIA FORWARD BLOC
MAMAK,MANITHANEYA MAKKAL KATCHI
MDMK,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM
PT,PUTHIYA TAMILAGAM
TMC(M),TAMIL MAANILA CONGRESS (MOOPANAR)
TMK,TAMILAR MAKKAL KATCHI
JP,JANATA PARTY
FBL,ALL INDIA FORWARD BLOC
MADMK,M.G.R.ANNA D.M.KAZHAGAM
MUL,INDIAN UNION MUSLIM LEAGUE
JD,JANATA DAL
ADK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
ICS(SCS),INDIAN CONGRESS (SOCIALIST - SARAT CHANDRA SINHA
ADK(JL),ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM(JAYALALITA GROUP)
ADK(JR),ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM(JANAKI RAMACHANDRAN)
JNP,JANATA PARTY
AKD,AMBEDKAR KRANTI DAL
GKC,GANDHI KAMARAJ NATIONAL CONGRESS
INC(I),INDIAN NATIONAL CONGRESS (I)
JNP(JP),JANATA PARTY (JP)
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
PSP,PRAJA SOCIALIST PARTY
SWA,SWATANTRA PARTY
