pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMD272426,3,0,1962,M. MAYANDI NADAR,,Madras,WASHERMANPET,,INC,,25732,M,1,1,FALSE,FALSE,37.77,1637,2.4,,,1,1
AEMD272428,3,0,1962,P. JEEVANANDAM,,Madras,WASHERMANPET,,CPI,,10049,M,3,1,FALSE,FALSE,14.75,1799,2.64,,,,1
AEMD272429,3,0,1962,P. M. LINGESAN,,Madras,WASHERMANPET,,SWA,,8250,M,4,1,FALSE,FALSE,12.11,0,0,,,,1
AEMD272430,3,0,1962,K. S. G. HAJA SHARIFF,,Madras,HARBOUR,,INC,,26330,M,1,1,FALSE,FALSE,49.87,3232,6.12,,,1,1
AEMD272431,3,0,1962,C. P. CHINNARAJ ALIAS C. P. CHITTRARASU,,Madras,HARBOUR,,DMK,,23098,M,2,1,FALSE,FALSE,43.74,19724,37.35,,,,1
AEMD272432,3,0,1962,B. KRISHNAMURTHY,,Madras,HARBOUR,,SWA,,3374,M,3,1,FALSE,FALSE,6.39,0,0,,,,1
AEMD272433,3,0,1962,T. N. ANANTHANAYAKI,,Madras,BASIN BRIDGE,,INC,,31477,F,1,1,FALSE,FALSE,50.63,5564,8.95,,,1,1
AEMD272434,3,0,1962,N. V. NATARAJAN,,Madras,BASIN BRIDGE,,DMK,,25913,M,2,1,FALSE,FALSE,41.68,22359,35.97,,,,1
AEMD272435,3,0,1962,V. S. KANNAN,,Madras,BASIN BRIDGE,,SWA,,3554,M,3,1,FALSE,FALSE,5.72,2333,3.75,,,,1
AEMD272436,3,0,1962,T. KANNAN,,Madras,BASIN BRIDGE,,IND,,1221,M,4,1,FALSE,FALSE,1.96,0,0,,,,1
AEMD272438,3,0,1962,SATHAVAHI MUTU,,Madras,PERAMBUR (SC),,DMK,,32309,M,2,1,FALSE,FALSE,43.51,30815,41.5,,,,1
AEMD272439,3,0,1962,S. DHANAPAL,,Madras,PERAMBUR (SC),,JS,,1494,M,3,1,FALSE,FALSE,2.01,0,0,,,,1
AEMD272440,3,0,1962,BASHYAM REDDY,,Madras,PURASAWALKAM,,INC,,27474,M,1,1,FALSE,FALSE,42.04,8761,13.41,,,1,1
AEMD272441,3,0,1962,PAKKIRISAMI PILLAI,,Madras,PURASAWALKAM,,SL,,18713,M,2,1,FALSE,FALSE,28.64,1147,1.76,,,,1
AEMD272442,3,0,1962,S. GOVINDASAMI,,Madras,PURASAWALKAM,,IND,,17566,M,3,1,FALSE,FALSE,26.88,15971,24.44,,,,1
AEMD272443,3,0,1962,P. C. KALAYANASUNDARAM,,Madras,PURASAWALKAM,,JS,,1595,M,4,1,FALSE,FALSE,2.44,0,0,,,,1
AEMD272445,3,0,1962,INDRANI CHANGALVARAYAN,,Madras,THOUSAND LIGHTS,,INC,,25609,M,2,1,FALSE,FALSE,41.72,20837,33.95,,,,1
AEMD272446,3,0,1962,SAMBANDAM,,Madras,THOUSAND LIGHTS,,TNP,,4772,M,3,1,FALSE,FALSE,7.78,1761,2.87,,,,1
AEMD272447,3,0,1962,C. M. BASLUSAMY,,Madras,THOUSAND LIGHTS,,SWA,,3011,M,4,1,FALSE,FALSE,4.91,0,0,,,,1
AEMD272448,3,0,1962,JOTHI VENKATACHALAM,,Madras,EGMORE,,INC,,29283,F,1,1,FALSE,FALSE,48.25,1617,2.66,,,1,1
AEMD272449,3,0,1962,ANBAZHAGAN,,Madras,EGMORE,,DMK,,27666,M,2,1,FALSE,FALSE,45.58,25515,42.04,,,,1
AEMD272450,3,0,1962,K. NARAYANASWAMY MUDALIAR,,Madras,EGMORE,,SWA,,2151,M,3,1,FALSE,FALSE,3.54,555,0.91,,,,1
AEMD272451,3,0,1962,K. ARYASANKAREN,,Madras,EGMORE,,IND,,1596,M,4,1,FALSE,FALSE,2.63,0,0,,,,1
AEMD272452,3,0,1962,V. R. NEDUNCHEZHIAN,,Madras,TRIPLICANE,,DMK,,33273,M,1,1,FALSE,FALSE,51.29,10370,15.99,,,1,1
AEMD272453,3,0,1962,SIVANESAN,,Madras,TRIPLICANE,,INC,,22903,M,2,1,FALSE,FALSE,35.31,15485,23.87,,,,1
AEMD272454,3,0,1962,N. S. VARADACHARY,,Madras,TRIPLICANE,,SWA,,7418,M,3,1,FALSE,FALSE,11.44,6142,9.47,,,,1
