pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AETR1001,5,0,1988,DEBABRATA KOLOY,,Tripura,AMARPUR,ST,IND,,8792,M,2,1,FALSE,FALSE,44.12,8540,42.86,,,,1
AETR1005,5,0,1988,NARAYAN PAUL,,Tripura,KARBOOK,GEN,IND,,286,M,3,1,FALSE,FALSE,1.29,0,0,,,,1
AETR1007,5,0,1988,RAM KUMAR DEBBARMA,,Tripura,RAIMA VALLEY,ST,CPM,,10225,M,2,1,FALSE,FALSE,49.01,0,0,,,,1
AETR1009,5,0,1988,SAROJ KUMAR CHAKRABORTY,,Tripura,KAMALPUR,GEN,INC,,7063,M,2,1,FALSE,FALSE,46.57,7008,46.21,,,,1
AETR1010,5,0,1988,SARADA DEB,,Tripura,KAMALPUR,GEN,IND,,55,M,3,1,FALSE,FALSE,0.36,27,0.18,,,,1
AETR1011,5,0,1988,NIBARAN DEB NATH,,Tripura,KAMALPUR,GEN,IND,,28,M,4,1,FALSE,FALSE,0.18,0,0,,,,1
AETR1014,5,0,1988,SUSHIL CHANDRA MALAKAR,,Tripura,SURMA,SC,IND,,415,M,3,1,FALSE,FALSE,2.36,369,2.1,,,,1
AETR1015,5,0,1988,ATUL DAS,,Tripura,SURMA,SC,IND,,46,M,4,1,FALSE,FALSE,0.26,0,0,,,,1
AETR1017,5,0,1988,MANGAL PRASHAD DEB BARMA,,Tripura,AMBASSA,ST,TUS,,8428,M,2,1,FALSE,FALSE,46.19,7699,42.2,,,,1
AETR1018,5,0,1988,PARIMAL CHOUDHURY,,Tripura,AMBASSA,ST,IND,,729,M,3,1,FALSE,FALSE,4,688,3.77,,,,1
AETR1019,5,0,1988,GOPAL BHUSAN CHAKMA,,Tripura,AMBASSA,ST,IND,,41,M,4,1,FALSE,FALSE,0.22,0,0,,,,1
AETR1021,5,0,1988,SUBINDRA DEB BARMA,,Tripura,KARAMCHHARA,ST,CPM,,9584,M,2,1,FALSE,FALSE,48.02,9353,46.87,,,,1
AETR1022,5,0,1988,PARIMAL CHOUDHURY,,Tripura,KARAMCHHARA,ST,IND,,231,M,3,1,FALSE,FALSE,1.16,136,0.68,,,,1
AETR1023,5,0,1988,ANDRIO MALSAM,,Tripura,KARAMCHHARA,ST,JNP,,95,M,4,1,FALSE,FALSE,0.48,0,0,,,,1
AETR1027,5,0,1988,JYOTIRMOY MALAKAR,,Tripura,PABIACHHARA,SC,INC,,8832,M,2,1,FALSE,FALSE,47.36,8617,46.2,,,,1
AETR1028,5,0,1988,SATISH CHANDRA DAS,,Tripura,PABIACHHARA,SC,IND,,215,M,4,1,FALSE,FALSE,1.15,0,0,,,,1
AETR1029,5,0,1988,RAMENDAR KUMAR DAS,,Tripura,PABIACHHARA,SC,IND,,215,M,3,1,FALSE,FALSE,1.15,0,0,,,,1
AETR1030,5,0,1988,SUNIL CHANDRA DAS,,Tripura,FATIKROY,GEN,INC,,12288,M,1,1,FALSE,FALSE,72.14,7989,46.9,,,1,1
AETR1031,5,0,1988,BHUDEB BHATTACHARYA,,Tripura,FATIKROY,GEN,CPM,,4299,M,2,1,FALSE,FALSE,25.24,4128,24.23,,,,1
