pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAP1,0,0,2009,KONERU KONAPPA,GEN,Telangana,SIRPUR,GEN,INC,,40564,M,2,3,FALSE,FALSE,32.73,30809,24.86,54,,2,3
AEAP1,1,0,2014,KONERU KONAPPA,GEN,Telangana,SIRPUR,GEN,BSP,INC,49033,M,1,3,TRUE,FALSE,32.41,8837,5.84,58,,2,3
AEAP1,2,0,2018,KONERU KONAPPA,,Telangana,SIRPUR,GEN,TRS,BSP,83088,M,1,3,TRUE,TRUE,50.57,24036,14.63,,,2,3
AEAP100049,2,0,2018,LAVUDYA SUDHAN LAL,,Telangana,KHANAPUR,ST,TPJP,,446,M,13,1,FALSE,FALSE,0.29,0,0,,,,1
AEAP100050,2,0,2018,ANIL JADHAV,,Telangana,BOATH,ST,IND,,28206,M,3,1,FALSE,FALSE,17.99,23366,14.91,,,,1
AEAP100051,2,0,2018,MANCHIRALA RAGHUNATH,,Telangana,NIZAMABAD,GEN,TPJP,,80,M,20,1,FALSE,FALSE,0.05,3,0,,,,1
AEAP100052,2,0,2018,DEVASANI THIRUPATHIREDDY,,Telangana,HUSNABAD,GEN,TLIP,,4556,M,3,1,FALSE,FALSE,2.44,247,0.13,,,,1
AEAP100053,2,0,2018,CHINTAKINDI SINGARAIAH,,Telangana,HUSNABAD,GEN,IND,,800,M,9,1,FALSE,FALSE,0.43,98,0.05,,,,1
AEAP100054,2,0,2018,NAVEENN,,Telangana,NARSAPUR,GEN,IND,,1112,M,7,1,FALSE,FALSE,0.61,215,0.12,,,,1
AEAP100055,2,0,2018,SHAMSHABAD SUDARSHAN MUDIRAJ,,Telangana,PATANCHERU,GEN,IND,,956,M,7,1,FALSE,FALSE,0.45,156,0.07,,,,1
AEAP100057,2,0,2018,ANJANEYULU GUNDABOINA,,Telangana,DUBBAK,GEN,IND,,304,M,18,1,FALSE,FALSE,0.19,60,0.04,,,,1
AEAP100058,2,0,2018,YADAGIRI PEDDASAIGARI,,Telangana,GAJWEL,GEN,IND,,1350,M,7,1,FALSE,FALSE,0.65,121,0.06,,,,1
AEAP100059,2,0,2018,B SIVA RAMA KRISHNA,,Telangana,UPPAL,GEN,IND,,301,M,16,1,FALSE,FALSE,0.13,4,0,,,,1
AEAP100060,2,0,2018,PENDEM SASHIDHAR,,Telangana,UPPAL,GEN,NVSMP,,120,M,24,1,FALSE,FALSE,0.05,6,0,,,,1
AEAP100061,2,0,2018,GADDA YUGANDHAR,,Telangana,UPPAL,GEN,JMBP,,106,M,28,1,FALSE,FALSE,0.05,4,0,,,,1
AEAP100062,2,0,2018,G N KRANTI KISHORE,,Telangana,UPPAL,GEN,IND,,76,M,34,1,FALSE,FALSE,0.03,3,0,,,,1
AEAP100063,2,0,2018,BATANI KISTAIAH,,Telangana,IBRAHIMPATNAM,GEN,IND,,1220,M,6,1,FALSE,FALSE,0.62,69,0.04,,,,1
AEAP100064,2,0,2018,TIRUMAL REDDY. S,,Telangana,IBRAHIMPATNAM,GEN,IND,,470,M,10,1,FALSE,FALSE,0.24,3,0,,,,1
AEAP100065,2,0,2018,NARLA SEETHA RAMAIAH YADAV,,Telangana,IBRAHIMPATNAM,GEN,IND,,299,M,16,1,FALSE,FALSE,0.15,19,0.01,,,,1
AEAP100066,2,0,2018,K. SRINIVASA CHARY,,Telangana,LAL BAHADUR NAGAR,GEN,IND,,59,M,33,1,FALSE,FALSE,0.02,6,0,,,,1
AEAP100067,2,0,2018,GANGANI MAHENDER,,Telangana,RAJENDRANAGAR,GEN,BSP,,1562,M,7,1,FALSE,FALSE,0.62,539,0.21,,,,1
AEAP100068,2,0,2018,AZEEM MOHD.,,Telangana,RAJENDRANAGAR,GEN,IND,,537,M,15,1,FALSE,FALSE,0.21,117,0.05,,,,1
AEAP100069,2,0,2018,JULEE BENNALA,,Telangana,SERILINGAMPALLY,GEN,IND,,635,F,8,1,FALSE,FALSE,0.23,66,0.02,,,,1
AEAP100070,2,0,2018,GADE SARITHA,,Telangana,SERILINGAMPALLY,GEN,IND,,568,F,10,1,FALSE,FALSE,0.2,70,0.03,,,,1
AEAP100071,2,0,2018,MUNAGALA SAMBA SIVA PRASAD,,Telangana,SERILINGAMPALLY,GEN,IND,,211,M,18,1,FALSE,FALSE,0.08,15,0.01,,,,1
