pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEUK100153,2,0,2007,MALCHAND,SC,Uttarakhand,PUROLA,SC,IND,,14942,M,2,1,FALSE,FALSE,35.92,7915,19.03,41,,,1
AEUK100155,2,0,2007,RAMLAL,SC,Uttarakhand,PUROLA,SC,NCP,,1119,M,5,1,FALSE,FALSE,2.69,103,0.25,46,,,1
AEUK100156,1,0,2002,KEDAR SINGH,,Uttarakhand,YAMUNOTRI,GEN,INC,,7013,M,2,2,FALSE,FALSE,19.47,1429,3.97,,,1,2
AEUK100156,2,0,2007,KEDAR SINGH,GEN,Uttarakhand,YAMUNOTRI,GEN,INC,INC,14484,M,1,2,FALSE,FALSE,31.37,3328,7.21,46,,1,2
AEUK100159,1,0,2002,RANVEER SINGH,,Uttarakhand,YAMUNOTRI,GEN,IND,,1304,M,7,2,FALSE,FALSE,3.62,35,0.1,,,,2
AEUK100159,2,0,2007,RANVEER SINGH,GEN,Uttarakhand,YAMUNOTRI,GEN,IND,IND,3711,M,5,2,FALSE,FALSE,8.04,1193,2.58,46,,,2
AEUK100164,2,0,2007,GOPAL SINGH RAWAT,GEN,Uttarakhand,GANGOTRI,GEN,BJP,,24250,M,1,1,FALSE,FALSE,47.63,5546,10.89,46,,1,1
AEUK100165,1,0,2002,VIJAYPAL SINGH SAJWAN,,Uttarakhand,GANGOTRI,GEN,INC,,7878,M,1,2,FALSE,FALSE,20.91,610,1.62,,,1,2
AEUK100165,2,0,2007,VIJAYPAL SINGH,GEN,Uttarakhand,GANGOTRI,GEN,INC,INC,18704,M,2,2,FALSE,TRUE,36.74,16356,32.13,49,,1,2
AEUK100180,2,0,2007,DEVENDRA SINGH NEGI,GEN,Uttarakhand,BADRINATH,ST,BSP,,1093,M,6,1,FALSE,FALSE,2.76,307,0.77,38,,,1
AEUK100194,2,0,2007,BALWANT SINGH NEGI,GEN,Uttarakhand,NANDPRAYAG,GEN,NCP,,5581,M,3,1,FALSE,FALSE,13.76,750,1.85,56,,,1
AEUK100202,2,0,2007,ASHA,GEN,Uttarakhand,KEDARNATH,GEN,BJP,,16971,F,1,1,FALSE,FALSE,33.01,2979,5.79,37,,1,1
AEUK100205,1,0,2002,GANGADHAR,,Uttarakhand,KEDARNATH,GEN,CPM,,1083,M,8,2,FALSE,FALSE,2.5,190,0.44,,,,2
AEUK100205,2,0,2007,GANGADHAR NAUTIYAL,GEN,Uttarakhand,KEDARNATH,GEN,CPM,CPM,3278,M,4,2,FALSE,FALSE,6.38,216,0.42,52,,,2
AEUK100208,2,0,2007,KUNDAN LAL,SC,Uttarakhand,KEDARNATH,GEN,IND,,262,M,12,1,FALSE,FALSE,0.51,5,0.01,61,,,1
AEUK100222,2,0,2007,BHIM LAL ARYA,SC,Uttarakhand,GHANSALI,GEN,IND,,2896,M,5,1,FALSE,FALSE,6.75,992,2.31,26,,,1
AEUK100229,1,0,2002,DIWAKAR BHATT,,Uttarakhand,DEOPRAYAG,GEN,UKKD,,5282,M,3,2,FALSE,FALSE,16.07,2424,7.38,,,1,2
AEUK100229,2,0,2007,DIWAKAR BHATT,GEN,Uttarakhand,DEOPRAYAG,GEN,UKKD,UKKD,20980,M,1,2,FALSE,FALSE,51.03,11595,28.2,61,,1,2
AEUK100230,1,0,2002,MANTRI PRASAD NAITHANI,,Uttarakhand,DEOPRAYAG,GEN,INC,UKKD,9912,M,1,3,TRUE,FALSE,30.16,2252,6.85,,,1,2
AEUK100230,2,0,2007,MANTRI PRASAD NAITHANI,GEN,Uttarakhand,DEOPRAYAG,GEN,INC,INC,9385,M,2,3,FALSE,TRUE,22.83,2870,6.98,48,,1,2
AEUK100231,2,0,2007,SHOORBEER SINGH SAJWAN,GEN,Uttarakhand,RISHIKESH,GEN,INC,,21414,M,2,1,FALSE,FALSE,24.87,8268,9.6,56,,,1
AEUK100242,1,0,2002,SUBODH UNIYAL,,Uttarakhand,NARENDRANAGAR,GEN,INC,,9798,M,1,2,FALSE,FALSE,28.84,1531,4.51,,,1,2
AEUK100242,2,0,2007,SUBODH UNIYAL,GEN,Uttarakhand,NARENDRANAGAR,GEN,INC,INC,13725,M,2,2,FALSE,TRUE,28.9,1917,4.04,46,,1,2
AEUK100251,2,0,2007,RAJESHWAR PRASAD PAINULY,GEN,Uttarakhand,PRATAPNAGAR,GEN,IND,,4048,M,3,1,FALSE,FALSE,11.49,802,2.28,48,,,1
AEUK100259,2,0,2007,DINESH DHANAI,GEN,Uttarakhand,TEHRI,GEN,IND,,9908,M,3,1,FALSE,FALSE,22.21,7707,17.27,38,,,1
AEUK100266,2,0,2007,BHAGWAN SINGH RANA,GEN,Uttarakhand,TEHRI,GEN,CPM,,615,M,7,1,FALSE,FALSE,1.38,80,0.18,49,,,1
AEUK100269,1,0,2002,PRITAM SINGH PAWAR,,Uttarakhand,YAMUNOTRI,GEN,UKKD,,9498,M,1,2,FALSE,FALSE,26.37,2485,6.9,,,1,2
AEUK100269,2,0,2007,PRITAM SINGH PANWAR,GEN,Uttarakhand,YAMUNOTRI,GEN,UKKD,UKKD,11156,M,2,2,FALSE,TRUE,24.16,4873,10.55,43,,1,2
AEUK100277,1,0,2002,PREETAM SINGH,,Uttarakhand,CHAKRATA,ST,INC,,18468,M,1,2,FALSE,FALSE,49.59,8176,21.95,,,2,2
AEUK100277,2,0,2007,PRITAM SINGH,ST,Uttarakhand,CHAKRATA,ST,INC,INC,22504,M,1,2,FALSE,TRUE,49.55,3741,8.24,48,,2,2
AEUK100278,2,0,2007,MADHU CHAUHAN,ST,Uttarakhand,CHAKRATA,ST,IND,,18763,F,2,1,FALSE,FALSE,41.31,15861,34.92,34,,,1
AEUK100281,1,0,2002,MUNNA SINGH CHAUHAN,,Uttarakhand,CHAKRATA,ST,UJP,,10292,M,2,3,FALSE,FALSE,27.64,4738,12.72,,,1,2
AEUK100281,1,0,2002,MUNNA SINGH CHAUHAN,,Uttarakhand,VIKASNAGAR,GEN,UJP,,8913,M,2,3,FALSE,FALSE,16.82,259,0.49,,,1,2
AEUK100281,2,0,2007,MUNNA SINGH CHAUHAN,ST,Uttarakhand,VIKASNAGAR,ST,BJP,UJP,29297,M,1,3,TRUE,FALSE,40.37,5156,7.11,46,,1,2
AEUK100281,2,1,2009,Munna S.Chauhan,,Uttarakhand,VIKASNAGAR,ST,IND,BJP,14807,,3,3,FALSE,TRUE,22.04,14105,21,,,1,2
AEUK100282,1,0,2002,NAV PRABHAT,,Uttarakhand,VIKASNAGAR,GEN,INC,,8971,M,1,3,FALSE,FALSE,16.93,58,0.11,,,1,2
AEUK100282,2,0,2007,NAV PRABHAT,GEN,Uttarakhand,VIKASNAGAR,ST,INC,INC,24141,M,2,3,FALSE,TRUE,33.27,16399,22.6,50,,1,2
AEUK100282,2,1,2009,Nvprabhat,,Uttarakhand,VIKASNAGAR,ST,INC,INC,24338,,2,3,FALSE,FALSE,36.23,9531,14.19,,,1,2
AEUK100283,2,0,2007,VIPUL JAIN,GEN,Uttarakhand,VIKASNAGAR,ST,IND,,2334,M,5,1,FALSE,FALSE,3.22,698,0.96,37,,,1
AEUK100293,2,0,2007,SAHDEV SINGH PUNDIR,GEN,Uttarakhand,MUSSOORIE,GEN,BJP,,10632,M,2,1,FALSE,FALSE,28.14,2296,6.08,41,,,1
AEUK100308,1,0,2002,DINESH AGARWAL,,Uttarakhand,LAXMAN CHOWK,GEN,INC,,14803,M,1,2,FALSE,FALSE,35.11,803,1.9,,,2,2
AEUK100308,2,0,2007,DINESH AGARWAL,GEN,Uttarakhand,LAXMAN CHOWK,GEN,INC,INC,32649,M,1,2,FALSE,TRUE,46,3259,4.59,57,,2,2
AEUK100326,2,0,2007,UMESH SHARMA (KAU),GEN,Uttarakhand,DOIWALA,GEN,IND,,6216,M,5,1,FALSE,FALSE,6.48,1533,1.6,53,,,1
AEUK100334,2,0,2007,ANIL DHOBAL,GEN,Uttarakhand,DOIWALA,GEN,BJSH,,1039,M,9,1,FALSE,FALSE,1.08,372,0.39,36,,,1
AEUK100345,1,0,2002,KHAJAN DASS,,Uttarakhand,DHANOLTI,SC,BJP,,8687,M,2,2,FALSE,FALSE,26.75,4143,12.76,,,1,2
AEUK100345,2,0,2007,KHAJAN DASS,SC,Uttarakhand,DHANOLTI,SC,BJP,BJP,19328,M,1,2,FALSE,FALSE,49.61,6528,16.75,55,,1,2
AEUK100354,1,0,2002,SURYAKANT DHASMANA,,Uttarakhand,RAJPUR,GEN,NCP,,6630,M,3,2,FALSE,FALSE,16.49,4181,10.4,,,,2
