Party,Expanded_Party_Name
AAAP,AAM AADMI PARTY
ASPKR,AZAD SAMAJ PARTY (KANSHI RAM)
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
INC,INDIAN NATIONAL CONGRESS
IND,INDEPENDENT
JD(U),JANATA DAL (UNITED)
JDL,Jansatta Dal Loktantrik
NCP,NATIONALIST CONGRESS PARTY
NINSHAD,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL
RLD,RASHTRIYA LOK DAL
SBSP,SUHELDEV BHARTIYA SAMAJ PARTY
SHS,AKHIL BHARTIYA SHIVSENA - RASHTRAWADI
SP,SAMAJWADI PARTY
ABHM,AKHIL BHARAT HINDU MAHASABHA
AD,APNA DAL
ADAL,APNA DAL (SONEYLAL)
BJS,AKHIL BHARATIYA JANA SANGH
IEMC,ITTEHAD-E-MILLAIT COUNCIL
PECP,PEACE PARTY
RPD,RASHTRIYA PARIVARTAN DAL
RPI,REPUBLIC PARTY OF INDIA
RTKP,RASHTRIYA KRANTI PARTY
SSD,SHOSHIT SAMAJ DAL
ABLTC,AKHIL BHARTIYA LOK TANTRIK CONGRESS
AITC,ALL INDIA TRINAMOOL CONGRESS
BKD,BAHUJAN KISAN DAL
JD,JANATA DAL
MUL,MUSLIM LEAGUE
NLP,NATIONAL LOKTANTRIK PARTY
QED,QUAMI EKTA DAL
RSBP,RASHTRIYA SWABHIMAAN PARTY
SJP(R),SAMAJWADI JANATA PARTY (RASHTRIYA)
BJSH,BHARATIYA JAN SHAKTI
JM,JAN MORCHA
SAP,SAMATA PARTY
UPUDF,UTTAR PRADESH UNITED DEMOCRATIC FRONT
JP,JANATA PARTY
LJNSP,LOK JAN SHAKTI PARTY
PSP,PRAGATI SHEEL PARTY
AIIC(T),ALL INDIA INDIRA CONGRESS (TIWARI)
BKKGP,XXX
BKKP,BHARATIYA KRANTIKARI KAMMAND PARTY
LKD,LOK DAL
SOP,SOCIALIST PARTY
SSP,SAMYUKTA SOCIALIST PARTY
UKD,UTTARAKHAND KRANTI DAL
HMS,AKHIL BHARAT HINDU MAHASABHA
JNP,JAN PARISHAD
ICJ,INDIAN CONGRESS (JAGJIVAN RAM)
JNP(JP),JANATA PARTY (JP)
KMP,KISAN MAZDOOR PARTY
LKD(B),LOK DAL (B)
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
JNP(SC),JANATA PARTY (SECULAR) - CH. CHARAN SINGH
JNP(SR),JANATA PARTY (SECULAR) RAJ NARAIN
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SWA,SWATANTRA
SOC,SOCIALIST
JS,JAN SANGH
REP,REPUBLICAN
