pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEWB105990,4,0,1967,Z.ABEDIN,,West_Bengal,ITAHAR,GEN,INC,,25620,M,1,1,FALSE,FALSE,55.35,15091,32.6,,,1,1
AEWB108998,4,0,1967,H . N . DOLUI,,West_Bengal,GHATAL,SC,INC,,13633,M,2,1,FALSE,FALSE,32.25,3637,8.6,,,,1
AEWB111542,4,0,1967,B . AHAMAD,,West_Bengal,MURARAI,GEN,IND,,14944,M,1,1,FALSE,FALSE,41.37,774,2.14,,,1,1
AEWB111796,4,0,1967,M. SOHARAB,,West_Bengal,SUTI,GEN,INC,,24452,M,2,1,FALSE,FALSE,45.81,0,0,,,,1
AEWB111965,4,0,1967,N.K.BISWAS,,West_Bengal,MAGRAHAT WEST,GEN,CPM,,10939,M,3,1,FALSE,FALSE,19.29,10624,18.73,,,,1
AEWB112223,4,0,1967,A. GHOSAL,,West_Bengal,KAMARHATI,GEN,INC,,21559,M,2,1,FALSE,FALSE,36.75,16031,27.33,,,,1
AEWB114547,3,0,1962,HAKAI MARDI,,West_Bengal,TAPAN,ST,INC,,11608,M,2,2,FALSE,FALSE,41.12,9823,34.79,,,,2
AEWB114547,4,0,1967,H.MARDI,,West_Bengal,TAPAN,ST,IND,INC,2399,M,3,2,FALSE,FALSE,5.81,0,0,,,,2
AEWB115439,3,0,1962,BANKIM CHANDRA SASMAL,,West_Bengal,DASPUR,GEN,INC,,17631,M,2,2,FALSE,FALSE,39.33,14983,33.42,,,1,2
AEWB115439,4,0,1967,B . C . SASMAL,,West_Bengal,DASPUR,GEN,INC,INC,27822,M,1,2,FALSE,FALSE,50.21,4164,7.51,,,1,2
AEWB115855,3,0,1962,DASARATHI TAH,,West_Bengal,RAINA,GEN,PSP,,12584,M,2,2,FALSE,FALSE,30.54,11160,27.09,,,1,2
AEWB115855,4,0,1967,D . TAH,,West_Bengal,RAINA,GEN,PSP,PSP,15324,M,1,2,FALSE,FALSE,37.89,768,1.9,,,1,2
AEWB115890,4,0,1967,S. JASH,,West_Bengal,NANUR,SC,INC,,14627,M,1,1,FALSE,FALSE,43.93,2440,7.33,,,1,1
AEWB116004,4,0,1967,M.MUNDA,,West_Bengal,DHUPGURI,GEN,IND,,1526,M,5,1,FALSE,FALSE,4.12,746,2.01,,,,1
AEWB116038,4,0,1967,B.MUNSHI,,West_Bengal,CHOPRA,GEN,CPM,,6449,M,2,1,FALSE,FALSE,21.89,235,0.8,,,,1
AEWB116680,4,0,1967,G . C . LOHAR,,West_Bengal,INDPUR,SC,BAC,,11593,M,2,1,FALSE,FALSE,30.56,8052,21.23,,,,1
AEWB116795,4,0,1967,P . LET,,West_Bengal,MAYURESWAR,SC,CPM,,7331,M,2,1,FALSE,FALSE,24.63,1593,5.35,,,,1
AEWB116933,4,0,1967,P.B.GURUNG,,West_Bengal,JOREBUNGLOW,GEN,INC,,10501,M,2,1,FALSE,FALSE,36.3,4500,15.55,,,,1
AEWB116989,4,0,1967,S.L.PARIK,,West_Bengal,GANGARAMPUR,GEN,IND,,4321,M,5,1,FALSE,FALSE,11.09,955,2.45,,,,1
AEWB116993,4,0,1967,J.K.MOJUMDAR,,West_Bengal,KUMARGANJ,GEN,CPM,,8403,M,3,1,FALSE,FALSE,20.91,4305,10.71,,,,1
AEWB117369,3,0,1962,S. M. ABDULLAH,,West_Bengal,GARDEN REACH,GEN,INC,,29486,M,1,2,FALSE,FALSE,58.15,8266,16.3,,,2,2
AEWB117369,4,0,1967,S.M.ABDULLAH,,West_Bengal,GARDEN REACH,GEN,INC,INC,18443,M,1,2,FALSE,TRUE,39.89,5289,11.44,,,2,2
AEWB117460,4,0,1967,M.AMIN,,West_Bengal,TITAGARH,GEN,CPM,,16690,M,2,1,FALSE,FALSE,34.99,4988,10.46,,,,1
AEWB117528,4,0,1967,H.MALAKAR,,West_Bengal,DHAKURIA,GEN,CPM,,17098,M,2,1,FALSE,FALSE,32.22,1336,2.52,,,,1
AEWB117709,4,0,1967,M . SAHA,,West_Bengal,KHANAKUL,SC,CPM,,29347,M,1,1,FALSE,FALSE,64.18,12970,28.37,,,1,1
AEWB117731,3,0,1962,MRIGENDRA BHATTACHARIYYA,,West_Bengal,DASPUR,GEN,CPI,,23493,M,1,2,FALSE,FALSE,52.41,5862,13.08,,,1,2
AEWB117731,4,0,1967,M . BHATTACHARJYA,,West_Bengal,DASPUR,GEN,CPM,CPI,23658,M,2,2,TRUE,TRUE,42.7,20418,36.85,,,1,2
AEWB117834,4,0,1967,R . K . DOLOI,,West_Bengal,KESHPUR,SC,INC,,22658,M,1,1,FALSE,FALSE,47.4,9255,19.36,,,1,1
