Party,Expanded_Party_Name
AIFB,ALL INDIA FORWARD BLOC
AITC,ALL INDIA TRINAMOOL CONGRESS
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
INC,INDIAN NATIONAL CONGRESS
RSP,REVOLUTIONARY SOCIALIST PARTY
SUCI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
DSP(P),DEMOCRATIC SOCIALIST PARTY (PRABODH CHANDRA)
GOJAM,GORKHA JANMUKTI MORCHA
JKP(N),JHARKHAND PARTY (NAREN)
RJD,RASHTRIYA JANATA DAL
SP,SAMAJWADI PARTY
GNLF,GORAKHA NATIONAL LIBERATION FRONT
MUL,INDIAN UNION MUSLIM LEAGUE
WBSP,WEST BENGAL SOCIALIST PARTY
FBL,ALL INDIA FORWARD BLOC
JKP,ALL INDIA JHARKHAND PARTY
FB(S),FORWARD BLOC (SOCIALIST)
JD,JANATA DAL
BJS,AKHIL BHARTIYA JANA SANGH
DSP(PC),DEMOCRATIC SOCIALIST PARTY (PRABODH CHANDRA)
RCPI(RB),RAVOLUTIONARY COMMUNIST PARTY OF INDIA (RASIK BHATT)
WPI,THE WORKERS PARTY OF INDIA
JNP,JANATA PARTY
SUC,SOCIALIST UNITY CENTRE OF INDIA
ICS,INDIAN CONGRESS (SOCIALIST)
BBC,BHARATER BIPLABI COMMUNIST PARTY
IGL,ALL INDIA GORKHA LEAGUE
MFB,MARXIST FORWARD BLOC
RCI,REVOLUTIONARY COMMUNIST PARTY OF INDIA
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
BAC,BANGAL CONGRESS
LSS,LOK SEVAK SANGHA
PML,PROGRESSIVE MUSLIM LEAGUE
PSP,PRAJA SOCIALIST PARTY
SSP,SAMYUKTA SOCIALIST PARTY
NDF,INDIAN NATIONAL DEMOCRATIC FRONT
SWA,SWATANTRA
FB,FORWARD BLOC
GL,ALL INDIA GORKHA LEAGUE
SBP,SANJUKTA BIPLABI PARISHA
